Event_Id,Name,Date,Location
38898b480f5798c3,UFC Fight Night: Allen vs. Costa,2026-05-16,"Las Vegas, Nevada, USA"
8883ea0e634f84bd,UFC 328: Chimaev vs. Strickland,2026-05-09,"Newark, New Jersey, USA"
fd41896688c29db8,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,"Perth, Western Australia, Australia"
87cf28f4f3396abe,UFC Fight Night: Sterling vs. Zalal,2026-04-25,"Las Vegas, Nevada, USA"
fd0f7ea686918e9c,UFC Fight Night: Burns vs. Malott,2026-04-18,"Winnipeg, Manitoba, Canada"
7a514440af2cc13d,UFC 327: Prochazka vs. Ulberg,2026-04-11,"Miami, Florida, USA"
9c5b749c8e710a56,UFC Fight Night: Moicano vs. Duncan,2026-04-04,"Las Vegas, Nevada, USA"
a73a6c458e56c072,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,"Seattle, Washington, USA"
5b34a93b1f069427,UFC Fight Night: Evloev vs. Murphy,2026-03-21,"London, England, United Kingdom"
afc32c33e180691a,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,"Las Vegas, Nevada, USA"
4588264ddde4f4cb,UFC 326: Holloway vs. Oliveira 2,2026-03-07,"Las Vegas, Nevada, USA"
2d451758ac006b80,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,"Mexico City, Distrito Federal, Mexico"
6bc85156e5e93c3c,UFC Fight Night: Strickland vs. Hernandez,2026-02-21,"Houston, Texas, USA"
e069a9fcdd1fa169,UFC Fight Night: Bautista vs. Oliveira,2026-02-07,"Las Vegas, Nevada, USA"
dbc1404a8285dbd6,UFC 325: Volkanovski vs. Lopes 2,2026-01-31,"Sydney, New South Wales, Australia"
af1731a7cf9f5bbf,UFC 324: Gaethje vs. Pimblett,2026-01-24,"Las Vegas, Nevada, USA"
786b238a589afeac,UFC Fight Night: Royval vs. Kape,2025-12-13,"Las Vegas, Nevada, USA"
f540fcdbbc9c7b43,UFC 323: Dvalishvili vs. Yan 2,2025-12-06,"Las Vegas, Nevada, USA"
1a558d4ff98c497a,UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,"Doha, Qatar"
a6f903e0b01e751c,UFC 322: Della Maddalena vs. Makhachev,2025-11-15,"New York City, New York, USA"
e72fd43c670e92ba,UFC Fight Night: Bonfim vs. Brown,2025-11-08,"Las Vegas, Nevada, USA"
773755420c064ce8,UFC Fight Night: Garcia vs. Onama,2025-11-01,"Las Vegas, Nevada, USA"
0fd1c896a3437bfc,UFC 321: Aspinall vs. Gane,2025-10-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
ae02138dbe4512f7,UFC Fight Night: De Ridder vs. Allen,2025-10-18,"Vancouver, British Columbia, Canada"
08d3820d3fd4ef20,UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,"Rio de Janeiro, Rio de Janeiro, Brazil"
20c94cc2197669b8,UFC 320: Ankalaev vs. Pereira 2,2025-10-04,"Las Vegas, Nevada, USA"
10e5981b34b99c0b,UFC Fight Night: Ulberg vs. Reyes,2025-09-27,"Perth, Western Australia, Australia"
553645345e1a7a1e,UFC Fight Night: Lopes vs. Silva,2025-09-13,"San Antonio, Texas, USA"
aa5d4179c00d332d,UFC Fight Night: Imavov vs. Borralho,2025-09-06,"Paris, Ile-de-France, France"
7288ad0d803555f1,UFC Fight Night: Walker vs. Zhang,2025-08-23,"Shanghai, Hebei, China"
fa4f3aa6e44c54f8,UFC - Road to UFC 4.6,2025-08-22,"Shanghai, Hebei, China"
5a8e39bf171b8cff,UFC 319: Du Plessis vs. Chimaev,2025-08-16,"Chicago, Illinois, USA"
2c0437ce6040f9d0,UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,"Las Vegas, Nevada, USA"
db457280c72ef3a8,UFC Fight Night: Taira vs. Park,2025-08-02,"Las Vegas, Nevada, USA"
d62f5c5fa2b65ece,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
d26804819848087b,UFC 318: Holloway vs. Poirier 3,2025-07-19,"New Orleans, Louisiana, USA"
cf2fa9b93e39b2b0,UFC Fight Night: Lewis vs. Teixeira,2025-07-12,"Nashville, Tennessee, USA"
cf59b779e9d20d48,UFC 317: Topuria vs. Oliveira,2025-06-28,"Las Vegas, Nevada, USA"
0b77c3d55b01ea71,UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,"Baku, Azerbaijan"
dd9628681c70baee,UFC Fight Night: Usman vs. Buckley,2025-06-14,"Atlanta, Georgia, USA"
e9fdbbb9e09ba518,UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,"Newark, New Jersey, USA"
a7542ac76493fad6,UFC Fight Night: Blanchfield vs. Barber,2025-05-31,"Las Vegas, Nevada, USA"
ff7b154abf86cf3d,UFC Fight Night: Burns vs. Morales,2025-05-17,"Las Vegas, Nevada, USA"
9269c0e21e752b9d,UFC 315: Muhammad vs. Della Maddalena,2025-05-10,"Montreal, Quebec, Canada"
4e3f1e2d33aeab3b,UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,"Des Moines, Iowa, USA"
e0a1edc8acde04bd,UFC Fight Night: Machado Garry vs. Prates,2025-04-26,"Kansas City, Missouri, USA"
f20ff90676c7eea7,UFC 314: Volkanovski vs. Lopes,2025-04-12,"Miami, Florida, USA"
77b4da9ac2b5145e,UFC Fight Night: Emmett vs. Murphy,2025-04-05,"Las Vegas, Nevada, USA"
10bca8eebd2cae79,UFC Fight Night: Moreno vs. Erceg,2025-03-29,"Mexico City, Distrito Federal, Mexico"
e3c90e54e11adf5f,UFC Fight Night: Edwards vs. Brady,2025-03-22,"London, England, United Kingdom"
ecfed65661641766,UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,"Las Vegas, Nevada, USA"
18ff40f1ec83feca,UFC 313: Pereira vs. Ankalaev,2025-03-08,"Las Vegas, Nevada, USA"
b3cc449a9c2e0efb,UFC Fight Night: Kape vs. Almabayev,2025-03-01,"Las Vegas, Nevada, USA"
4dec5bcfad13ee9d,UFC Fight Night: Cejudo vs. Song,2025-02-22,"Seattle, Washington, USA"
d996b8dd6ecbcb14,UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,"Las Vegas, Nevada, USA"
c52d81e00007586f,UFC 312: Du Plessis vs. Strickland 2,2025-02-08,"Sydney, New South Wales, Australia"
edd7a4b2326646d7,UFC Fight Night: Adesanya vs. Imavov,2025-02-01,"Riyadh, Riyadh, Saudi Arabia"
6add7867fc3b92f7,UFC 311: Makhachev vs. Moicano,2025-01-18,"Inglewood, California, USA"
ad7283f677d0e6b3,UFC Fight Night: Dern vs. Ribas 2,2025-01-11,"Las Vegas, Nevada, USA"
dea45467f484793b,UFC Fight Night: Covington vs. Buckley,2024-12-14,"Tampa, Florida, USA"
85012cfbff0848cf,UFC 310: Pantoja vs. Asakura,2024-12-07,"Las Vegas, Nevada, USA"
27bef39fcff5a391,UFC Fight Night: Yan vs. Figueiredo,2024-11-23,"Macau, China"
788a3d1ac7462ef1,UFC 309: Jones vs. Miocic,2024-11-16,"New York City, New York, USA"
26061be22de002c7,UFC Fight Night: Magny vs. Prates,2024-11-09,"Las Vegas, Nevada, USA"
4ddef0c88a056c51,UFC Fight Night: Moreno vs. Albazi,2024-11-02,"Edmonton, Alberta, Canada"
f50d798f4a304c49,UFC 308: Topuria vs. Holloway,2024-10-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
ad0548dea6d16539,UFC Fight Night: Hernandez vs. Pereira,2024-10-19,"Las Vegas, Nevada, USA"
51cd6cb32d3e6558,UFC Fight Night: Royval vs. Taira,2024-10-12,"Las Vegas, Nevada, USA"
7fabc00de89d63bf,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,"Salt Lake City, Utah, USA"
225c903c238ae765,UFC Fight Night: Moicano vs. Saint Denis,2024-09-28,"Paris, Ile-de-France, France"
4805ff1164a58a73,UFC 306: Riyadh Season Noche UFC,2024-09-14,"Las Vegas, Nevada, USA"
0d115ef91fbd8f1e,UFC Fight Night: Burns vs. Brady,2024-09-07,"Las Vegas, Nevada, USA"
d1ad892a5c0f4c9a,UFC Fight Night: Cannonier vs. Borralho,2024-08-24,"Las Vegas, Nevada, USA"
6e81a6958e41958f,UFC 305: Du Plessis vs. Adesanya,2024-08-17,"Perth, Western Australia, Australia"
6b3fe1aa0387f9a6,UFC Fight Night: Tybura vs. Spivac 2,2024-08-10,"Las Vegas, Nevada, USA"
74bcfd48305ed6e2,UFC Fight Night: Sandhagen vs. Nurmagomedov,2024-08-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates"
67d6afb187acec98,UFC 304: Edwards vs. Muhammad 2,2024-07-27,"Manchester, England, United Kingdom"
eda5ff9b1f66ecea,UFC Fight Night: Lemos vs. Jandiroba,2024-07-20,"Las Vegas, Nevada, USA"
60e42281fb489438,UFC Fight Night: Namajunas vs. Cortez,2024-07-13,"Denver, Colorado, USA"
2f07fd964a590787,UFC 303: Pereira vs. Prochazka 2,2024-06-29,"Las Vegas, Nevada, USA"
1f13c398d26df5a1,UFC Fight Night: Whittaker vs. Aliskerov,2024-06-22,"Riyadh, Riyadh, Saudi Arabia"
74c3fa7af348c8a4,UFC Fight Night: Perez vs. Taira,2024-06-15,"Las Vegas, Nevada, USA"
52c8c705f85eb51d,UFC Fight Night: Cannonier vs. Imavov,2024-06-08,"Louisville, Kentucky, USA"
