Fighter_Id,Full Name,Ht.,Wt.,Reach,Stance
7b2ab75a34942757,Arnold Allen,"5' 8""",145,70,Southpaw
c47a2d5c6f119c26,Melquizael Costa,"5' 10""",145,71,Southpaw
a7a6034e8fa43cf3,Dooho Choi,"5' 10""",145,70,Orthodox
536f76dbf452163c,Daniel Santos,"5' 7""",145,67,Orthodox
d4d40a862922e25b,Malcolm Wellmaker,"5' 10""",135,71,Switch
bd1074ae3ea8a76e,Juan Diaz,--,135,--,
d8a13b497377e7a9,Modestas Bukauskas,"6' 3""",205,76,Switch
1943e071abc00467,Christian Edwards,--,205,--,
501823539d83d4eb,Timmy Cuamba,"5' 9""",145,71,Orthodox
debbb42b88fca431,Benardo Sopaj,"5' 6""",135,66,Orthodox
28e935a43da03e9a,Nikolay Veretennikov,"6' 1""",170,74,Orthodox
b9f1b98324b5733d,Khaos Williams,"6' 0""",170,77,Orthodox
d33c0cd5e5776f5c,Tuco Tokkos,"6' 4""",205,76,Orthodox
06888274ce3a59bc,Ivan Erslan,"6' 2""",205,72,Orthodox
2c3c8b4851cc2a8e,Tommy Gantt,"5' 11""",155,76,Orthodox
42e2a193b15ca106,Artur Minev,--,155,--,
34c605d6f3e6a96b,Ketlen Vieira,"5' 8""",135,68,Orthodox
6b78ac6d81912745,Jacqueline Cavalcanti,"5' 8""",135,70,Orthodox
27647a7f19ee4c1d,Cody Brundage,"6' 0""",185,72,Orthodox
805498e3922258c7,Andre Petroski,"6' 0""",185,73,Switch
cb24bdec6e66509c,Alice Ardelean,"5' 3""",115,62,Orthodox
518e7e5fba746444,Polyana Viana,"5' 5""",115,67,Orthodox
b83fed09d7555100,Daniel Barez,"5' 6""",125,66,Orthodox
7b5a6833c40aa5f4,Luis Gurule,"5' 5""",125,64,Orthodox
fcfcb80e9fcfff5a,Shauna Bannon,"5' 5""",115,65,Switch
c93e341dc99799ec,Nicolle Caliari,"5' 3""",125,62,Orthodox
54c960e53549d612,Khamzat Chimaev,"6' 2""",185,75,Orthodox
4a637c0f4e711aa4,Sean Strickland,"6' 1""",185,76,Orthodox
eff3824cc383d8db,Joshua Van,"5' 5""",125,65,Orthodox
8b558a8b79942698,Tatsuro Taira,"5' 7""",125,70,Orthodox
65960493f529fc58,Alexander Volkov,"6' 7""",250,80,Orthodox
34808451782bc5ee,Waldo Cortes Acosta,,,,
25398aa8ac7d221b,Sean Brady,"5' 10""",170,72,Orthodox
9af1cc34b9b919f0,Joaquin Buckley,"5' 10""",170,76,Southpaw
70838bdc207b5308,King Green,"5' 10""",155,71,Orthodox
3c95a9ebd88e0a60,Jeremy Stephens,"5' 9""",155,71,Orthodox
ea2b6837d31cc55d,Ateba Gautier,"6' 4""",185,81,Switch
fafa67326d7c9922,Ozzy Diaz,"6' 4""",185,79,Orthodox
6633d8ac3511d67f,Joel Alvarez,"6' 3""",155,77,Orthodox
8ab1b5cdf84d546b,Yaroslav Amosov,--,185,--,
4baf4a920856545f,Grant Dawson,"5' 10""",155,72,Switch
8d7218ec34c995e4,Mateusz Rebecki,"5' 7""",155,66,Southpaw
797fa5336cd3ef3f,Jim Miller,"5' 8""",155,71,Southpaw
b965911ecbb7ea65,Jared Gordon,"5' 9""",155,68,Orthodox
87802dddb1e85813,Roman Kopylov,"6' 0""",185,75,Southpaw
430417004f18f7de,Marco Tulio,"6' 0""",185,74,Orthodox
40b55b6c6b38eb80,Pat Sabatini,"5' 8""",145,70,Orthodox
645d371635f46171,William Gomis,"6' 0""",145,73,Southpaw
b6000d01b31a6fe6,Baisangur Susurkaev,"6' 2""",185,79,Orthodox
b78c2c0cb4980e9d,Djorden Santos,"6' 0""",185,75,Orthodox
32419c2e11456ca4,Clayton Carpenter,"5' 6""",125,66,Orthodox
db49290d0f386435,Jose Ochoa,"5' 7""",125,67,Southpaw
a265afb7b9f0a9cc,Jack Della Maddalena,"5' 11""",170,73,Switch
c72157b5062f45ef,Carlos Prates,"6' 1""",170,78,Switch
07c24c4cb2af85ed,Beneil Dariush,"5' 10""",155,72,Southpaw
a66c074dfa6b8835,Quillan Salkilld,"6' 0""",155,75,Orthodox
eb6e138c10bb379c,Tim Elliott,"5' 7""",125,66,Southpaw
d85578e821c6185f,Steve Erceg,"5' 8""",125,68,Orthodox
5a1004a74203b5f2,Marwan Rahiki,--,145,--,
c3fda37faec200fb,Ollie Schmid,--,145,--,
dcf805bf4b210fb9,Shamil Gaziev,"6' 4""",265,78,Orthodox
d8d2c1549a3c3300,Brando Pericic,"6' 5""",245,79,Orthodox
629bc2bb71d9f224,Tai Tuivasa,"6' 2""",264,75,Southpaw
fd041fcc21cc505d,Louie Sutherland,"6' 3""",264,76,Orthodox
458a79c22325eee8,Cam Rowston,"6' 3""",185,78,Orthodox
ffc82991174b4d0d,Robert Bryczek,"6' 0""",185,75,Orthodox
3d3b451081ce16e9,Junior Tafa,"6' 3""",205,75,Orthodox
efeef5927cfc6ed9,Kevin Christian,"6' 7""",205,80,Orthodox
2a935daad3c30a59,Jacob Malkoun,"5' 9""",185,73,Orthodox
cbb08748dd6bbe66,Gerald Meerschaert,"6' 1""",185,77,Southpaw
a27631e299d32a0d,Colby Thicknesse,"5' 7""",135,69,Orthodox
19054dc278194e7b,Vince Morales,"5' 7""",135,70,Orthodox
a8065701ae14b346,Ben Johnston,,,,
019629d59f9a2c45,Wes Schultz,"6' 2""",185,77,Orthodox
2e1c90b87a8c1a79,Jonathan Micallef,"6' 0""",170,77,Southpaw
fac4af1fb11deb16,Themba Gorimbo,"6' 1""",170,77,Orthodox
4391524b4ad67007,Dom Mar Fan,"5' 11""",155,75,Orthodox
d0867cbe48a86c11,Kody Steele,"5' 9""",155,71,Orthodox
9cbf77b62e6769c8,Aljamain Sterling,"5' 7""",145,71,Orthodox
645456ef09c3ad72,Youssef Zalal,"5' 10""",145,72,Switch
79c76b8be6876e54,Norma Dumont,"5' 7""",135,67,Orthodox
651799fdf8054334,Joselyne Edwards,"5' 8""",135,70,Orthodox
0c24350dc36661c6,Rafa Garcia,"5' 7""",155,70,Orthodox
708c9a266a7807ba,Alexander Hernandez,"5' 9""",155,72,Orthodox
f27c5b17ac15dad0,Davey Grant,"5' 8""",135,69,Orthodox
d7ca352f5592a010,Adrian Luna Martinetti,,,,
960a493831029685,Montel Jackson,"5' 10""",135,75,Southpaw
b629ea51b007a50f,Raoni Barcelos,"5' 7""",135,67,Orthodox
55d5cc818221cbf5,Marcus Buchecha,"6' 2""",255,77,Orthodox
a987d4a821166828,Ryan Spann,"6' 5""",205,79,Orthodox
09d3fd4e11dd462b,Rodolfo Vieira,"6' 0""",185,73,Orthodox
cfceff9b0a52347d,Eric McConico,"6' 0""",185,77,Southpaw
c88287c8ff62d1e7,Jackson McVey,"6' 4""",185,77,Southpaw
b9b0cb0b8a752fa3,Sedriques Dumas,"6' 2""",185,79,Orthodox
45b16cfb5fe8e1ce,Mayra Bueno Silva,"5' 6""",135,66,Orthodox
f1e147aea98607af,Michelle Montague,"5' 9""",135,68,Southpaw
ef6f7cfd5d5972b3,Jafel Filho,"5' 7""",125,68,Orthodox
a242f92577351a3c,Cody Durden,"5' 7""",125,67,Southpaw
d04397fab633dfbf,Francis Marshall,"5' 9""",145,72,Orthodox
3a27b01f0d23a3c9,Lucas Brennan,--,155,--,Southpaw
c2ada31c1abf0ee0,Max Griffin,"5' 11""",170,76,Orthodox
2997111b0c357386,Victor Valenzuela,--,170,--,
57931677b95d6279,Talita Alencar,"5' 1""",115,58,Orthodox
1be2a80e36f38a46,Julia Polastri,"5' 2""",115,63,Orthodox
68c94eeac2a44ac3,Gilbert Burns,"5' 10""",170,71,Orthodox
b1cff96c18589464,Mike Malott,"6' 1""",170,73,Orthodox
ce34ff82b87a876a,Kyler Phillips,"5' 8""",135,72,Orthodox
d05aa9da9807a6ee,Charles Jourdain,"5' 9""",135,69,Switch
968f595eff08ecaa,Mandel Nallo,"6' 0""",155,75,Orthodox
f00ed05472a7e699,Jai Herbert,"6' 1""",155,77,Orthodox
8652f0cd3584afd1,Jasmine Jasudavicius,"5' 7""",125,68,Orthodox
06b4c878c2624c4d,Karine Silva,"5' 5""",125,67,Orthodox
cd82f793b5e03e41,Thiago Moises,"5' 9""",155,70,Orthodox
858da0d25b30d9c6,Gauge Young,"5' 9""",155,70,Orthodox
bd565805394ade24,Dennis Buzukja,"5' 9""",145,70,Switch
511c563e58695e67,Marcio Barbosa,"5' 6""",145,70,Orthodox
3428d93a94413bec,Julien Leblanc,--,185,--,
1e98be9c8709b029,Robert Valentin,"6' 2""",185,77,Orthodox
b1ef5cbd50ee7312,Tanner Boser,"6' 2""",205,75,Orthodox
dad588f3f326aac8,Gokhan Saricam,--,265,--,
d2bf67f8a51c9545,Melissa Croden,--,135,--,
d2806a494d582f8d,Daria Zhelezniakova,"5' 9""",135,68,Orthodox
1fdd3b0f7c74e3b8,JJ Aldrich,"5' 5""",125,67,Southpaw
9dffb743981ffe24,Jamey-Lyn Horth,"5' 7""",125,66,Orthodox
86a2f8b96a00ac43,John Castaneda,"5' 6""",135,71,Switch
ce6422307efdf762,Mark Vologdin,--,135,--,Orthodox
1b0adbf6ddcc1508,Jamie Siraj,--,145,--,
aa2eba7c7b37e442,John Yannis,"5' 7""",145,70,Southpaw
d649fe1ea4499ea7,Jiri Prochazka,"6' 3""",205,80,Orthodox
6a36f7b99dfc0313,Carlos Ulberg,"6' 4""",205,77,Orthodox
75591a46f79bc859,Azamat Murzakanov,"5' 10""",205,71,Southpaw
7b6300b29d5151e8,Paulo Costa,"6' 1""",185,72,Orthodox
de831203e050cdaf,Curtis Blaydes,"6' 4""",265,80,Orthodox
d39a1677910874e9,Josh Hokit,"6' 1""",238,73,Orthodox
ae7ec1ba7a87231d,Dominick Reyes,"6' 4""",205,77,Southpaw
f52a77241dedd0fd,Johnny Walker,"6' 6""",205,82,Orthodox
fdacef13c6f1d17a,Cub Swanson,"5' 8""",145,70,Orthodox
01de2cb017a2285d,Nate Landwehr,"5' 9""",145,72,Orthodox
c342e8c8e198af6a,Patricio Pitbull,,,,
c91e400809d7f272,Aaron Pico,"5' 8""",145,70,Orthodox
b577c6fa8060ff5c,Kevin Holland,"6' 3""",170,81,Orthodox
139240f3f69c1af6,Randy Brown,"6' 3""",170,78,Orthodox
6f8b8d1f2f3b7fcc,Mateusz Gamrot,"5' 10""",155,70,Southpaw
b64c3d4ac407dfce,Esteban Ribovics,"5' 10""",155,69,Orthodox
950f97f606ad601f,Tatiana Suarez,"5' 5""",115,66,Southpaw
b0959ad762762a12,Loopy Godinez,"5' 2""",115,61,Orthodox
6a5a96149763aeef,Chris Padilla,"5' 9""",155,74,Orthodox
bb76e767e4bf0b9a,MarQuel Mederos,"5' 10""",155,69,Orthodox
ebc4e432a92c3628,Kelvin Gastelum,"5' 9""",185,71,Southpaw
7eb5ea10a1a59139,Vicente Luque,"5' 11""",170,75,Orthodox
b592dbfd55f9fa7c,Charles Radtke,"5' 9""",170,72,Orthodox
505fe82b2d6baf48,Francisco Prado,"5' 10""",170,69,Orthodox
f91a8fe9ad32751f,Renato Moicano,"5' 11""",155,72,Orthodox
5d49240c45a2a624,Chris Duncan,"5' 10""",155,71,Orthodox
c677e653df81851a,Virna Jandiroba,"5' 3""",115,64,Orthodox
f27df41475ce0c44,Tabatha Ricci,"5' 1""",115,61,Orthodox
8d4cda2a290cc491,Abdul Rakhman Yakhyaev,"6' 2""",205,78,Orthodox
af48657df8015e6d,Brendson Ribeiro,"6' 3""",205,81,Orthodox
82f88b53fc143497,Ethyn Ewing,--,145,--,
