Fight_Id,Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
d7582b24e4d0947a,7b2ab75a34942757,c47a2d5c6f119c26,Arnold Allen,Melquizael Costa,1,0,98,100,7,0,0,0,Featherweight,U-DEC,5,5:00,38898b480f5798c3,W,L,5 Rnd (5-5-5-5-5),Chris Tognoni,Eric Colon 45 - 50.David Lethaby 45 - 50.Sal D'amato 46 - 49.,0.64,0.39,0,0,0,0,568,105,0.6,0.27,0.86,0.48,1,0.85,0.6,0.39,0,0,1,0.75,0.7,0.42,0.64,0.39
279ecbacf3cfeffe,a7a6034e8fa43cf3,536f76dbf452163c,Dooho Choi,Daniel Santos,1,0,72,72,0,0,0,0,Featherweight,KO/TKO,2,4:29,38898b480f5798c3,W,L,3 Rnd (5-5-5),Kerry Hatley,Punch to Body At Distance,0.52,0.4,0,0,0,0,11,54,0.46,0.35,1,0.68,1,0.75,0.5,0.37,1,0.8,1,0,0.54,0.4,0.52,0.4
69971656129dbafb,d4d40a862922e25b,bd1074ae3ea8a76e,Malcolm Wellmaker,Juan Diaz,0,0,15,13,0,5,0,1,Bantamweight,SUB,2,4:08,38898b480f5798c3,L,W,3 Rnd (5-5-5),Eric McMahon,Rear Naked Choke,0.45,0.52,0,1,0,0,0,228,0.27,0.33,0.5,1,0.75,0.54,0.44,0.48,1,0.67,0,1,0.44,0.56,0.45,0.52
70f925ec89b566bd,d8a13b497377e7a9,1943e071abc00467,Modestas Bukauskas,Christian Edwards,0,0,36,36,0,0,0,0,Catch Weight,S-DEC,3,5:00,38898b480f5798c3,W,L,3 Rnd (5-5-5),Kerry Hatley,David Sutherland 28 - 29.Junichiro Kamijo 29 - 28.Tony Weeks 28 - 29.,0.45,0.51,0,0,0,0,135,262,0.33,0.32,0.91,0.85,1,0.6,0.41,0.44,1,0.9,0,0,0.53,0.57,0.45,0.51
d5729a547652373f,501823539d83d4eb,debbb42b88fca431,Timmy Cuamba,Benardo Sopaj,0,1,29,37,0,1,0,2,Bantamweight,SUB,2,2:25,38898b480f5798c3,L,W,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,0.36,0.66,0,2,0,0,11,114,0.22,0.64,0.69,0,0.62,1,0.36,0.44,0,0,0,0.96,0.36,0.72,0.36,0.66
3dcd6b8917ae683c,28e935a43da03e9a,b9f1b98324b5733d,Nikolay Veretennikov,Khaos Williams,0,1,13,21,0,0,0,0,Welterweight,KO/TKO,1,3:31,38898b480f5798c3,L,W,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,0.52,0.38,0,0,0,0,0,54,0.42,0.26,0.75,0.78,1,0.42,0.52,0.38,0.5,0.25,0,0,0.61,0.49,0.52,0.38
687aaed46decfc7f,d33c0cd5e5776f5c,06888274ce3a59bc,Tuco Tokkos,Ivan Erslan,0,0,54,37,0,2,1,0,Light Heavyweight,U-DEC,3,5:00,38898b480f5798c3,L,W,3 Rnd (5-5-5),Eric McMahon,Adalaide Byrd 28 - 29.Junichiro Kamijo 28 - 29.David Sutherland 28 - 29.,0.44,0.56,1,0,0,0,69,511,0.4,0.55,0.5,1,0.86,0,0.43,0.54,0.67,0.67,0,0.63,0.45,0.71,0.44,0.56
26c63a5d8f8c6883,2c3c8b4851cc2a8e,42e2a193b15ca106,Tommy Gantt,Artur Minev,0,0,28,8,6,0,0,0,Lightweight,KO/TKO,2,2:51,38898b480f5798c3,W,L,3 Rnd (5-5-5),Kerry Hatley,Punches to Head From Back Control,0.74,0.62,0,0,0,0,315,53,0.7,0.29,0.82,1,0,1,0.3,0.43,0.83,0.83,0.94,0,0.86,0.85,0.74,0.62
067980bc5e6872df,34c605d6f3e6a96b,6b78ac6d81912745,Ketlen Vieira,Jacqueline Cavalcanti,0,0,30,53,1,0,0,0,Women's Bantamweight,U-DEC,3,5:00,38898b480f5798c3,W,L,3 Rnd (5-5-5),Jerin Valel,Eric Colon 28 - 29.Sal D'amato 28 - 29.David Lethaby 28 - 29.,0.33,0.48,0,0,0,0,282,0,0.31,0.24,0.4,0.64,1,0.96,0.32,0.48,0,0,0.5,0,0.42,0.55,0.33,0.48
2e9a1593cd080dfc,27647a7f19ee4c1d,805498e3922258c7,Cody Brundage,Andre Petroski,1,0,43,8,0,1,0,0,Middleweight,KO/TKO,2,0:44,38898b480f5798c3,W,L,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Guard,0.72,0.47,0,0,0,0,34,116,0.73,0.29,1,0.25,0.33,0.83,0.67,0.44,0,0,0.73,1,0.71,0.7,0.72,0.47
f74ba0ca5bdb1754,cb24bdec6e66509c,518e7e5fba746444,Alice Ardelean,Polyana Viana,0,0,46,34,1,0,1,0,Women's Strawweight,SUB,2,4:36,38898b480f5798c3,W,L,3 Rnd (5-5-5),Eric McMahon,Calf Slicer From GuardCapsule lock,0.49,0.45,1,0,0,0,245,13,0.36,0.2,0.59,0.68,0.88,1,0.48,0.44,1,0.56,0,0,0.58,0.58,0.49,0.45
2560ffbbd1e504ff,b83fed09d7555100,7b5a6833c40aa5f4,Daniel Barez,Luis Gurule,0,0,113,149,1,1,0,1,Flyweight,U-DEC,3,5:00,38898b480f5798c3,L,W,3 Rnd (5-5-5),Jerin Valel,Eric Colon 27 - 30.Junichiro Kamijo 27 - 30.Tony Weeks 27 - 30.,0.46,0.5,0,1,0,1,48,146,0.38,0.47,0.91,0.62,0.88,0.92,0.45,0.48,1,0.76,0,0,0.46,0.53,0.46,0.5
827b96405a733cfc,fcfcb80e9fcfff5a,c93e341dc99799ec,Shauna Bannon,Nicolle Caliari,0,0,29,20,0,4,0,1,Women's Strawweight,SUB,3,3:08,38898b480f5798c3,L,W,3 Rnd (5-5-5),Kerry Hatley,Arm Triangle From Side Control,0.59,0.53,0,1,0,0,110,558,0.52,0.51,0.82,0.67,0.57,0,0.5,0.31,0.5,1,1,1,0.86,0.74,0.59,0.53
252c871d1af82672,54c960e53549d612,4a637c0f4e711aa4,Khamzat Chimaev,Sean Strickland,0,0,98,123,9,0,0,0,Middleweight,S-DEC,5,5:00,8883ea0e634f84bd,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Sue Sanidad 48 - 47.Eric Colon 47 - 48.Sal D'amato 47 - 48.,0.41,0.39,0,0,0,0,436,181,0.32,0.39,0.54,0.5,0.92,0,0.41,0.39,0.67,1,0,0.6,0.48,0.45,0.41,0.39
