date,event_slug,fighter1,fighter2,open1,open2,close1,close2,n_books
2021-10-19,dana-white-s-contender-series-2342,Jonny Parsons,Solomon Renfro,,,4.2000,1.2469,5
2021-10-19,dana-white-s-contender-series-2342,Piera Rodriguez,Valesca Machado,,,1.2222,4.3000,5
2021-10-19,dana-white-s-contender-series-2342,Caio Borralho,Jesse Murray,,,1.1111,7.0000,5
2021-10-19,dana-white-s-contender-series-2342,Armen Petrosyan,Kaloyan Kolev,,,1.6061,2.4000,5
2021-10-19,dana-white-s-contender-series-2342,James Barnes,Pedro Falcao,,,5.2500,1.1669,5
2021-11-02,dana-white-s-contender-series-2346,Achilles Estremadura,Maheshate,,,1.1818,5.0000,5
2021-11-02,dana-white-s-contender-series-2346,Justin Burlinson,Yohan Lainesse,,,1.2041,4.7000,5
2021-11-02,dana-white-s-contender-series-2346,Erisson Ferreira,Lun Qiu,,,1.2500,4.0000,5
2021-11-02,dana-white-s-contender-series-2346,Canaan Kawaihae,Jonas Bilharinho,,,1.6250,2.3500,5
2021-11-02,dana-white-s-contender-series-2346,Juan Puerta,Zhifa Shang,,,1.5319,2.5500,5
2021-11-02,dana-white-s-contender-series-2346,Christian Quinonez,Long Xiao,,,1.2222,4.5000,5
2021-11-02,dana-white-s-contender-series-2346,Karine Silva,Qihui Yan,,,1.3333,3.3500,5
2021-11-02,dana-white-s-contender-series-2346,Kolton Englund,Manuel Torres,,,1.6061,2.4000,5
2021-11-02,dana-white-s-contender-series-2346,Bin Xie,Olivier Murad,,,1.3333,3.4000,5
2021-11-02,dana-white-s-contender-series-2346,Gadzhi Omargadzhiev,Jansey Silva,,,1.2198,4.5000,5
2023-08-08,dana-white-s-contender-series-2991,Cesar Almeida,Lucas Fernando,,,2.8250,1.4548,6
2023-08-08,dana-white-s-contender-series-2991,Bogdan Grad,Tom Nolan,,,2.4750,1.5666,6
2023-08-08,dana-white-s-contender-series-2991,Caio Machado,Kevin Szaflarski,,,2.4000,1.5887,6
2023-08-08,dana-white-s-contender-series-2991,Payton Talbott,Reyes Cortez,,,1.6757,2.1950,6
2023-08-08,dana-white-s-contender-series-2991,Kevin Borjas,Victor Dias,,,3.8500,1.2722,6
2023-09-06,dana-white-s-contender-series-3027,Chad Hanekom,Dylan Budka,,,1.5405,2.4800,7
2023-09-06,dana-white-s-contender-series-3027,Dione Barbosa,Rainn Guerrero,,,1.2381,4.0000,7
2023-09-27,dana-white-s-contender-series-3058,Danny Barlow,Raheam Forest,,,1.8696,1.9434,7
2023-09-27,dana-white-s-contender-series-3058,Alexander Soldatkin,Mario Piazzon,,,1.2247,4.0000,7
2023-09-27,dana-white-s-contender-series-3058,Angel Pacheco,Danny Silva,,,2.5500,1.5102,7
2023-09-27,dana-white-s-contender-series-3058,Carli Judice,Ernesta Kareckaite,,,1.4878,2.5000,7
2023-09-27,dana-white-s-contender-series-3058,Victor Hugo Madrigal,Vinicius Oliveira,,,3.2500,1.3226,7
2024-08-13,dana-white-s-contender-series-3413,Mansur Abdul-Malik,Wes Schultz,,,1.3031,3.5000,6
2024-08-13,dana-white-s-contender-series-3413,Meng Ding,Rami Hamed,,,1.4396,2.7750,6
2024-08-13,dana-white-s-contender-series-3413,Bruno Lopes,Mikheil Sazhiniani,,,1.5635,2.4500,6
2024-08-13,dana-white-s-contender-series-3413,Ernie Juarez,Jose Delgado,,,3.4500,1.3159,6
2024-08-13,dana-white-s-contender-series-3413,An Tuan Ho,Lone'er Kavanagh,,,2.2250,1.6667,6
2024-08-20,dana-white-s-contender-series-3428,Andreas Gustafsson,Pat Pytlik,,,1.4000,2.9250,6
2024-08-20,dana-white-s-contender-series-3428,Hugo Cunha,Rizvan Kuniev,,,5.4000,1.1580,6
2024-08-20,dana-white-s-contender-series-3428,Cortavious Romious,Michael Imperato,,,1.2722,3.8750,6
2024-08-20,dana-white-s-contender-series-3428,Cam Rowston,Torrez Finney,,,4.4750,1.2111,6
2024-08-20,dana-white-s-contender-series-3428,Billy Brand,Cody Haddon,,,2.3250,1.6006,6
2024-08-28,dana-white-s-contender-series-3446,Andrey Pulyaev,Liam Anderson,,,2.8300,1.4215,6
2024-08-28,dana-white-s-contender-series-3446,Bogdan Grad,Michael Aswell,,,2.0354,1.7836,6
2024-08-28,dana-white-s-contender-series-3446,Marco Tulio,Matthieu Duclos,,,1.2000,4.5000,6
2024-08-28,dana-white-s-contender-series-3446,Adam Bramhald,Malcolm Wellmaker,,,3.1250,1.3584,6
2024-08-28,dana-white-s-contender-series-3446,Jack Duffy,Nick Piccininni,,,3.8750,1.2667,6
2024-09-03,dana-white-s-contender-series-3447,Austin Bashi,Dorian Ramos,,,1.0909,7.7500,6
2024-09-17,dana-white-s-contender-series-3473,Aaron Tau,Elijah Smith,,,3.1500,1.3611,6
2024-09-17,dana-white-s-contender-series-3473,Arthur Lopes,Tallison Teixeira,,,7.5000,1.0917,6
2024-09-17,dana-white-s-contender-series-3473,Benjamin Bennett,Joey Hart,,,1.6503,2.2250,6
2024-09-17,dana-white-s-contender-series-3473,Ateba Gautier,Yura Naito,,,1.9762,1.8194,6
2024-09-17,dana-white-s-contender-series-3473,Ahmad Hassanzada,Dylan Mantello,,,1.6806,2.2000,6
2024-10-02,dana-white-s-contender-series-3502,Bartosz Szewczyk,Diyar Nurgozhay,,,2.1600,1.6873,6
2024-10-02,dana-white-s-contender-series-3502,Alberto Montes,Carlos Calderon,,,1.3252,3.4250,6
2024-10-02,dana-white-s-contender-series-3502,David Martinez,Xavier Franklin,,,1.6473,2.2350,6
2024-10-02,dana-white-s-contender-series-3502,Abdellah Er Ramy,Torrez Finney,,,3.2750,1.3333,6
2024-10-02,dana-white-s-contender-series-3502,Christien Savoie,Jacobe Smith,,,6.5000,1.1099,6
2024-10-09,dana-white-s-contender-series-3514,Artem Vakhitov,Islem Masraf,,,1.2331,4.1500,6
2024-10-09,dana-white-s-contender-series-3514,Chasen Blair,Kody Steele,,,3.6500,1.2649,6
