date,event_slug,fighter1,fighter2,open1,open2,close1,close2,n_books
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Marvin Vettori,Paulo Costa,,,1.5000,2.6200,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Grant Dawson,Rick Glenn,,,1.2000,4.8500,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Jessica-Rose Clark,Joselyne Edwards,,,1.6173,2.3000,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Alex Caceres,Seung Woo Choi,,,3.2000,1.3636,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Dwight Grant,Francisco Trinaldo,,,2.1500,1.7246,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Ike Villanueva,Nicolae Negumereanu,,,2.9400,1.4167,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Gregory Rodrigues,Jun Yong Park,,,1.7299,2.1000,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,David Onama,Mason Jones,,,4.3300,1.2222,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Maria de Oliveira Neta,Tabatha Ricci,,,3.1500,1.3774,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Jamie Pickett,Laureano Staropoli,,,2.8000,1.4444,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Jai Herbert,Khama Worthy,,,1.5495,2.4500,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Daniel Lacerda,Jeff Molina,,,2.3500,1.6061,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Livia Renata Souza,Randa Markos,,,1.7692,2.0500,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Jonathan Martinez,Zviad Lazishvili,,,1.9259,1.8929,7
2021-10-23,ufc-fight-night-costa-vs-vettori-2203,Aaron Phillips,Jonathan Martinez,,,3.6000,1.2857,1
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Arnold Allen,Max Holloway,,,2.4000,1.5714,5
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Billy Quarantillo,Edson Barboza,,,1.5868,2.4000,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Azamat Murzakanov,Dustin Jacoby,,,2.3500,1.6080,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Ion Curelaba,Tanner Boser,,,1.7692,2.0650,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Chris Gutierrez,Pedro Munhoz,,,1.4707,2.7000,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Clay Guida,Rafa Garcia,,,3.1500,1.3636,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Bill Algeo,Tj Brown,,,1.5000,2.6400,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Brandon Royval,Matheus Nicolau,,,2.6350,1.4878,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Ed Herman,Zak Cummings,,,2.7250,1.4545,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Gillian Robertson,Piera Rodriguez,,,1.7550,2.1000,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Daniel Zellhuber,Lando Vannata,,,1.7634,2.0750,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Bruna Brasil,Denise Gomes,,,1.6782,2.2250,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Aaron Phillips,Gaston Bolanos,,,2.5000,1.5334,6
2023-04-15,ufc-fight-night-holloway-vs-allen-2796,Joselyne Edwards,Lucie Pudilova,,,2.1500,1.7195,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Amir Albazi,Kai Kara-France,,,1.8299,1.9709,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Alex Caceres,Daniel Pineda,,,1.5348,2.5100,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Jesse Butler,Jim Miller,,,3.0500,1.3961,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Timothy Elliott,Victor Altamirano,,,1.5391,2.4800,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Karine Silva,Ketlen Souza,,,1.4444,2.7500,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Abubakar Nurmagomedov,Elizeu Zaleski,,,1.8065,2.0100,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Daniel Santos,Johnny Munoz,,,1.4396,2.8250,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Andrei Arlovski,Don'tale Mayes,,,2.1700,1.7143,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Guram Kutateladze,Jamie Mullarkey,,,1.2857,3.6000,1
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Jim Miller,Ludovit Klein,,,3.0000,1.4000,1
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,John Castaneda,Mateus Mendonca,,,1.6061,2.3500,1
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,John Castaneda,Muin Gafurov,,,1.7846,2.0250,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Jamie Mullarkey,Muhammadjon Naimov,,,1.2129,4.5500,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Elise Reed,Jinh Yu Frey,,,1.7435,2.1000,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Darmon Blackshear,Luan Lacerda,,,2.2750,1.6390,6
2023-06-03,ufc-on-espn-hermansson-vs-allen-2870,Maxim Grishin,Philipe Lins,,,1.7876,2.0400,6
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Belal Muhammad,Vicente Luque,,,2.5100,1.5263,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Caio Borralho,Gadzhi Omargadzhiev,,,2.0200,1.8333,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Andre Fialho,Miguel Baeza,,,2.4000,1.5714,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Mayra Bueno Silva,Yanan Wu,,,1.2000,4.6000,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Pat Sabatini,T.J. Laramie,,,1.2000,4.8500,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Chris Barnett,Martin Buday,,,3.0000,1.4000,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Ange Loosa,Mounir Lazzez,,,2.7000,1.4762,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Devin Clark,William Knight,,,1.5714,2.4000,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Lina Akhtar Lansberg,Pannie Kianzad,,,4.4000,1.2222,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Brandon Jenkins,Drakkar Klose,,,5.5000,1.1613,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Jesse Ronson,Rafa Garcia,,,1.7353,2.1500,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Jordan Leavitt,Trey Ogden.,,,2.1500,1.7143,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Elizeu Zaleski Dos Santos,Mounir Lazzez,,,1.5263,2.5500,1
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Jordan Leavitt,Victor Martinez,,,1.6897,2.2000,1
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Istela Nunes,Sam Hughes,,,1.4167,2.9500,7
2022-04-16,ufc-fight-night-ufc-fight-night-206-2412,Heili Alateng,Kevin Croom,,,1.5618,2.5000,7
2026-05-09,ufc-328-4165,Khamzat Chimaev,Sean Strickland,1.2500,4.7600,1.2163,4.4500,7
2026-05-09,ufc-328-4165,Joshua van,Tatsuro Taira,2.3800,1.6944,2.2650,1.6515,7
2026-05-09,ufc-328-4165,Alexander Volkov,Waldo Cortes-Acosta,1.7519,2.2700,1.7092,2.1450,7
2026-05-09,ufc-328-4165,Joaquin Buckley,Sean Brady,1.5155,2.8600,1.6043,2.3500,5
2026-05-09,ufc-328-4165,Jeremy Stephens,King Green,4.3500,1.2817,4.1250,1.2381,7
2026-05-09,ufc-328-4165,Ateba Gautier,Ozzy Diaz,,,1.0705,9.2000,6
2026-05-09,ufc-328-4165,Joel Alvarez,Yaroslav Amosov,2.7000,1.5618,2.5200,1.5263,7
2026-05-09,ufc-328-4165,Grant Dawson,Mateusz Rebecki,1.7519,2.2700,1.6758,2.2200,7
2026-05-09,ufc-328-4165,Jared Gordon,Jim Miller,1.4082,3.3300,1.3584,3.2250,7
2026-05-09,ufc-328-4165,Marco Tulio,Roman Kopylov,1.5882,2.6300,1.5406,2.5000,7
2026-05-09,ufc-328-4165,Pat Sabatini,William Gomis,1.6667,2.4400,1.5650,2.4000,7
2026-05-09,ufc-328-4165,Baisangur Susurkaev,Djorden Santos,,,1.1250,6.4250,6
