normalized_name,source,canonical_id
arnold allen,ufc,7b2ab75a34942757
melquizael costa,ufc,c47a2d5c6f119c26
dooho choi,ufc,a7a6034e8fa43cf3
daniel santos,ufc,536f76dbf452163c
malcolm wellmaker,ufc,d4d40a862922e25b
juan diaz,ufc,bd1074ae3ea8a76e
modestas bukauskas,ufc,d8a13b497377e7a9
christian edwards,ufc,1943e071abc00467
timmy cuamba,ufc,501823539d83d4eb
benardo sopaj,ufc,debbb42b88fca431
nikolay veretennikov,ufc,28e935a43da03e9a
khaos williams,ufc,b9f1b98324b5733d
tuco tokkos,ufc,d33c0cd5e5776f5c
ivan erslan,ufc,06888274ce3a59bc
tommy gantt,ufc,2c3c8b4851cc2a8e
artur minev,ufc,42e2a193b15ca106
ketlen vieira,ufc,34c605d6f3e6a96b
jacqueline cavalcanti,ufc,6b78ac6d81912745
cody brundage,ufc,27647a7f19ee4c1d
andre petroski,ufc,805498e3922258c7
alice ardelean,ufc,cb24bdec6e66509c
polyana viana,ufc,518e7e5fba746444
daniel barez,ufc,b83fed09d7555100
luis gurule,ufc,7b5a6833c40aa5f4
shauna bannon,ufc,fcfcb80e9fcfff5a
nicolle caliari,ufc,c93e341dc99799ec
khamzat chimaev,ufc,54c960e53549d612
sean strickland,ufc,4a637c0f4e711aa4
joshua van,ufc,eff3824cc383d8db
tatsuro taira,ufc,8b558a8b79942698
alexander volkov,ufc,65960493f529fc58
waldo cortes acosta,ufc,34808451782bc5ee
sean brady,ufc,25398aa8ac7d221b
joaquin buckley,ufc,9af1cc34b9b919f0
king green,ufc,70838bdc207b5308
jeremy stephens,ufc,3c95a9ebd88e0a60
ateba gautier,ufc,ea2b6837d31cc55d
ozzy diaz,ufc,fafa67326d7c9922
joel alvarez,ufc,6633d8ac3511d67f
yaroslav amosov,ufc,8ab1b5cdf84d546b
grant dawson,ufc,4baf4a920856545f
mateusz rebecki,ufc,8d7218ec34c995e4
jim miller,ufc,797fa5336cd3ef3f
jared gordon,ufc,b965911ecbb7ea65
roman kopylov,ufc,87802dddb1e85813
marco tulio,ufc,430417004f18f7de
pat sabatini,ufc,40b55b6c6b38eb80
william gomis,ufc,645d371635f46171
baisangur susurkaev,ufc,b6000d01b31a6fe6
djorden santos,ufc,b78c2c0cb4980e9d
clayton carpenter,ufc,32419c2e11456ca4
jose ochoa,ufc,db49290d0f386435
jack della maddalena,ufc,a265afb7b9f0a9cc
carlos prates,ufc,c72157b5062f45ef
beneil dariush,ufc,07c24c4cb2af85ed
quillan salkilld,ufc,a66c074dfa6b8835
tim elliott,ufc,eb6e138c10bb379c
steve erceg,ufc,d85578e821c6185f
marwan rahiki,ufc,5a1004a74203b5f2
ollie schmid,ufc,c3fda37faec200fb
shamil gaziev,ufc,dcf805bf4b210fb9
brando pericic,ufc,d8d2c1549a3c3300
tai tuivasa,ufc,629bc2bb71d9f224
louie sutherland,ufc,fd041fcc21cc505d
cam rowston,ufc,458a79c22325eee8
robert bryczek,ufc,ffc82991174b4d0d
junior tafa,ufc,3d3b451081ce16e9
