canonical_id,fullName,dob,precision,source
4a637c0f4e711aa4,Sean Strickland,1991-02-27,day,sherdog
65960493f529fc58,Alexander Volkov,1988-10-24,day,wikidata
70838bdc207b5308,King Green,1986-09-09,day,sherdog
797fa5336cd3ef3f,Jim Miller,1983-08-30,day,wikidata
eb6e138c10bb379c,Tim Elliott,1986-12-24,day,wikidata
d85578e821c6185f,Steve Erceg,1995-07-27,day,sherdog
3d3b451081ce16e9,Junior Tafa,1996-09-21,day,wikidata
b629ea51b007a50f,Raoni Barcelos,1987-05-01,day,wikidata
a242f92577351a3c,Cody Durden,1991-03-29,day,sherdog
cd82f793b5e03e41,Thiago Moises,1995-03-23,day,wikidata
d39a1677910874e9,Josh Hokit,1997-11-12,day,sherdog
fdacef13c6f1d17a,Cub Swanson,1983-11-02,day,wikidata
b577c6fa8060ff5c,Kevin Holland,1992-11-05,day,sherdog
6a5a96149763aeef,Chris Padilla,1995-09-14,day,sherdog
bb76e767e4bf0b9a,MarQuel Mederos,1996-11-30,day,sherdog
ebc4e432a92c3628,Kelvin Gastelum,1991-10-24,day,sherdog
7eb5ea10a1a59139,Vicente Luque,1991-11-27,day,sherdog
b592dbfd55f9fa7c,Charles Radtke,1990-07-09,day,sherdog
505fe82b2d6baf48,Francisco Prado,2002-06-16,day,sherdog
f91a8fe9ad32751f,Renato Moicano,1989-05-21,day,sherdog
5d49240c45a2a624,Chris Duncan,1993-05-10,day,sherdog
c677e653df81851a,Virna Jandiroba,1988-05-30,day,sherdog
f27df41475ce0c44,Tabatha Ricci,1995-02-21,day,sherdog
8d4cda2a290cc491,Abdul Rakhman Yakhyaev,2001-01-03,day,sherdog
af48657df8015e6d,Brendson Ribeiro,1996-08-09,day,sherdog
82f88b53fc143497,Ethyn Ewing,1998-02-16,day,sherdog
070750e76792d168,Rafael Estevam,1996-08-10,day,sherdog
006859adbc880edd,Tommy McMillen,1997-12-15,day,sherdog
38b46d37f0433714,Manolo Zecchini,1996-10-22,day,sherdog
8ab166e422390e19,Robert Ruchala,1998-05-15,day,sherdog
5559b70c45c58628,Guilherme Pat,1994-04-20,day,sherdog
af733fdd68401f60,Thomas Petersen,1995-03-30,day,sherdog
14a2fa2dd23e71d3,Alessandro Costa,1996-01-28,day,sherdog
b2b19b8c517cc5a0,Stewart Nicoll,1994-11-03,day,sherdog
088be1c84c33ee73,Lando Vannata,1992-03-14,day,sherdog
f9e0aa1af1d6a50a,Darrius Flowers,1994-08-25,day,sherdog
ba79f6bac3682eb1,Hailey Cowan,1992-02-12,day,sherdog
938dc74b9de9c415,Azamat Bekoev,1995-12-30,day,sherdog
7bea6275b1fcbfa4,Tresean Gore,1994-06-21,day,sherdog
7e02c6105357be18,Dione Barbosa,1992-05-08,day,sherdog
8f8896b8e9a60609,Melissa Gatto,1996-05-02,day,sherdog
598430d5dbee5664,Dakota Hope,1997-01-29,day,sherdog
5842f43eb1269085,Israel Adesanya,1989-07-22,day,sherdog
154db60abecdd988,Joe Pyfer,1996-09-17,day,sherdog
2f089bd2b4bc0145,Alexa Grasso,1993-08-09,day,sherdog
c9bce4b58587da90,Maycee Barber,1998-05-18,day,sherdog
a9b7c0eff1396b5b,Michael Chiesa,1987-12-07,day,sherdog
e3116e06ecdcad09,Niko Price,1989-09-29,day,sherdog
7dbe9bb9a5b973b5,Julian Erosa,1989-07-31,day,wikidata
26f15079cf039c8c,Lerryan Douglas,1995-04-27,day,sherdog
b9562bf0e19e971a,Mansur Abdul-Malik,1997-10-07,day,sherdog
02e16570ff7efb38,Yousri Belgaroui,1992-06-02,day,sherdog
d75d3c014f3a0d70,Terrance McKinney,1994-09-15,day,sherdog
14969e972edf065c,Kyle Nelson,1991-04-20,day,sherdog
1979d2ef989e7265,Ignacio Bahamondes,1997-08-27,day,sherdog
453d16339a1c9b31,Tofiq Musayev,1989-12-15,day,sherdog
61aca8157bf71afd,Chase Hooper,1999-09-13,day,wikidata
60dd552a80e10dab,Lance Gibson Jr.,1995-02-02,day,sherdog
3a7dd104278b1800,Marcin Tybura,1985-11-09,day,sherdog
41e41e4d372a0ff3,Tyrell Fortune,1990-07-04,day,sherdog
357346d53e3f2652,Casey O'Neill,1997-10-07,day,sherdog
99ea8e8d3db8f1a9,Gabriella Fernandes,1993-08-13,day,sherdog
0b43bf0acbd22ca3,Navajo Stirling,1997-11-07,day,sherdog
d13c8ceda8609795,Bruno Lopes,1993-04-24,day,sherdog
a0811e03ef7082c8,Ricky Simon,1992-08-31,day,sherdog
f11750d4f48eb942,Adrian Yanez,1993-11-29,day,sherdog
3808fc6e211485cf,Alexia Thainara,1997-11-20,day,sherdog
90ae69e9a9137984,Bruna Brasil,1993-09-07,day,sherdog
eb764bb66e7f3030,Movsar Evloev,1994-02-11,day,sherdog
7468010a5070b907,Lerone Murphy,1991-07-22,day,sherdog
2c5a8031b203a4e5,Luke Riley,1999-06-30,day,sherdog
bbad8cc98783fae1,Michael Aswell Jr.,2000-09-27,day,sherdog
de9b370a0b1c44a9,Michael Page,1987-04-07,day,sherdog
949e6bb465af017b,Sam Patterson,1996-04-30,day,sherdog
f7012ef25547fc99,Iwo Baraniewski,1998-11-20,day,sherdog
f7d9010e13806799,Austen Lane,1987-11-09,day,wikidata
900105052b1946b1,Roman Dolidze,1988-07-15,day,sherdog
ba40e07b06503a8c,Christian Leroy Duncan,1995-07-24,day,sherdog
e25181125365fbe6,Kurtis Campbell,2002-07-29,day,sherdog
07f69c437c68f468,Danny Silva,1997-01-30,day,sherdog
384b9ef43aa01a73,Mason Jones,1995-04-26,day,sherdog
a892819bc8e25b5a,Axel Sola,1997-09-17,day,sherdog
00bf0d84c07bafc5,Nathaniel Wood,1993-08-05,day,sherdog
3f143ed5d6b45e39,Mario Pinto,1998-03-14,day,sherdog
dad9b43cf7480f68,Felipe Franco,2001-01-22,day,sherdog
a2abca58544b6a7b,Mantas Kondratavicius,1999-07-17,day,sherdog
64794ca3e674f4b1,Antonio Trocoli,1990-12-06,day,sherdog
f1195dbd3ad1d780,Shem Rock,1993-11-05,day,sherdog
56ae4acb4e3f6e6b,Abdul-Kareem Al-Selwady,1995-04-10,day,sherdog
6eac40c13b114758,Ravena Oliveira,1997-02-20,day,sherdog
470ffc8f48859da9,Josh Emmett,1985-03-04,day,sherdog
f82c365cb6b6a2e8,Kevin Vallejos,2001-12-08,day,sherdog
deadb348f846ea90,Amanda Lemos,1987-05-22,day,sherdog
bd86cff59cdab666,Gillian Robertson,1995-05-17,day,sherdog
37965f5e8d73ed22,Andre Fili,1990-06-25,day,sherdog
2f88f17add7669c5,Jose Delgado,1998-04-21,day,sherdog
93efefee6f6403e8,Harry Hardwick,1994-09-29,day,sherdog
4b69b3ef64951c28,Ion Cutelaba,1993-12-14,day,sherdog
e5f3f443faf8da23,Oumar Sy,1995-11-21,day,sherdog
6b565d153901a9e1,Charles Johnson,1991-01-10,day,sherdog
0125dc31ba4e5f14,Bruno Silva,1989-07-13,day,sherdog
9fc426aaa44255d9,Chris Curtis,1987-07-15,day,sherdog
96175d750571d1d3,Myktybek Orolbai,1998-02-10,day,sherdog
d04b8d5ce7a65c4f,Vitor Petrino,1997-08-28,day,sherdog
7d1e163720b62145,Steven Asplund,1998-07-16,day,sherdog
28922ab0ce7d617b,Elijah Smith,2002-09-05,day,sherdog
8973247f6808fbfd,Bolaji Oki,1995-11-15,day,sherdog
a175cb5d70c753c6,Manoel Sousa,1997-06-04,day,sherdog
d22abf14634b6e90,Brad Tavares,1987-12-21,day,sherdog
f5e2ac299e039054,Eryk Anders,1987-04-21,day,sherdog
c9abda4e3d5582ad,Montse Rendon,1989-03-16,day,sherdog
fcd67980557f2e84,Luan Lacerda,1993-01-07,day,sherdog
205e928621a6f62d,Hecher Sosa,1995-08-25,day,sherdog
904ca6578a6ca8eb,Piera Rodriguez,1992-11-11,day,sherdog
c87f8c1d3d4d01fe,Sam Hughes,1992-06-28,day,sherdog
fe8d8a8c3b0afe3e,Max Holloway,1991-12-04,day,sherdog
01827249d3b138b8,Charles Oliveira,1989-10-17,day,sherdog
b483569c9c54cfc6,Caio Borralho,1993-01-16,day,sherdog
db3f5063058ec38a,Reinier de Ridder,1990-09-07,day,sherdog
deb2e9b4a9179872,Rob Font,1987-06-25,day,sherdog
880ed8d5af0c13b1,Raul Rosas Jr.,2004-10-08,day,sherdog
4eb5d85bfd99d0f5,Drew Dober,1988-10-19,day,sherdog
6539dfcd12383095,Michael Johnson,1986-06-04,day,sherdog
2127684a702c4006,Gregory Rodrigues,1992-02-17,day,sherdog
