canonical_id,fullName,nationality,photo_url,photo_license,ufc_id
ebc4e432a92c3628,Kelvin Gastelum,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Kelvin%20Gastelum.jpg?width=400,Wikimedia Commons (verify per-file),kelvin-gastelum
7eb5ea10a1a59139,Vicente Luque,Brazil,,,vicente-luque
505fe82b2d6baf48,Francisco Prado,Argentina,,,francisco-prado
f91a8fe9ad32751f,Renato Moicano,Brazil,https://commons.wikimedia.org/wiki/Special:FilePath/Renato%20Moicano%202024.png?width=400,Wikimedia Commons (verify per-file),renato-moicano
c677e653df81851a,Virna Jandiroba,Brazil,,,virna-jandiroba
f27df41475ce0c44,Tabatha Ricci,Brazil,,,tabatha-ricci
8d4cda2a290cc491,Abdul Rakhman Yakhyaev,Turkey,,,
82f88b53fc143497,Ethyn Ewing,United States,,,ethyn-ewing
070750e76792d168,Rafael Estevam,Brazil,,,
8ab166e422390e19,Robert Ruchala,Poland,,,robert-ruchala
14a2fa2dd23e71d3,Alessandro Costa,Brazil,,,
088be1c84c33ee73,Lando Vannata,United States,,,lando-vannata
938dc74b9de9c415,Azamat Bekoev,Russia,,,azamat-bekoev
7bea6275b1fcbfa4,Tresean Gore,United States,,,tresean-gore
8f8896b8e9a60609,Melissa Gatto,Brazil,,,melissa-gatto
5842f43eb1269085,Israel Adesanya,New Zealand,https://commons.wikimedia.org/wiki/Special:FilePath/Israel%20Adesanya%202014.jpg?width=400,Wikimedia Commons (verify per-file),israel-adesanya
154db60abecdd988,Joe Pyfer,United States,,,joe-pyfer
2f089bd2b4bc0145,Alexa Grasso,Mexico,https://commons.wikimedia.org/wiki/Special:FilePath/Alexa%20Grasso%202023%2003.png?width=400,Wikimedia Commons (verify per-file),alexa-grasso
c9bce4b58587da90,Maycee Barber,United States,,,maycee-barber
a9b7c0eff1396b5b,Michael Chiesa,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Chiesa%20at%20UFC%20232.jpg?width=400,Wikimedia Commons (verify per-file),michael-chiesa
e3116e06ecdcad09,Niko Price,United States,,,niko-price
7dbe9bb9a5b973b5,Julian Erosa,United States,,,julian-erosa
02e16570ff7efb38,Yousri Belgaroui,Tunisia,,,yousri-belgaroui
d75d3c014f3a0d70,Terrance McKinney,United States,,,terrance-mckinney
14969e972edf065c,Kyle Nelson,Canada,https://commons.wikimedia.org/wiki/Special:FilePath/Kyle%20Nelson.png?width=400,Wikimedia Commons (verify per-file),kyle-nelson
1979d2ef989e7265,Ignacio Bahamondes,Chile,,,ignacio-bahamondes
453d16339a1c9b31,Tofiq Musayev,Azerbaijan,https://commons.wikimedia.org/wiki/Special:FilePath/Tofiq%20Musayev.jpg?width=400,Wikimedia Commons (verify per-file),tofiq-musayev
61aca8157bf71afd,Chase Hooper,United States,,,chase-hooper
3a7dd104278b1800,Marcin Tybura,Poland,,,marcin-tybura
41e41e4d372a0ff3,Tyrell Fortune,United States,,,
357346d53e3f2652,Casey O'Neill,Australia,,,casey-oneill
a0811e03ef7082c8,Ricky Simon,United States,https://commons.wikimedia.org/wiki/Special:FilePath/Ricky%20Sim%C3%B3n%202019.jpg?width=400,Wikimedia Commons (verify per-file),ricky-simon
f11750d4f48eb942,Adrian Yanez,United States,,,adrian-yanez
eb764bb66e7f3030,Movsar Evloev,Russia,,,movsar-evloev
7468010a5070b907,Lerone Murphy,United Kingdom,,,lerone-murphy
de9b370a0b1c44a9,Michael Page,United Kingdom,https://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Venom%20Page.png?width=400,Wikimedia Commons (verify per-file),
949e6bb465af017b,Sam Patterson,United Kingdom,,,sam-patterson
f7012ef25547fc99,Iwo Baraniewski,Poland,,,iwo-baraniewski
f7d9010e13806799,Austen Lane,United States,,,austen-lane
