canonical_id,fullName,nickname,weightClass,gender,W,L,D,fightCount,height,stance,sherdogId,aliases
7b2ab75a34942757,Arnold Allen,,Featherweight,Male,12,3,0,15,"5' 8""",Southpaw,,Arnold Allen
c47a2d5c6f119c26,Melquizael Costa,,Featherweight,Male,7,3,0,10,"5' 10""",Southpaw,,Melquizael Costa
a7a6034e8fa43cf3,Dooho Choi,,Featherweight,Male,6,3,1,10,"5' 10""",Orthodox,,Dooho Choi | Doo Ho Choi
536f76dbf452163c,Daniel Santos,,Featherweight,Male,4,2,0,6,"5' 7""",Orthodox,,Daniel Santos
d4d40a862922e25b,Malcolm Wellmaker,,Bantamweight,Male,2,2,0,4,"5' 10""",Switch,,Malcolm Wellmaker
bd1074ae3ea8a76e,Juan Diaz,,Bantamweight,Male,1,0,0,1,--,,,Juan Diaz
d8a13b497377e7a9,Modestas Bukauskas,,Light Heavyweight,Male,8,5,0,13,"6' 3""",Switch,,Modestas Bukauskas
1943e071abc00467,Christian Edwards,,,Male,0,1,0,1,--,,,Christian Edwards
501823539d83d4eb,Timmy Cuamba,,Bantamweight,Male,2,3,0,5,"5' 9""",Orthodox,,Timmy Cuamba
debbb42b88fca431,Benardo Sopaj,,Bantamweight,Male,2,1,0,3,"5' 6""",Orthodox,,Benardo Sopaj
28e935a43da03e9a,Nikolay Veretennikov,,Welterweight,Male,2,4,0,6,"6' 1""",Orthodox,,Nikolay Veretennikov
b9f1b98324b5733d,Khaos Williams,,Welterweight,Male,7,4,0,11,"6' 0""",Orthodox,,Khaos Williams | Kalinn Williams
d33c0cd5e5776f5c,Tuco Tokkos,,Light Heavyweight,Male,1,3,0,4,"6' 4""",Orthodox,,Tuco Tokkos
06888274ce3a59bc,Ivan Erslan,,Light Heavyweight,Male,1,3,0,4,"6' 2""",Orthodox,,Ivan Erslan
2c3c8b4851cc2a8e,Tommy Gantt,,Lightweight,Male,1,0,0,1,"5' 11""",Orthodox,,Tommy Gantt
42e2a193b15ca106,Artur Minev,,Lightweight,Male,0,1,0,1,--,,,Artur Minev
34c605d6f3e6a96b,Ketlen Vieira,,Women's Bantamweight,Female,10,5,0,15,"5' 8""",Orthodox,,Ketlen Vieira
6b78ac6d81912745,Jacqueline Cavalcanti,,Women's Bantamweight,Female,5,1,0,6,"5' 8""",Orthodox,,Jacqueline Cavalcanti
27647a7f19ee4c1d,Cody Brundage,,Middleweight,Male,6,8,1,16,"6' 0""",Orthodox,,Cody Brundage | Cody Brundage.
805498e3922258c7,Andre Petroski,,Middleweight,Male,8,5,0,13,"6' 0""",Switch,,Andre Petroski | Andre Petroski.
cb24bdec6e66509c,Alice Ardelean,,Women's Strawweight,Female,3,2,0,5,"5' 3""",Orthodox,,Alice Ardelean
518e7e5fba746444,Polyana Viana,,Women's Strawweight,Female,4,8,0,12,"5' 5""",Orthodox,,Polyana Viana
b83fed09d7555100,Daniel Barez,,Flyweight,Male,1,3,0,4,"5' 6""",Orthodox,,Daniel Barez
7b5a6833c40aa5f4,Luis Gurule,,Flyweight,Male,1,3,0,5,"5' 5""",Orthodox,,Luis Gurule
fcfcb80e9fcfff5a,Shauna Bannon,,Women's Strawweight,Female,2,3,0,5,"5' 5""",Switch,,Shauna Bannon
c93e341dc99799ec,Nicolle Caliari,,Women's Flyweight,Female,1,2,0,3,"5' 3""",Orthodox,,Nicolle Caliari
54c960e53549d612,Khamzat Chimaev,,Middleweight,Male,9,1,0,10,"6' 2""",Orthodox,,Khamzat Chimaev
4a637c0f4e711aa4,Sean Strickland,,Middleweight,Male,18,7,0,25,"6' 1""",Orthodox,,Sean Strickland
eff3824cc383d8db,Joshua Van,,Flyweight,Male,10,1,0,11,"5' 5""",Orthodox,,Joshua Van | Joshua van
8b558a8b79942698,Tatsuro Taira,,Flyweight,Male,8,2,0,10,"5' 7""",Orthodox,,Tatsuro Taira
65960493f529fc58,Alexander Volkov,,Heavyweight,Male,14,5,0,19,"6' 7""",Orthodox,,Alexander Volkov
34808451782bc5ee,Waldo Cortes Acosta,,Heavyweight,Male,10,3,0,13,,,,Waldo Cortes Acosta | Waldo Cortes-Acosta
25398aa8ac7d221b,Sean Brady,,Welterweight,Male,9,2,0,11,"5' 10""",Orthodox,,Sean Brady
9af1cc34b9b919f0,Joaquin Buckley,,Welterweight,Male,11,6,0,17,"5' 10""",Southpaw,,Joaquin Buckley
70838bdc207b5308,King Green,,Lightweight,Male,16,12,1,30,"5' 10""",Orthodox,,King Green | Bobby Green
3c95a9ebd88e0a60,Jeremy Stephens,,Lightweight,Male,15,20,0,36,"5' 9""",Orthodox,,Jeremy Stephens
ea2b6837d31cc55d,Ateba Gautier,,Middleweight,Male,5,0,0,5,"6' 4""",Switch,,Ateba Gautier
fafa67326d7c9922,Ozzy Diaz,,Middleweight,Male,1,2,0,3,"6' 4""",Orthodox,,Ozzy Diaz
6633d8ac3511d67f,Joel Alvarez,,Welterweight,Male,8,3,0,11,"6' 3""",Orthodox,,Joel Alvarez
8ab1b5cdf84d546b,Yaroslav Amosov,,Welterweight,Male,2,0,0,2,--,,,Yaroslav Amosov
4baf4a920856545f,Grant Dawson,,Lightweight,Male,12,2,1,15,"5' 10""",Switch,,Grant Dawson | Grant Dawson.
8d7218ec34c995e4,Mateusz Rebecki,,Lightweight,Male,4,4,0,8,"5' 7""",Southpaw,,Mateusz Rebecki
797fa5336cd3ef3f,Jim Miller,,Lightweight,Male,28,18,0,47,"5' 8""",Southpaw,,Jim Miller
b965911ecbb7ea65,Jared Gordon,,Lightweight,Male,9,8,0,18,"5' 9""",Orthodox,,Jared Gordon
87802dddb1e85813,Roman Kopylov,,Middleweight,Male,7,5,0,12,"6' 0""",Southpaw,,Roman Kopylov
430417004f18f7de,Marco Tulio,,Middleweight,Male,2,2,0,4,"6' 0""",Orthodox,,Marco Tulio
40b55b6c6b38eb80,Pat Sabatini,,Featherweight,Male,9,2,0,11,"5' 8""",Orthodox,,Pat Sabatini
645d371635f46171,William Gomis,,Featherweight,Male,5,2,0,7,"6' 0""",Southpaw,,William Gomis
b6000d01b31a6fe6,Baisangur Susurkaev,,Middleweight,Male,3,0,0,3,"6' 2""",Orthodox,,Baisangur Susurkaev
b78c2c0cb4980e9d,Djorden Santos,,Middleweight,Male,1,2,0,3,"6' 0""",Orthodox,,Djorden Santos
32419c2e11456ca4,Clayton Carpenter,,Flyweight,Male,2,3,0,5,"5' 6""",Orthodox,,Clayton Carpenter
db49290d0f386435,Jose Ochoa,,Flyweight,Male,2,2,0,4,"5' 7""",Southpaw,,Jose Ochoa
a265afb7b9f0a9cc,Jack Della Maddalena,,Welterweight,Male,8,2,0,10,"5' 11""",Switch,,Jack Della Maddalena
c72157b5062f45ef,Carlos Prates,,Welterweight,Male,7,1,0,8,"6' 1""",Switch,,Carlos Prates
07c24c4cb2af85ed,Beneil Dariush,,Lightweight,Male,17,8,1,26,"5' 10""",Southpaw,,Beneil Dariush
a66c074dfa6b8835,Quillan Salkilld,,Lightweight,Male,5,0,0,5,"6' 0""",Orthodox,,Quillan Salkilld
eb6e138c10bb379c,Tim Elliott,,Flyweight,Male,10,12,0,22,"5' 7""",Southpaw,,Tim Elliott
d85578e821c6185f,Steve Erceg,,Flyweight,Male,5,3,0,8,"5' 8""",Orthodox,,Steve Erceg
5a1004a74203b5f2,Marwan Rahiki,,Featherweight,Male,2,0,0,2,--,,,Marwan Rahiki
c3fda37faec200fb,Ollie Schmid,,Featherweight,Male,0,1,0,1,--,,,Ollie Schmid
dcf805bf4b210fb9,Shamil Gaziev,,Heavyweight,Male,3,3,0,6,"6' 4""",Orthodox,,Shamil Gaziev
d8d2c1549a3c3300,Brando Pericic,,Heavyweight,Male,3,0,0,3,"6' 5""",Orthodox,,Brando Pericic
629bc2bb71d9f224,Tai Tuivasa,,Heavyweight,Male,8,10,0,18,"6' 2""",Southpaw,,Tai Tuivasa
fd041fcc21cc505d,Louie Sutherland,,Heavyweight,Male,1,2,0,3,"6' 3""",Orthodox,,Louie Sutherland
458a79c22325eee8,Cam Rowston,,Middleweight,Male,3,0,0,3,"6' 3""",Orthodox,,Cam Rowston
ffc82991174b4d0d,Robert Bryczek,,Middleweight,Male,1,2,0,3,"6' 0""",Orthodox,,Robert Bryczek
3d3b451081ce16e9,Junior Tafa,,Light Heavyweight,Male,3,5,0,9,"6' 3""",Orthodox,,Junior Tafa
efeef5927cfc6ed9,Kevin Christian,,Light Heavyweight,Male,0,2,0,2,"6' 7""",Orthodox,,Kevin Christian
2a935daad3c30a59,Jacob Malkoun,,Middleweight,Male,6,3,0,9,"5' 9""",Orthodox,,Jacob Malkoun
cbb08748dd6bbe66,Gerald Meerschaert,,Middleweight,Male,12,14,0,26,"6' 1""",Southpaw,,Gerald Meerschaert
a27631e299d32a0d,Colby Thicknesse,,Bantamweight,Male,2,1,0,3,"5' 7""",Orthodox,,Colby Thicknesse
19054dc278194e7b,Vince Morales,,Bantamweight,Male,3,9,0,12,"5' 7""",Orthodox,,Vince Morales | Vincent Morales
a8065701ae14b346,Ben Johnston,,Middleweight,Male,0,1,0,1,,,,Ben Johnston
019629d59f9a2c45,Wes Schultz,,Middleweight,Male,1,1,0,2,"6' 2""",Orthodox,,Wes Schultz
2e1c90b87a8c1a79,Jonathan Micallef,,Welterweight,Male,3,0,0,3,"6' 0""",Southpaw,,Jonathan Micallef
fac4af1fb11deb16,Themba Gorimbo,,Welterweight,Male,4,4,0,8,"6' 1""",Orthodox,,Themba Gorimbo
4391524b4ad67007,Dom Mar Fan,,Lightweight,Male,1,1,0,2,"5' 11""",Orthodox,,Dom Mar Fan
d0867cbe48a86c11,Kody Steele,,Lightweight,Male,1,1,0,2,"5' 9""",Orthodox,,Kody Steele
9cbf77b62e6769c8,Aljamain Sterling,,Featherweight,Male,18,5,0,23,"5' 7""",Orthodox,,Aljamain Sterling
645456ef09c3ad72,Youssef Zalal,,Featherweight,Male,8,4,1,13,"5' 10""",Switch,,Youssef Zalal
79c76b8be6876e54,Norma Dumont,,Women's Bantamweight,Female,9,3,0,12,"5' 7""",Orthodox,,Norma Dumont
651799fdf8054334,Joselyne Edwards,,Women's Bantamweight,Female,9,4,0,13,"5' 8""",Orthodox,,Joselyne Edwards | Joselyne Edwards.
0c24350dc36661c6,Rafa Garcia,,Lightweight,Male,7,4,0,11,"5' 7""",Orthodox,,Rafa Garcia
708c9a266a7807ba,Alexander Hernandez,,Lightweight,Male,10,8,0,18,"5' 9""",Orthodox,,Alexander Hernandez
f27c5b17ac15dad0,Davey Grant,,Bantamweight,Male,9,7,0,16,"5' 8""",Orthodox,,Davey Grant
d7ca352f5592a010,Adrian Luna Martinetti,,Bantamweight,Male,0,1,0,1,,,,Adrian Luna Martinetti
960a493831029685,Montel Jackson,,Bantamweight,Male,9,4,0,13,"5' 10""",Southpaw,,Montel Jackson
