date,season,week,eventName,sherdogIdA,sherdogIdB,ourIdA,ourIdB,nameA,nameB,winnerSherdogId,method,round
2017-07-11,2017,1,"Dana White's Tuesday Night Contender Series - Season 1, Episode 1",Boston-Salmon-131463,Ricky-Turcios-80671,bf91cbfb6ec5463a,8599d31404ff0b34,Boston Salmon,Ricky Turcios,Boston-Salmon-131463,Decision (Unanimous),3
2017-07-11,2017,1,"Dana White's Tuesday Night Contender Series - Season 1, Episode 1",Kurt-Holobaugh-68751,Matt-Bessette-34374,ecdf6dcdb523bb8d,adb29a86d181648c,Kurt Holobaugh,Matt Bessette,,No Contest (Overturned by NSAC),1
2017-07-11,2017,1,"Dana White's Tuesday Night Contender Series - Season 1, Episode 1",Charles-Byrd-51234,Jamie-Pickett-72595,b6c17f70c2c805cf,e891217b7a2b4f16,Charles Byrd,Jamie Pickett,Charles-Byrd-51234,Technical Submission (Arm-Triangle Choke),1
2017-07-11,2017,1,"Dana White's Tuesday Night Contender Series - Season 1, Episode 1",Joby-Sanchez-50239,Manny-Vazquez-160015,0f7518cc5cd482fb,,Joby Sanchez,Manny Vazquez,Joby-Sanchez-50239,Decision (Unanimous),3
2017-07-11,2017,1,"Dana White's Tuesday Night Contender Series - Season 1, Episode 1",Azunna-Anyanwu-68352,Greg-Rebello-12293,be7ca0896a9b24a2,,Azunna Anyanwu,Greg Rebello,Azunna-Anyanwu-68352,KO (Punch),2
2017-07-18,2017,2,"Dana White's Tuesday Night Contender Series - Season 1, Episode 2",Alfred-Khashakyan-133919,Sean-OMalley-135099,,bbcaf7b57144df14,Alfred Khashakyan,Sean O'Malley,Sean-OMalley-135099,KO (Punch),1
2017-07-18,2017,2,"Dana White's Tuesday Night Contender Series - Season 1, Episode 2",CJ-Hamilton-71119,Casey-Kenney-211031,,2c6080cef7de1112,C.J. Hamilton,Casey Kenney,Casey-Kenney-211031,Decision (Unanimous),3
2017-07-25,2017,3,"Dana White's Tuesday Night Contender Series - Season 1, Episode 3",Chase-Waldon-68408,Geoff-Neal-72107,,deee560a8bc1dd80,Chase Waldon,Geoff Neal,Geoff-Neal-72107,TKO (Punches),1
2017-07-25,2017,3,"Dana White's Tuesday Night Contender Series - Season 1, Episode 3",Dan-Ige-136499,Luis-Gomez-207041,217d1a9370550d41,,Dan Ige,Luis Gomez,Dan-Ige-136499,Submission (Rear-Naked Choke),3
2017-07-25,2017,3,"Dana White's Tuesday Night Contender Series - Season 1, Episode 3",Alonzo-Menifield-210501,Daniel-Jolly-83243,990efe1105080c68,e04431032c654b57,Alonzo Menifield,Daniel Jolly,Alonzo-Menifield-210501,TKO (Eye Injury),1
2017-07-25,2017,3,"Dana White's Tuesday Night Contender Series - Season 1, Episode 3",Karl-Roberson-132605,Ryan-Spann-68057,6714baa6b0fabf58,,Karl Roberson,Ryan Spann,Karl-Roberson-132605,KO (Elbows),1
2017-07-25,2017,3,"Dana White's Tuesday Night Contender Series - Season 1, Episode 3",Jason-Jackson-48171,Kyle-Stewart-102333,,d7c50bc1e2a1c4f7,Jason Jackson,Kyle Stewart,Kyle-Stewart-102333,TKO (Ankle Injury),2
2017-08-01,2017,4,"Dana White's Tuesday Night Contender Series - Season 1, Episode 4",Julian-Marquez-77743,Phil-Hawes-130935,d46685b2069b7029,186b7b196c354140,Julian Marquez,Phil Hawes,Julian-Marquez-77743,KO (Head Kick),2
2017-08-01,2017,4,"Dana White's Tuesday Night Contender Series - Season 1, Episode 4",Carlos-Candelario-97453,Ronaldo-Candido-de-Oliveira-128351,e503c6a1065a60f9,,Carlos Candelario,Ronaldo Candido de Oliveira,Carlos-Candelario-97453,Decision (Unanimous),3
2017-08-01,2017,4,"Dana White's Tuesday Night Contender Series - Season 1, Episode 4",Austin-Arnett-57016,Brandon-Davis-67782,39e0e926a4ebf523,0432ba12b6296c1d,Austin Arnett,Brandon Davis,Brandon-Davis-67782,Decision (Unanimous),3
2017-08-08,2017,5,"Dana White's Tuesday Night Contender Series - Season 1, Episode 5",Donavon-Frelow-79087,Ricky-Simon-111209,,a0811e03ef7082c8,Donavon Frelow,Ricky Simon,Ricky-Simon-111209,Decision (Split),3
2017-08-08,2017,5,"Dana White's Tuesday Night Contender Series - Season 1, Episode 5",Alex-Perez-12443,Kevin-Gray-120689,245f661e52b116c7,,Alex Perez,Kevin Gray,Alex-Perez-12443,Technical Submission (Anaconda Choke),1
2017-08-08,2017,5,"Dana White's Tuesday Night Contender Series - Season 1, Episode 5",Julio-Arce-71299,Peter-Petties-183991,8fa232d3a73d0de7,,Julio Arce,Peter Petties,Julio-Arce-71299,TKO (Punches),2
2017-08-08,2017,5,"Dana White's Tuesday Night Contender Series - Season 1, Episode 5",Jamelle-Jones-137613,Mike-Rodriguez-107891,,53ba0dd370c19b38,Jamelle Jones,Mike Rodriguez,Mike-Rodriguez-107891,KO (Flying Knee),1
2017-08-15,2017,6,"Dana White's Tuesday Night Contender Series - Season 1, Episode 6",Jaime-Alvarez-139887,Martin-Day-155883,,9499fe7d747d0f34,Jaime Alvarez,Martin Day,Jaime-Alvarez-139887,Decision (Unanimous),3
2017-08-15,2017,6,"Dana White's Tuesday Night Contender Series - Season 1, Episode 6",Charles-Byrd-51234,Randall-Wallace-93103,b6c17f70c2c805cf,,Charles Byrd,Randall Wallace,Charles-Byrd-51234,Submission (Rear-Naked Choke),2
2017-08-22,2017,7,"Dana White's Tuesday Night Contender Series - Season 1, Episode 7",Anton-Berzin-69707,Kennedy-Nzechukwu-212289,,3efa6683f90baf91,Anton Berzin,Kennedy Nzechukwu,Kennedy-Nzechukwu-212289,Decision (Split),3
2017-08-22,2017,7,"Dana White's Tuesday Night Contender Series - Season 1, Episode 7",JP-Buys-197069,Joby-Sanchez-50239,5b7c7c83602d9b20,0f7518cc5cd482fb,JP Buys,Joby Sanchez,Joby-Sanchez-50239,TKO (Punches),2
2017-08-22,2017,7,"Dana White's Tuesday Night Contender Series - Season 1, Episode 7",Benito-Lopez-122711,Steven-Peterson-60433,a4264e3d664f208f,9d03eaf7a17b94a3,Benito Lopez,Steven Peterson,Benito-Lopez-122711,Decision (Split),3
2017-08-22,2017,7,"Dana White's Tuesday Night Contender Series - Season 1, Episode 7",Jordan-Espinosa-64942,Nick-Urso-52504,27fc42f9a706f56f,,Jordan Espinosa,Nick Urso,Jordan-Espinosa-64942,Technical Submission (Anaconda Choke),1
2017-08-22,2017,7,"Dana White's Tuesday Night Contender Series - Season 1, Episode 7",Mark-Cherico-56202,Mike-Santiago-66110,,4e832c70f00c22df,Mark Cherico,Mike Santiago,Mike-Santiago-66110,KO (Punches),1
2017-08-29,2017,8,"Dana White's Tuesday Night Contender Series - Season 1, Episode 8",Jose-Flores-60457,Matt-Frevola-100247,,c9d2ae98d9f6ab30,Jose Flores,Matt Frevola,Matt-Frevola-100247,Submission (Arm-Triangle Choke),2
2017-08-29,2017,8,"Dana White's Tuesday Night Contender Series - Season 1, Episode 8",Allen-Crowder-157353,DonTale-Mayes-237177,5f7d95f165f83e3c,83c80f54de1b32fe,Allen Crowder,Don'Tale Mayes,Allen-Crowder-157353,TKO (Punches and Elbows),3
2017-08-29,2017,8,"Dana White's Tuesday Night Contender Series - Season 1, Episode 8",Adam-Antolin-28758,Casey-Kenney-211031,,2c6080cef7de1112,Adam Antolin,Casey Kenney,Adam-Antolin-28758,Decision (Split),3
2017-08-29,2017,8,"Dana White's Tuesday Night Contender Series - Season 1, Episode 8",Bevon-Lewis-211153,Elias-Urbina-167417,8a049373a2a84299,,Bevon Lewis,Elias Urbina,Bevon-Lewis-211153,TKO (Punches),2
2017-08-29,2017,8,"Dana White's Tuesday Night Contender Series - Season 1, Episode 8",Kelly-McGillVelasco-170067,Lauren-Mueller-202159,,5c987d20da70c09d,Kelly McGill-Velasco,Lauren Mueller,Lauren-Mueller-202159,Decision (Unanimous),3
2018-06-12,2018,1,"Dana White's Tuesday Night Contender Series - Season 2, Episode 1",Austen-Lane-249439,Greg-Hardy-271461,f7d9010e13806799,e7b88fa57ffb42cb,Austen Lane,Greg Hardy,Greg-Hardy-271461,TKO (Punches),1
2018-06-12,2018,1,"Dana White's Tuesday Night Contender Series - Season 2, Episode 1",Chris-Curtis-48039,Sean-Lally-44100,9fc426aaa44255d9,,Chris Curtis,Sean Lally,Chris-Curtis-48039,TKO (Hook Kick and Punches),3
2018-06-12,2018,1,"Dana White's Tuesday Night Contender Series - Season 2, Episode 1",Alonzo-Menifield-210501,Dashawn-Boatwright-241897,990efe1105080c68,,Alonzo Menifield,Dashawn Boatwright,Alonzo-Menifield-210501,TKO (Punches),1
2018-06-12,2018,1,"Dana White's Tuesday Night Contender Series - Season 2, Episode 1",Kevin-Holland-108999,Will-Santiago-Jr-65536,b577c6fa8060ff5c,,Kevin Holland,Will Santiago Jr.,Kevin-Holland-108999,Decision (Unanimous),3
2018-06-19,2018,2,"Dana White's Tuesday Night Contender Series - Season 2, Episode 2",Anthony-Hernandez-86783,Jordan-Wright-79138,9583d6bf13318f23,9492268d8774c0a4,Anthony Hernandez,Jordan Wright,,No Contest (Overturned by NSAC),1
2018-06-19,2018,2,"Dana White's Tuesday Night Contender Series - Season 2, Episode 2",Austin-Springer-41861,Giga-Chikadze-213745,,3739a7ad389dcac5,Austin Springer,Giga Chikadze,Austin-Springer-41861,Submission (Rear-Naked Choke),3
2018-06-19,2018,2,"Dana White's Tuesday Night Contender Series - Season 2, Episode 2",Dwight-Grant-68983,Tyler-Hill-55299,3411cece8b9fb184,,Dwight Grant,Tyler Hill,Dwight-Grant-68983,KO (Punches),2
2018-06-19,2018,2,"Dana White's Tuesday Night Contender Series - Season 2, Episode 2",Matt-Sayles-93675,Yazan-Hajeh-83135,aefa91645d63ab49,,Matt Sayles,Yazan Hajeh,Matt-Sayles-93675,TKO (Punches),1
2018-06-26,2018,3,"Dana White's Tuesday Night Contender Series - Season 2, Episode 3",Jamall-Emmers-84139,Julian-Erosa-71442,d42c88019231799d,7dbe9bb9a5b973b5,Jamall Emmers,Julian Erosa,Julian-Erosa-71442,KO (Head Kick and Punches),2
2018-06-26,2018,3,"Dana White's Tuesday Night Contender Series - Season 2, Episode 3",Greg-Rebello-12293,Josh-Parisian-181225,,85e36eed269a8e5f,Greg Rebello,Josh Parisian,Josh-Parisian-181225,KO (Spinning Backfist),1
2018-06-26,2018,3,"Dana White's Tuesday Night Contender Series - Season 2, Episode 3",Antonina-Shevchenko-45389,Jaimelene-Nievera-88009,2651aa1e611abadc,,Antonina Shevchenko,Jaimelene Nievera,Antonina-Shevchenko-45389,TKO (Knees),2
2018-06-26,2018,3,"Dana White's Tuesday Night Contender Series - Season 2, Episode 3",Jordan-Williams-70941,Tim-Caron-128669,82b4ac7b2ab3eafb,,Jordan Williams,Tim Caron,,No Contest (Overturned by NSAC),3
2018-06-26,2018,3,"Dana White's Tuesday Night Contender Series - Season 2, Episode 3",Austin-Tweedy-91337,Te-Edwards-156303,,c8304578645a0300,Austin Tweedy,Te Edwards,Te-Edwards-156303,KO (Punch),1
2018-07-10,2018,4,"Dana White's Tuesday Night Contender Series - Season 2, Episode 4",Jalin-Turner-158269,Max-Mustaki-79656,e411d4112ff57cb3,,Jalin Turner,Max Mustaki,Jalin-Turner-158269,TKO (Doctor Stoppage),1
2018-07-10,2018,4,"Dana White's Tuesday Night Contender Series - Season 2, Episode 4",Joey-Gomez-124327,Kevin-Aguilar-57838,,434c4533ee6ced38,Joey    Gomez,Kevin Aguilar,Kevin-Aguilar-57838,Decision (Split),3
2018-07-10,2018,4,"Dana White's Tuesday Night Contender Series - Season 2, Episode 4",Jordan-Espinosa-64942,Riley-Dutro-42022,27fc42f9a706f56f,,Jordan Espinosa,Riley Dutro,Jordan-Espinosa-64942,TKO (Punches),3
2018-07-10,2018,4,"Dana White's Tuesday Night Contender Series - Season 2, Episode 4",Alton-Cunningham-166015,Bevon-Lewis-211153,,8a049373a2a84299,Alton Cunningham,Bevon Lewis,Bevon-Lewis-211153,TKO (Knees),1
2018-07-17,2018,5,"Dana White's Tuesday Night Contender Series - Season 2, Episode 5",Jamie-Colleen-Miller-115211,Maycee-Barber-253613,,c9bce4b58587da90,Jamie Colleen Miller,Maycee Barber,Maycee-Barber-253613,TKO (Elbows),3
2018-07-17,2018,5,"Dana White's Tuesday Night Contender Series - Season 2, Episode 5",Antonio-Jones-127091,Edmen-Shahbazyan-247691,,f4544d57a0c93b7c,Antonio Jones,Edmen Shahbazyan,Edmen-Shahbazyan-247691,TKO (Punches),1
2018-07-17,2018,5,"Dana White's Tuesday Night Contender Series - Season 2, Episode 5",Angelo-Trevino-201359,Austin-Vanderford-206919,,2d0d405ad62b34b7,Angelo Trevino,Austin Vanderford,Austin-Vanderford-206919,Submission (Rear-Naked Choke),2
2018-07-17,2018,5,"Dana White's Tuesday Night Contender Series - Season 2, Episode 5",Domingo-Pilarte-48495,Vince-Morales-177019,0cdf886f3d227f07,,Domingo Pilarte,Vince Morales,Domingo-Pilarte-48495,Technical Submission (Rear-Naked Choke),2
2018-07-24,2018,6,"Dana White's Tuesday Night Contender Series - Season 2, Episode 6",Canaan-Kawaihae-230231,Chase-Hooper-249301,,61aca8157bf71afd,Canaan Kawaihae,Chase Hooper,Chase-Hooper-249301,Decision (Unanimous),3
2018-07-24,2018,6,"Dana White's Tuesday Night Contender Series - Season 2, Episode 6",Chris-Birchler-75224,Jimmy-Crute-218959,,a1fe00d04609986b,Chris Birchler,Jimmy Crute,Jimmy-Crute-218959,TKO (Punches),1
2018-07-24,2018,6,"Dana White's Tuesday Night Contender Series - Season 2, Episode 6",Mike-Davis-202169,Sodiq-Yusuff-152359,c089e6624556674f,98def16d7bb14aa9,Mike Davis,Sodiq Yusuff,Sodiq-Yusuff-152359,Decision (Unanimous),3
2018-07-24,2018,6,"Dana White's Tuesday Night Contender Series - Season 2, Episode 6",Jeff-Hughes-23793,Josh-Appelt-47983,93f287cc2018f186,,Jeff Hughes,Josh Appelt,Jeff-Hughes-23793,KO (Punch),1
2018-07-31,2018,7,"Dana White's Tuesday Night Contender Series - Season 2, Episode 7",DonTale-Mayes-237177,Mitchell-Sipe-208607,83c80f54de1b32fe,,Don'Tale Mayes,Mitchell Sipe,DonTale-Mayes-237177,TKO (Punches),2
2018-07-31,2018,7,"Dana White's Tuesday Night Contender Series - Season 2, Episode 7",Garrett-Gross-84704,Roosevelt-Roberts-191653,,64c7119b9beb015a,Garrett Gross,Roosevelt Roberts,Roosevelt-Roberts-191653,Submission (Rear-Naked Choke),2
2018-07-31,2018,7,"Dana White's Tuesday Night Contender Series - Season 2, Episode 7",Ian-Heinisch-187341,Justin-Sumter-98983,f83eb8d8634c7c8b,,Ian Heinisch,Justin Sumter,Ian-Heinisch-187341,KO (Elbows),1
