sherdogId,ourId,name,appearances,dwcsRecord,firstDwcsDate,bestDwcsResult,preDwcsWins,preDwcsLosses,preDwcsDraws,preDwcsSource,feederOrg,feederTier,feederRelFactor,ageAtDwcs,gotContract,ufcFights,ufcWins,ufcLosses,settledEloGain,eloAt1yr,eloAt2yr,reachedTop15
Azunna-Anyanwu-68352,be7ca0896a9b24a2,Azunna Anyanwu,1,1-0,2017-07-11,finishWin,13,4,0,crosswalk,CFFC,tier3,0.9667,35,1,1,0,1,-0.5,1485,1485,0
Boston-Salmon-131463,bf91cbfb6ec5463a,Boston Salmon,1,1-0,2017-07-11,decisionWin,5,1,0,crosswalk,RFA,tier4,0.9691,26,1,2,0,2,-3.9,,1477.4,0
Charles-Byrd-51234,b6c17f70c2c805cf,Charles Byrd,2,2-0,2017-07-11,finishWin,7,4,0,crosswalk,LFC,tier4,0.9819,33,1,4,1,3,-5.6,1515.1,1469.5,0
Greg-Rebello-12293,,Greg Rebello,2,0-2,2017-07-11,noWin,,,,none,,,,,0,0,0,0,,,,0
Jamie-Pickett-72595,e891217b7a2b4f16,Jamie Pickett,3,1-2,2017-07-11,finishWin,7,2,0,crosswalk,NLFC,tier4,,28,1,9,2,7,-49.6,,,0
Joby-Sanchez-50239,0f7518cc5cd482fb,Joby Sanchez,2,2-0,2017-07-11,finishWin,8,0,0,crosswalk,XFC,tier4,0.9706,26,1,2,0,2,-3,1459.1,1449.8,0
Kurt-Holobaugh-68751,ecdf6dcdb523bb8d,Kurt Holobaugh,1,0-0,2017-07-11,noWin,17,3,0,crosswalk,Titan FC,tier3,0.9943,30,1,8,2,6,-32.1,1483.2,1444.4,0
Manny-Vazquez-160015,,Manny Vazquez,1,0-1,2017-07-11,noWin,,,,none,,,,,0,0,0,0,,,,0
Matt-Bessette-34374,adb29a86d181648c,Matt Bessette,1,0-0,2017-07-11,noWin,22,7,0,crosswalk,CES MMA,tier4,0.9367,32,1,2,0,2,-1.7,1466.7,1466.7,0
Ricky-Turcios-80671,8599d31404ff0b34,Ricky Turcios,1,0-1,2017-07-11,noWin,8,0,0,crosswalk,Fury FC,tier4,0.9876,24,1,6,2,4,-46.7,,,0
Alfred-Khashakyan-133919,,Alfred Khashakyan,1,0-1,2017-07-18,noWin,,,,none,,,,,0,0,0,0,,,,0
CJ-Hamilton-71119,,C.J. Hamilton,1,0-1,2017-07-18,noWin,,,,none,,,,,0,0,0,0,,,,0
Casey-Kenney-211031,2c6080cef7de1112,Casey Kenney,2,1-1,2017-07-18,decisionWin,6,0,1,crosswalk,TPF,tier4,0.9745,26,1,8,5,3,5.7,,1514.2,0
Sean-OMalley-135099,bbcaf7b57144df14,Sean O'Malley,1,1-0,2017-07-18,finishWin,7,0,0,crosswalk,ICF,tier4,,22,1,15,12,3,83,1520.8,1520.8,1
Alonzo-Menifield-210501,990efe1105080c68,Alonzo Menifield,2,2-0,2017-07-25,finishWin,3,0,0,crosswalk,Bellator,tier2_5,0.9929,29,1,18,11,6,21.2,,1527.3,1
Chase-Waldon-68408,,Chase Waldon,1,0-1,2017-07-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Dan-Ige-136499,217d1a9370550d41,Dan Ige,1,1-0,2017-07-25,finishWin,7,1,0,crosswalk,LFC,tier4,0.9819,25,1,21,11,10,4.1,1493.7,1540.6,0
Daniel-Jolly-83243,e04431032c654b57,Daniel Jolly,1,0-1,2017-07-25,noWin,5,0,0,crosswalk,LFC,tier4,0.9819,32,0,0,0,0,-1.2,1458.3,1458.3,0
Geoff-Neal-72107,deee560a8bc1dd80,Geoff Neal,1,1-0,2017-07-25,finishWin,7,2,0,crosswalk,LFC,tier4,0.9819,26,1,14,8,6,13.4,1511,1536.5,0
Jason-Jackson-48171,,Jason Jackson,1,0-1,2017-07-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Karl-Roberson-132605,6714baa6b0fabf58,Karl Roberson,1,1-0,2017-07-25,finishWin,4,0,0,crosswalk,CFFC,tier3,0.9667,26,1,10,4,6,-15.3,1491.1,1496.5,0
Kyle-Stewart-102333,d7c50bc1e2a1c4f7,Kyle Stewart,1,1-0,2017-07-25,finishWin,7,0,0,crosswalk,WFF,tier4,,28,1,2,0,2,-3.2,,1477.4,0
Luis-Gomez-207041,,Luis Gomez,1,0-1,2017-07-25,noWin,,,,none,,,,,0,0,0,0,,,,0
Ryan-Spann-68057,,Ryan Spann,1,0-1,2017-07-25,noWin,10,4,0,cache,,,,25,0,0,0,0,,,,0
Austin-Arnett-57016,39e0e926a4ebf523,Austin Arnett,1,0-1,2017-08-01,noWin,15,2,0,crosswalk,Thunder & Lightning,tier4,,25,1,4,1,3,-2.8,1460.6,1457,0
