event_name,event_date,bout_order,is_main_event,weight_class,f1_name,f1_record,f1_finishes,f1_age,f1_org,f2_name,f2_record,f2_finishes,f2_age,f2_org
Dana White's Contender Series - Season 10 Week 1,2026-08-11,1,1,Heavyweight,Anthony Wint,6-0,5,30,Fury FC,Matt Adams,6-2,5,28,Ohio Combat League
Dana White's Contender Series - Season 10 Week 1,2026-08-11,2,0,Lightweight,Fabrizio Escarrega,9-1,8,28,Victory Fight Club,Abe Alsaghir,8-0,7,25,Porrada FC
Dana White's Contender Series - Season 10 Week 1,2026-08-11,3,0,Flyweight,Bilal Hasan,8-0,7,25,Cage Fury FC,Mridul Saikia,9-1,9,29,Road to UFC
Dana White's Contender Series - Season 10 Week 1,2026-08-11,4,0,Featherweight,Ananias Mulumba,10-3,,27,,Tom Pagliarulo,10-2,,29,
Dana White's Contender Series - Season 10 Week 1,2026-08-11,5,0,Middleweight,Jon Kunneman,10-0,10,27,APFC,Joe Kropschot,8-3,,31,LFA
Dana White's Contender Series - Season 10 Week 2,2026-08-18,1,1,Welterweight,Namo Fazil,10-1,,29,971 FC,Kaik Brito,19-6,17,29,Oktagon
Dana White's Contender Series - Season 10 Week 2,2026-08-18,2,0,Middleweight,Douglas Rodrigues,7-1,,27,,Trent Miller,9-3,,30,Tuff-N-Uff
Dana White's Contender Series - Season 10 Week 2,2026-08-18,3,0,Lightweight,Cristian Perez,14-2,,27,Combate Global,Logan Paxton,10-1,9,31,APFC
Dana White's Contender Series - Season 10 Week 2,2026-08-18,4,0,Light Heavyweight,Alik Lorenz,7-2,,29,LFA,Mahamed Aly,5-1,,32,SF
Dana White's Contender Series - Season 10 Week 2,2026-08-18,5,0,Featherweight,Roman Puga,5-1,,29,LFA,Taner Trembley,7-0,7,31,LFA
