division,rank,name,record
Flyweight,C,Alexandre Pantoja,
Flyweight,1,Joshua Van,
Flyweight,2,Brandon Moreno,
Flyweight,3,Brandon Royval,
Flyweight,4,Amir Albazi,
Flyweight,5,Kai Kara-France,
Flyweight,6,Tatsuro Taira,
Flyweight,7,Manel Kape,
Flyweight,8,Alex Perez,
Flyweight,9,Asu Almabayev,
Flyweight,10,Steve Erceg,
Flyweight,11,Tim Elliott,
Flyweight,12,Tagir Ulanbekov,
Flyweight,13,Ramazan Temirov,
Flyweight,14,Bruno Silva,
Flyweight,15,Kai Asakura,
Bantamweight,C,Merab Dvalishvili,
Bantamweight,1,Sean O'Malley,
Bantamweight,2,Umar Nurmagomedov,
Bantamweight,3,Petr Yan,
Bantamweight,4,Cory Sandhagen,
Bantamweight,5,Song Yadong,
Bantamweight,6,Deiveson Figueiredo,
Bantamweight,7,Marlon Vera,
Bantamweight,8,Mario Bautista,
Bantamweight,9,Rob Font,
Bantamweight,10,Henry Cejudo,
Bantamweight,11,Aiemann Zahabi,
Bantamweight,12,Kyler Phillips,
Bantamweight,13,Marcus McGhee,
Bantamweight,14,Montel Jackson,
Bantamweight,15,Vinicius Oliveira,
Featherweight,C,Alexander Volkanovski,
Featherweight,1,Max Holloway,
Featherweight,2,Movsar Evloev,
Featherweight,3,Diego Lopes,
Featherweight,4,Yair Rodriguez,
Featherweight,5,Brian Ortega,
Featherweight,6,Arnold Allen,
Featherweight,7,Lerone Murphy,
Featherweight,8,Aljamain Sterling,
Featherweight,9,Josh Emmett,
Featherweight,10,Jean Silva,
Featherweight,11,Youssef Zalal,
Featherweight,12,Dan Ige,
Featherweight,13,David Onama,
Featherweight,14,Calvin Kattar,
Featherweight,15,Giga Chikadze,
Lightweight,C,Ilia Topuria,
Lightweight,1,Islam Makhachev,
Lightweight,2,Arman Tsarukyan,
Lightweight,3,Charles Oliveira,
Lightweight,4,Justin Gaethje,
Lightweight,5,Max Holloway,
Lightweight,6,Dustin Poirier,
Lightweight,7,Dan Hooker,
Lightweight,8,Mateusz Gamrot,
Lightweight,9,Beneil Dariush,
Lightweight,10,Paddy Pimblett,
Lightweight,11,Rafael Fiziev,
Lightweight,12,Renato Moicano,
Lightweight,13,Michael Chandler,
Lightweight,14,Benoît Saint Denis,
Lightweight,15,Grant Dawson,
Welterweight,C,Jack Della Maddalena,
Welterweight,1,Belal Muhammad,
Welterweight,2,Sean Brady,
Welterweight,3,Shavkat Rakhmonov,
Welterweight,4,Leon Edwards,
Welterweight,5,Kamaru Usman,
Welterweight,6,Ian Machado Garry,
Welterweight,7,Joaquin Buckley,
Welterweight,8,Michael Morales,
Welterweight,9,Colby Covington,
Welterweight,10,Gilbert Burns,
Welterweight,11,Geoff Neal,
Welterweight,12,Stephen Thompson,
Welterweight,13,Carlos Prates,
Welterweight,14,Kevin Holland,
Welterweight,15,Michael Page,
Middleweight,C,Dricus Du Plessis,
Middleweight,1,Nassourdine Imavov,
Middleweight,2,Sean Strickland,
Middleweight,3,Khamzat Chimaev,
Middleweight,4,Israel Adesanya,
Middleweight,5,Robert Whittaker,
Middleweight,6,Caio Borralho,
Middleweight,7,Jared Cannonier,
Middleweight,8,Roman Dolidze,
Middleweight,9,Anthony Hernandez,
Middleweight,10,Marvin Vettori,
Middleweight,11,Brendan Allen,
Middleweight,12,Reinier de Ridder,
Middleweight,13,Paulo Costa,
Middleweight,14,Roman Kopylov,
Middleweight,15,Abus Magomedov,
Light Heavyweight,C,Carlos Ulberg,
Light Heavyweight,1,Alex Pereira,
Light Heavyweight,2,Magomed Ankalaev,
Light Heavyweight,3,Jiří Procházka,
Light Heavyweight,4,Khalil Rountree Jr.,
Light Heavyweight,5,Jan Błachowicz,
Light Heavyweight,6,Jamahal Hill,
Light Heavyweight,7,Aleksandar Rakić,
Light Heavyweight,8,Dominick Reyes,
Light Heavyweight,9,Volkan Oezdemir,
Light Heavyweight,10,Nikita Krylov,
Light Heavyweight,11,Azamat Murzakanov,
Light Heavyweight,12,Johnny Walker,
Light Heavyweight,13,Bogdan Guskov,
Light Heavyweight,14,Zhang Mingyang,
Light Heavyweight,15,Alonzo Menifield,
Heavyweight,C,Tom Aspinall,
Heavyweight,1,Ciryl Gane,
Heavyweight,2,Alexander Volkov,
Heavyweight,3,Sergei Pavlovich,
Heavyweight,4,Curtis Blaydes,
Heavyweight,5,Jailton Almeida,
Heavyweight,6,Waldo Cortes Acosta,
Heavyweight,7,Marcin Tybura,
Heavyweight,8,Serghei Spivac,
Heavyweight,9,Derrick Lewis,
Heavyweight,10,Tai Tuivasa,
Heavyweight,11,Shamil Gaziev,
Heavyweight,12,Mick Parkin,
Heavyweight,13,Tallison Teixeira,
Heavyweight,14,Martin Buday,
Heavyweight,15,Rizvan Kuniev,
Women's Strawweight,C,Zhang Weili,
Women's Strawweight,1,Virna Jandiroba,
Women's Strawweight,2,Tatiana Suarez,
Women's Strawweight,3,Yan Xiaonan,
Women's Strawweight,4,Amanda Lemos,
Women's Strawweight,5,Jéssica Andrade,
Women's Strawweight,6,Mackenzie Dern,
Women's Strawweight,7,Amanda Ribas,
Women's Strawweight,8,Iasmin Lucindo,
Women's Strawweight,9,Gillian Robertson,
Women's Strawweight,10,Tabatha Ricci,
Women's Strawweight,11,Loopy Godinez,
Women's Strawweight,12,Angela Hill,
Women's Strawweight,13,Tecia Pennington,
Women's Strawweight,14,Loma Lookboonmee,
Women's Strawweight,15,Denise Gomes,
Women's Flyweight,C,Valentina Shevchenko,
Women's Flyweight,1,Natalia Silva,
Women's Flyweight,2,Manon Fiorot,
Women's Flyweight,3,Alexa Grasso,
Women's Flyweight,4,Erin Blanchfield,
Women's Flyweight,5,Jasmine Jasudavicius,
Women's Flyweight,6,Maycee Barber,
Women's Flyweight,7,Rose Namajunas,
Women's Flyweight,8,Tracy Cortez,
Women's Flyweight,9,Jéssica Andrade,
Women's Flyweight,10,Viviane Araújo,
Women's Flyweight,11,Miranda Maverick,
Women's Flyweight,12,Karine Silva,
Women's Flyweight,13,Casey O'Neill,
Women's Flyweight,14,Wang Cong,
Women's Flyweight,15,JJ Aldrich,
Women's Bantamweight,C,Kayla Harrison,
Women's Bantamweight,1,Julianna Peña,
Women's Bantamweight,2,Raquel Pennington,
Women's Bantamweight,3,Ketlen Vieira,
Women's Bantamweight,4,Norma Dumont,
Women's Bantamweight,5,Macy Chiasson,
Women's Bantamweight,6,Irene Aldana,
Women's Bantamweight,7,Ailin Perez,
Women's Bantamweight,8,Mayra Bueno Silva,
Women's Bantamweight,9,Yana Santos,
Women's Bantamweight,10,Karol Rosa,
Women's Bantamweight,11,Jacqueline Cavalcanti,
Women's Bantamweight,12,Nora Cornolle,
Women's Bantamweight,13,Miesha Tate,
Women's Bantamweight,14,Joselyne Edwards,
Women's Bantamweight,15,Daria Zhelezniakova,
