canonicalOrg,tier,graduates,meanEloGain,shrunkEloGain,relFactor,ciLo,ciHi
WC,tier4,2,92.3,10.8,1.0660,1.0430,1.0873
MMA Series,tier4,2,75.2,8.8,1.0545,1.0533,1.0556
Ares,tier4,5,34.4,8.6,1.0530,0.9995,1.1038
GFC,tier4,4,39.4,8.3,1.0512,1.0021,1.0945
ACB,tier4,7,25.5,8.1,1.0502,1.0034,1.0975
WFCA,tier4,4,38.1,8.0,1.0497,1.0045,1.0988
Spartacus MMA,tier4,3,48.1,8.0,1.0496,1.0151,1.0812
M-1,tier3,28,12.0,7.8,1.0486,0.9920,1.1017
LFL,tier4,2,60.7,7.1,1.0444,1.0415,1.0472
100% Fight,tier4,2,58.6,6.9,1.0429,1.0282,1.0571
Road FC,tier4,5,27.2,6.8,1.0424,1.0175,1.0635
ProFC,tier4,4,32.1,6.7,1.0422,0.9892,1.1136
SFH,tier4,3,39.3,6.5,1.0409,0.9938,1.0836
K-1,tier4,5,23.3,5.8,1.0364,1.0095,1.0628
SFT,tier4,3,34.3,5.7,1.0357,1.0046,1.0651
Brave CF,tier3,18,9.9,5.4,1.0338,0.9520,1.1076
UWC Mexico,tier4,6,18.1,5.1,1.0324,0.9917,1.0745
EMMA,tier4,3,30.6,5.1,1.0320,0.9755,1.0837
HFS,tier4,10,12.7,5.0,1.0319,0.9885,1.0694
Cage Warriors,tier3,56,5.9,4.7,1.0295,0.9953,1.0693
SC1,tier4,2,39.7,4.6,1.0293,0.9872,1.0690
XMMA,tier4,3,27.8,4.6,1.0291,0.9825,1.0728
UCC,tier4,4,21.4,4.5,1.0283,0.9969,1.0593
ROC,tier4,33,6.5,4.4,1.0281,0.9858,1.0704
Jungle Fight,tier3,51,5.6,4.3,1.0273,0.9880,1.0683
CFC,tier4,10,10.6,4.2,1.0266,0.9897,1.0685
PFC,tier4,13,9.1,4.2,1.0266,0.9965,1.0591
Shamrock FC,tier4,2,36.0,4.2,1.0266,1.0152,1.0378
FCC,tier4,3,24.7,4.1,1.0259,0.9811,1.0682
KSW,tier3,11,9.6,4.1,1.0258,0.9723,1.0874
CCCW,tier4,3,24.4,4.0,1.0256,0.9963,1.0539
