canonicalOrg,currentTier,poolN,medianPercentile,crossOrgBouts,crossOrgWinPct
ONE Championship,0.68,,,15,80.0
Bellator,0.68,73,80.5,206,69.4
ProFC,0.35,,,16,68.8
WVC,0.35,,,15,66.7
Oktagon MMA,0.35,,,33,66.7
PFL,0.68,57,87.1,182,66.5
Pride,0.68,33,79.8,160,66.3
Superior Challenge,0.35,,,23,65.2
RIZIN,0.68,,,31,61.3
Strikeforce,0.68,38,83.1,171,60.8
TKO,0.35,,,35,60.0
Shooto,0.55,48,86.5,131,58.8
LFC,0.35,32,79.2,49,57.1
GCM,0.35,,,23,56.5
IFL,0.35,,,101,56.4
BFC,0.35,,,50,56.0
Sengoku,0.35,,,18,55.6
CFC,0.35,,,27,55.6
USWF,0.35,,,20,55.0
Cage Warriors,0.55,49,81.0,55,54.5
KSW,0.55,,,41,53.7
UCC,0.35,,,17,52.9
WEC,0.68,42,81.3,144,52.8
ROC,0.35,28,73.4,36,52.8
ACA,0.35,,,21,52.4
M-1,0.55,30,92.7,69,52.2
VFC,0.35,,,52,51.9
Invicta FC,0.68,53,68.9,53,50.9
Icon Sport,0.35,,,16,50.0
Titan FC,0.55,,,22,50.0
RFA,0.35,,,22,50.0
MFC,0.35,,,67,49.3
Rings,0.35,,,35,48.6
AFC,0.35,38,76.3,85,48.2
King of the Cage,0.55,56,84.8,194,47.9
EC,0.35,30,82.0,211,47.9
Deep,0.55,,,34,47.1
IFC WC,0.35,,,17,47.1
ISCF,0.35,,,17,47.1
LFA,0.55,76,76.7,75,46.7
Jungle Fight,0.55,39,79.2,50,46.0
CFFC,0.55,31,76.5,51,45.1
Cage Rage,0.35,,,60,45.0
Pancrase,0.55,33,68.6,122,44.3
ROTR,0.35,,,16,43.8
XFC,0.35,,,30,43.3
TPF,0.35,,,21,42.9
GC,0.35,,,26,42.3
SF,0.35,,,45,42.2
PFC,0.35,,,19,42.1
LOF,0.35,,,19,42.1
RITC,0.35,28,82.4,100,41.0
XFL,0.35,,,22,40.9
FFC,0.35,,,49,40.8
HOOKnSHOOT,0.35,,,55,40.0
SFC,0.35,,,30,40.0
Square Ring Promotions,0.35,,,15,40.0
NAAFS,0.35,,,18,38.9
GFC,0.35,,,18,38.9
CES MMA,0.35,,,24,37.5
ROF,0.35,,,25,36.0
XFO,0.35,,,28,35.7
SB,0.35,,,37,35.1
FCC,0.35,,,35,34.3
UCE,0.35,,,19,31.6
SC,0.35,,,16,31.3
IFC,0.35,,,23,30.4
Fury FC,0.35,24,75.1,17,29.4
IC,0.35,,,43,27.9
BAMMA,0.35,,,22,27.3
FF,0.35,,,18,22.2
REF,0.35,,,16,0.0
