fighter1_ourId,fighter1_name,fighter2_ourId,fighter2_name,date,result1,result2,method,round,weightClass,eventName,source,kd1,kd2,str1,str2,td1,td2,sub1,sub2
6e8a5fe4993ba864,Song Yadong,6f151471dd180d1e,Umar Nurmagomedov,2026-08-29,W,L,KO/TKO,2,Bantamweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,11,13,0,1,1,0
092a12fbdcf12ad3,Denise Gomes,c58c3a863045d224,Yan Xiaonan,2026-08-29,W,L,KO/TKO,1,Women's Strawweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,18,19,0,0,0,0
74bb53e7099cb5b9,Kai Asakura,14d7083ccbe8c09e,Aoriqileng,2026-08-29,W,L,KO/TKO,2,Bantamweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,27,14,0,0,0,0
284456a2771843a3,Sumudaerji,245f661e52b116c7,Alex Perez,2026-08-29,W,L,U-DEC,3,Flyweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,0,0,41,10,0,4,0,0
us:a9936818d709e2d7,Liu Ce,us:9ac4e43ed56429ed,Levi Rodrigues Jr.,2026-08-29,W,L,KO/TKO,1,Light Heavyweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,2,0,59,28,0,0,0,0
us:5182316da3c1d891,Bilal Hasan,us:bf60dd3256801649,Nilson Rojas,2026-08-29,W,L,KO/TKO,2,Flyweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,53,33,1,0,0,0
e1601c0597a7b444,Andre Lima,us:e1f8beeb6d2d871a,Namsrai Batbayar,2026-08-29,W,L,SUB,3,Flyweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,0,0,47,51,0,0,1,0
0488ce27e1b8bb1d,Rei Tsuruya,c9689833e730c077,Kevin Borjas,2026-08-29,W,L,SUB,1,Flyweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,0,0,39,0,2,0,1,0
a238e2e4c9670e90,Sean Woodson,0aa46064d6a157d1,Jack Jenkins,2026-08-29,W,L,S-DEC,3,Featherweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,0,0,58,43,0,0,0,1
us:874cfc98877daecd,Francesco Nuzzi,d11e3f2e5deb833f,Xiao Long,2026-08-29,W,L,KO/TKO,1,Bantamweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,11,4,0,0,0,0
us:8e4902b4a8045070,Hector Santiago,4aef3ff31f0fbef5,Lawrence Lui,2026-08-29,W,L,KO/TKO,2,Bantamweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,30,32,0,0,0,0
1be2a80e36f38a46,Julia Polastri,us:2cdb479a0ef0ee1d,Xiong Jingnan,2026-08-29,W,L,KO/TKO,1,Women's Strawweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,1,0,16,16,0,0,0,0
us:34d4cae19105eb68,Cam Nelson,us:e0664abaa023fd6f,Ding Meng,2026-08-29,W,L,U-DEC,3,Welterweight,UFC Fight Night: Nurmagomedov vs. Song,ufcstats,0,0,41,39,4,0,0,0
2127684a702c4006,Gregory Rodrigues,9583d6bf13318f23,Anthony Hernandez,2026-08-22,W,L,U-DEC,5,Middleweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,3,0,174,90,0,3,0,0
d04b8d5ce7a65c4f,Vitor Petrino,e61d510091019852,Serghei Spivac,2026-08-22,W,L,U-DEC,3,Heavyweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,0,0,64,23,4,0,0,0
db3f5063058ec38a,Reinier de Ridder,900105052b1946b1,Roman Dolidze,2026-08-22,W,L,KO/TKO,1,Light Heavyweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,0,0,71,1,0,0,0,0
bb76e767e4bf0b9a,MarQuel Mederos,384b9ef43aa01a73,Mason Jones,2026-08-22,W,L,KO/TKO,2,Lightweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,73,77,0,1,0,0
35fd53a02396b4af,Carli Judice,us:8061a3136026a673,Jeisla Chaves,2026-08-22,W,L,KO/TKO,1,Women's Flyweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,16,10,0,0,0,0
us:b34976c022b24568,Anthony Wint,us:23a81656507b56a3,Terrance Chatman,2026-08-22,W,L,SUB,1,Heavyweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,0,0,5,1,1,0,1,1
d42c88019231799d,Jamall Emmers,26f15079cf039c8c,Lerryan Douglas,2026-08-22,W,L,KO/TKO,1,Featherweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,17,14,0,0,0,0
dcf805bf4b210fb9,Shamil Gaziev,3efa6683f90baf91,Kennedy Nzechukwu,2026-08-22,W,L,KO/TKO,1,Heavyweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,2,3,0,0,0,0
6a5a96149763aeef,Chris Padilla,f871be2f77817a9f,Nasrat Haqparast,2026-08-22,W,L,SUB,3,Lightweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,125,71,1,0,1,0
511c563e58695e67,Marcio Barbosa,us:d958ed9e5a08c849,Ryan Kuse,2026-08-22,W,L,KO/TKO,1,Featherweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,11,5,0,0,0,0
us:5be51426ff3c1929,Stan Dorsainvil,858da0d25b30d9c6,Gauge Young,2026-08-22,W,L,U-DEC,3,Lightweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,0,0,123,137,2,3,0,0
c88287c8ff62d1e7,Jackson McVey,019629d59f9a2c45,Wes Schultz,2026-08-22,W,L,KO/TKO,1,Middleweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,1,0,38,24,0,1,0,1
1a5943119d358e11,Shanelle Dyer,ca846720b8878cbc,Elise Reed,2026-08-22,W,L,KO/TKO,3,Women's Strawweight,UFC Fight Night: Hernandez vs. Rodrigues,ufcstats,0,0,136,49,1,0,0,0
78f73bfd71449931,Islam Makhachev,302c7dcb0fec325e,Ian Machado Garry,2026-08-15,W,L,U-DEC,5,Welterweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,1,0,22,29,7,0,0,0
1868597de911ab05,Mackenzie Dern,bd86cff59cdab666,Gillian Robertson,2026-08-15,W,L,U-DEC,5,Women's Strawweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,65,49,4,1,1,0
e411d4112ff57cb3,Jalin Turner,488201b31f04d4b7,Kaue Fernandes,2026-08-15,W,L,KO/TKO,1,Lightweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,1,0,9,2,0,0,0,0
be354104b1b893f1,Dustin Stoltzfus,b9562bf0e19e971a,Mansur Abdul-Malik,2026-08-15,W,L,SUB,2,Middleweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,43,34,2,1,1,0
b64c3d4ac407dfce,Esteban Ribovics,2361865e12089b38,Edson Barboza,2026-08-15,W,L,KO/TKO,2,Lightweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,63,30,0,0,0,0
b64bdbe0d3e4c9aa,Chidi Njokuani,6633d8ac3511d67f,Joel Alvarez,2026-08-15,W,L,U-DEC,3,Welterweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,155,74,0,0,0,0
6b565d153901a9e1,Charles Johnson,us:62f3039da2f92a8c,Eduardo Chapolin,2026-08-15,W,L,SUB,3,Catch Weight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,1,66,55,0,1,1,0
62eb06895e1e4b0b,Donte Johnson,cfceff9b0a52347d,Eric McConico,2026-08-15,W,L,KO/TKO,1,Middleweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,1,0,11,6,0,0,0,0
7bea6275b1fcbfa4,Tresean Gore,7eb5ea10a1a59139,Vicente Luque,2026-08-15,W,L,U-DEC,3,Middleweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,65,46,0,0,1,1
us:3df223aeaacecf3f,Lucas Fernando,5a7dee229b27e06c,Rafael Tobias,2026-08-15,W,L,KO/TKO,3,Light Heavyweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,2,0,69,13,0,1,0,0
3fd27e0b217d2b7b,Neil Magny,98199760e1c660be,Ramiz Brahimaj,2026-08-15,W,L,KO/TKO,2,Welterweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,24,7,0,1,1,0
541d80991428244f,Jeremiah Wells,96175d750571d1d3,Myktybek Orolbai,2026-08-15,W,L,SUB,3,Welterweight,UFC 330: Makhachev vs. Machado Garry,ufcstats,0,0,16,26,1,4,1,0
a66c074dfa6b8835,Quillan Salkilld,6f8b8d1f2f3b7fcc,Mateusz Gamrot,2026-08-08,W,L,SUB,1,Lightweight,UFC Fight Night: Gamrot vs. Salkilld,ufcstats,0,0,10,3,1,0,1,2
92120440fcb28c7e,Diego Ferreira,15a5d250b43e99c3,Billy Quarantillo,2026-08-08,W,L,U-DEC,3,Lightweight,UFC Fight Night: Gamrot vs. Salkilld,ufcstats,0,0,116,73,4,1,0,0
