ourId,name,ufcDebut,arrivalElo,arrivalPercentile,priorBouts,lastRegionalFight
fd67143f447281de,Patricio Freire,2025-04-12,1778.5,99.9,43,2024-03-22
8ab1b5cdf84d546b,Yaroslav Amosov,2025-12-13,1762.3,99.9,29,2025-03-14
742fa0928eacb223,Gegard Mousasi,2013-04-06,1732.3,99.8,38,2013-01-12
d649fe1ea4499ea7,Jiri Prochazka,2020-07-11,1723.8,99.7,30,2019-12-31
de9b370a0b1c44a9,Michael Page,2024-03-09,1722.9,99.6,23,2023-03-10
2c9959f2626a35fd,Renan Barao,2011-05-28,1716.4,99.6,26,2010-12-16
74bb53e7099cb5b9,Kai Asakura,2024-12-07,1707.6,99.5,25,2023-12-31
445643aa88ac4486,Douglas Silva de Andrade,2014-02-15,1706.6,99.4,22,2013-12-21
2ec8d26e4041f9fb,Michael Chandler,2021-01-23,1701.2,99.3,26,2020-08-07
8722f9f4edfb2d81,Will Brooks,2016-07-08,1701.1,99.3,18,2015-11-06
6f8b8d1f2f3b7fcc,Mateusz Gamrot,2020-10-17,1701.1,99.2,17,2020-08-29
cc66dc906fe562a1,Maxim Grishin,2020-07-11,1698.4,99.1,39,2019-10-31
d5ebb51288f99cee,Justin Gaethje,2017-07-07,1697.6,99.1,17,2016-12-31
50516fb9a0bf9832,Gilbert Melendez,2013-04-20,1696.7,99.0,23,2012-05-19
4c721aa373ec5009,Antonio McKee,2011-01-01,1696.4,98.9,30,2010-09-10
83b077347f2d55fa,Marcin Held,2016-11-05,1693.2,98.8,26,2016-05-20
6654318100e87744,Losene Keita,2026-03-21,1692.6,98.8,17,2024-12-29
d816217cea80cc4a,Iuri Alcantara,2011-08-27,1691.9,98.7,28,2010-12-16
28de9504e826b798,Maiquel Falcao,2010-11-20,1689.5,98.6,28,2010-07-17
602460be3bce1990,Ihor Potieria,2022-07-30,1689.3,98.6,25,2021-09-28
453d16339a1c9b31,Tofiq Musayev,2025-06-21,1685.7,98.5,27,2023-11-04
f2093bbdb37c45da,Dominick Cruz,2011-07-02,1685.6,98.4,18,2010-12-16
fca2542155e4fd20,Victor Hugo,2024-04-06,1684.9,98.3,28,2023-10-03
d711c2758350cbf5,Victor Henry,2022-01-22,1684.6,98.3,26,2021-10-30
cf9ff9f6ec2ccfc0,Urijah Faber,2011-03-19,1682.9,98.2,28,2010-11-11
31bcb5ce3debb8df,Asu Almabayev,2023-08-05,1681.8,98.1,19,2022-11-26
e6379804d274f18b,Thomas Almeida,2014-11-08,1681.0,98.0,17,2014-06-20
20b94b224c81c291,Nazareno Malegarie,2015-09-05,1681.0,98.0,26,2014-03-22
8207b4d862044632,Ante Delija,2025-09-06,1681.0,97.9,31,2025-04-12
33936cc54a3063f8,Raulian Paiva,2019-02-09,1680.7,97.8,19,2018-08-11
1ca9af9ac078f0ba,Carlos Leal,2024-10-26,1680.5,97.8,26,2024-07-06
e8904c85658949e8,Kayla Harrison,2024-04-13,1680.0,97.7,17,2023-11-24
86dc7b9318febf9b,Rinat Fakhretdinov,2022-06-04,1679.0,97.6,22,2021-01-15
266849cbd83fade5,Dileno Lopes,2015-08-01,1678.5,97.5,19,2014-10-02
941e2615d914d962,Jose Aldo,2011-04-30,1677.5,97.5,19,2010-09-30
ee66f8d0ba75975e,Lucas Rocha,2024-10-12,1675.8,97.4,18,2023-10-10
1be0a07a75aba8b6,Abus Magomedov,2022-09-03,1675.0,97.3,29,2020-12-19
99142b6b0a8bdbba,Jean Matsumoto,2024-04-06,1674.9,97.3,14,2023-09-12
46f2223adc5768e1,Iliarde Santos,2013-05-18,1673.4,97.2,34,2012-11-29
9fc426aaa44255d9,Chris Curtis,2021-11-06,1671.8,97.1,34,2021-07-30
0dc9571266788e7c,Javier Reyes,2026-02-28,1671.4,97.0,27,2025-09-23
65960493f529fc58,Alexander Volkov,2016-11-19,1671.3,97.0,32,2016-06-16
5d3802de0a8afc3c,Jussier Formiga,2012-10-05,1670.6,96.9,15,2012-06-29
bfdb8b386085cd2a,Michel Prazeres,2013-05-18,1670.1,96.8,16,2012-06-02
aad8e24798f0a89f,Vinicius Oliveira,2024-03-02,1669.8,96.7,22,2023-09-26
70ee39eb53d14bc1,Blagoy Ivanov,2018-07-14,1669.4,96.7,17,2017-11-02
37962e622840843a,Nursulton Ruziboev,2023-07-01,1668.6,96.6,42,2022-04-10
c677e653df81851a,Virna Jandiroba,2019-04-27,1667.9,96.5,14,2018-09-01
41e41e4d372a0ff3,Tyrell Fortune,2026-03-28,1667.6,96.5,20,2025-09-20
8d7218ec34c995e4,Mateusz Rebecki,2023-01-14,1667.0,96.4,17,2022-08-30
cf81dba9e7c1436e,Yuta Sasaki,2014-08-23,1666.8,96.3,19,2014-05-25
80fff92139ea4fad,Azat Maksum,2023-07-15,1666.6,96.2,14,2023-01-21
340ad4c65112927b,Makhmud Muradov,2019-09-28,1666.1,96.2,28,2019-07-27
434c4533ee6ced38,Kevin Aguilar,2018-11-30,1665.5,96.1,16,2018-07-10
491c47c97570c365,Alexandre Pantoja,2017-01-28,1665.4,96.0,18,2015-05-08
d7ca352f5592a010,Adrian Luna Martinetti,2026-04-25,1664.8,95.9,18,2025-10-07
938dc74b9de9c415,Azamat Bekoev,2025-01-18,1664.2,95.9,21,2024-06-22
7303f16a5757c357,Timur Valiev,2020-08-22,1663.6,95.8,18,2019-12-13
73dcdd41661adf51,Taila Santos,2019-02-02,1663.5,95.7,15,2018-08-11
d11e3f2e5deb833f,Xiao Long,2024-06-22,1663.5,95.7,34,2023-08-27
060c96b72f13efdb,Bibulatov Magomed,2017-04-08,1663.1,95.6,13,2016-10-04
5e869f0c15c040a1,Jimmie Rivera,2015-07-18,1662.3,95.5,17,2015-05-09
1581a12ff499bd32,Aliaskhab Khizriev,2022-03-26,1662.1,95.4,14,2020-09-08
db3f5063058ec38a,Reinier de Ridder,2024-11-09,1662.1,95.4,19,2024-07-27
87bd1fc4820e6e6f,Austin Bashi,2025-01-11,1661.7,95.3,13,2024-09-03
aa788df7587f1357,Ludovit Klein,2020-09-26,1661.5,95.2,18,2020-02-15
20c8eb11c1c160b9,Jakub Wiklacz,2025-10-04,1661.2,95.2,21,2024-06-07
16b49cd67451547b,Kaynan Kruschewsky,2023-11-04,1660.8,95.1,16,2023-09-19
1fc339f153e788c3,Cristian Quinonez,2022-09-03,1660.6,95.0,20,2021-10-26
a175cb5d70c753c6,Manoel Sousa,2026-03-14,1660.6,94.9,14,2025-08-26
e3c4bca51aa2bdd4,Tony Gravely,2020-01-25,1659.9,94.9,24,2019-08-13
379d024344ca05f6,Marlon Moraes,2017-06-03,1659.8,94.8,23,2016-12-31
2971bd696b960770,Jason Knight,2015-12-11,1659.7,94.7,17,2015-09-19
b0207de5a5f37ca1,Mirko Filipovic,2007-02-03,1659.4,94.6,27,2006-09-10
6f151471dd180d1e,Umar Nurmagomedov,2021-01-20,1659.2,94.6,12,2019-11-23
21e42c25f8200a44,Sergey Morozov,2021-01-20,1658.7,94.5,20,2019-10-19
9435ba8191d6d97c,Jessica Aguilar,2015-08-01,1658.6,94.4,23,2014-11-15
331d3f58e32980ad,Ikram Aliskerov,2023-05-06,1658.1,94.4,14,2022-09-13
89b3a167881f8e40,Adriano Martins,2013-11-09,1658.0,94.2,30,2013-01-12
e9c3cc0c46751816,Cristiane Justino,2016-05-14,1658.0,94.3,16,2016-01-16
38583c52c529dc65,Mark Striegl,2020-10-17,1657.8,94.1,20,2018-09-29
bf14e890b46e0305,Diego Lopes,2023-05-06,1657.4,94.1,26,2022-11-18
0c24350dc36661c6,Rafa Garcia,2021-03-13,1657.1,94.0,12,2020-02-21
c47c141378f00a2a,Desmond Green,2017-04-08,1656.9,93.9,24,2016-12-02
03b527306e0b57c8,Gabriel Bonfim,2023-01-21,1656.7,93.8,13,2022-09-06
fc5ed93b9af75353,Gadzhi Omargadzhiev,2022-04-16,1655.3,93.8,13,2021-10-26
20fbdf9a7df6c950,Ismael Bonfim,2023-01-21,1655.2,93.6,21,2022-09-06
511c563e58695e67,Marcio Barbosa,2026-04-18,1655.2,93.7,20,2025-08-26
358d271636db2206,Quinton Jackson,2007-02-03,1654.8,93.6,31,2006-07-22
59fcc641cfc67b7d,Ronaldo Rodriguez,2024-02-24,1654.8,93.5,18,2023-05-19
aa24645f9e10d443,Krzysztof Jotko,2013-12-06,1654.5,93.4,13,2013-04-27
56ae4acb4e3f6e6b,Abdul-Kareem Al-Selwady,2024-03-02,1654.5,93.3,18,2023-08-15
06b672385c837e67,Sarah Kaufman,2013-10-19,1654.4,93.3,18,2013-04-05
718bef7d0bc34f00,Bruno Santos,2013-12-06,1654.3,93.2,13,2012-03-16
a991252ad3712030,Muin Gafurov,2023-06-03,1654.1,93.1,23,2022-10-14
d892963e78a574fb,Saimon Oliveira,2022-01-22,1654.0,93.1,21,2021-09-07
17dc8cabd91da5ae,Daniel Zellhuber,2022-09-17,1653.2,93.0,12,2021-09-28
fe96fd653f562e98,Daniel Marcos,2023-01-21,1652.3,92.9,13,2022-09-13
03cec80834c88d99,Keita Nakamura,2006-12-13,1652.1,92.8,17,2006-09-09
ae907070e81a7814,Askar Askarov,2019-09-21,1652.0,92.8,11,2018-05-05
c91e400809d7f272,Aaron Pico,2025-08-16,1651.9,92.7,17,2024-02-24
cfc7947b16fff1b5,Klidson Abreu,2019-02-23,1651.7,92.6,16,2018-11-17
7000b0fb9e20419a,Dricus Du Plessis,2020-10-10,1651.4,92.5,16,2019-12-14
d38d32acdb6c8ac2,Sergei Pavlovich,2018-11-24,1650.9,92.5,12,2017-11-19
d42c88019231799d,Jamall Emmers,2020-03-07,1650.7,92.4,21,2020-01-31
f82c365cb6b6a2e8,Kevin Vallejos,2025-03-15,1650.5,92.3,15,2024-09-24
3a0f7fd1dbd0ce0b,Ismail Naurdiev,2019-02-23,1650.4,92.3,19,2019-02-02
5193a0f230f0e22c,Jordan Mein,2013-03-16,1650.0,92.2,34,2012-11-23
9c6e628282bba41d,Yuki Kondo,2000-09-22,1649.8,92.1,40,2000-07-23
74fd8194bb19e2bf,Andre Muniz,2019-11-16,1649.6,92.0,22,2019-08-06
3ae417889e6fa052,Pedro Falcao,2024-04-06,1649.3,91.9,19,2023-11-12
d13c8ceda8609795,Bruno Lopes,2025-01-11,1649.3,92.0,14,2024-08-13
717d98be19ae7f58,Lorenz Larkin,2013-04-20,1649.1,91.8,13,2012-07-14
3955ba60efa70b99,Jarred Brooks,2017-07-29,1649.0,91.8,12,2016-10-02
81a04fdf9efd8123,Alan Omer,2014-04-11,1648.8,91.7,21,2014-02-08
00ccd78f83230b09,Alexander Volkanovski,2016-11-26,1648.6,91.6,14,2016-07-08
070750e76792d168,Rafael Estevam,2023-11-18,1648.4,91.5,11,2022-09-27
c265d59bcf8b1327,Nicolas Dalby,2015-05-30,1648.0,91.5,13,2014-11-15
1b2245155a92a358,Rogerio Bontorin,2019-02-02,1648.0,91.4,15,2018-08-10
e180666d3423c42b,Cezary Oleksiejczuk,2025-12-13,1647.9,91.3,19,2025-09-02
c921a062105cb950,Kyoji Horiguchi,2013-10-19,1647.7,91.2,12,2013-06-22
fc1af0eefb2c234c,John Lineker,2012-05-05,1647.4,91.2,24,2011-09-10
4a637c0f4e711aa4,Sean Strickland,2014-03-15,1647.4,91.1,13,2013-08-29
eb764bb66e7f3030,Movsar Evloev,2019-04-20,1646.8,91.0,10,2018-07-21
b015a1a954f587d1,Calvin Kattar,2017-07-29,1646.3,91.0,18,2016-09-23
adb29a86d181648c,Matt Bessette,2018-01-20,1646.2,90.8,29,2017-05-12
b629ea51b007a50f,Raoni Barcelos,2018-07-14,1646.2,90.9,12,2016-10-28
4d0db0a8f33630df,Johnny Eduardo,2011-08-27,1646.0,90.7,33,2011-04-01
416ff8c1a4180299,Gadzhimurad Antigulov,2016-11-19,1645.9,90.7,22,2016-05-06
ef6f7cfd5d5972b3,Jafel Filho,2023-03-18,1645.8,90.6,16,2022-09-20
3be7fbb43facaf39,Brett Johns,2016-11-19,1645.5,90.5,12,2015-07-18
77051a019991ecab,Cody Stamann,2017-07-08,1645.3,90.4,15,2017-04-29
e66a4cf84871dd4b,Hernani Perpetuo,2014-04-19,1645.1,90.4,20,2013-08-25
5a7dee229b27e06c,Rafael Tobias,2026-03-07,1644.5,90.3,15,2025-09-23
205e928621a6f62d,Hecher Sosa,2026-03-14,1644.3,90.2,15,2025-09-16
b4e998ae245c303e,Tagir Ulanbekov,2020-10-10,1644.2,90.2,12,2019-12-13
eedd17b17f17ffb8,Brad Pickett,2011-11-05,1644.1,90.1,26,2010-12-16
c47a2d5c6f119c26,Melquizael Costa,2023-01-21,1643.9,90.0,24,2022-11-18
01827249d3b138b8,Charles Oliveira,2010-08-01,1643.7,89.8,12,2010-02-14
0651190a213d45b2,Jack Shore,2019-09-28,1643.7,89.9,11,2019-04-27
7b5a6833c40aa5f4,Luis Gurule,2025-04-05,1643.7,89.9,10,2024-10-15
93635f958774e503,Wellington Turman,2019-07-13,1643.3,89.7,17,2019-04-19
5138742df3096e35,Allan Nascimento,2021-10-30,1643.3,89.7,23,2021-07-23
dcf805bf4b210fb9,Shamil Gaziev,2023-12-16,1643.2,89.6,11,2023-09-19
00de3a4bfdc4a1ba,Said Nurmagomedov,2018-07-14,1642.9,89.5,12,2017-09-27
f4ac3c61f20e824c,David Zawada,2018-07-22,1642.8,89.4,19,2018-04-14
c15f8ac4d76af53a,Bogdan Grad,2025-02-01,1642.8,89.4,16,2024-08-27
087d5e2b3912bfd6,Deiveson Figueiredo,2017-06-03,1642.7,89.3,11,2016-12-01
86a2f8b96a00ac43,John Castaneda,2020-07-25,1642.5,89.1,21,2019-04-12
430417004f18f7de,Marco Tulio,2025-01-11,1642.5,89.1,13,2024-08-27
5a260b5502a690c8,Ben Askren,2019-03-02,1642.5,89.2,7,2017-11-24
5adc666e571b3cb1,Lucas Almeida,2022-06-04,1642.4,89.0,14,2021-10-15
29a6a8a9d3847e14,Jan Blachowicz,2014-10-04,1642.3,88.9,20,2013-03-16
0797fc8692d8f81a,Liang Na,2021-04-24,1642.2,88.9,23,2021-01-14
0cdf094ed2a15c5e,Manel Kape,2021-02-06,1642.1,88.8,19,2019-12-31
630b94233d66e230,Roman Bogatov,2020-07-11,1642.0,88.6,10,2019-08-30
968f595eff08ecaa,Mandel Nallo,2026-04-18,1642.0,88.7,17,2025-09-02
bed9c053b4de1820,Scott Askham,2014-10-04,1641.9,88.6,12,2014-06-07
d0643c25e44d149b,Jim Wallhead,2016-09-03,1641.8,88.5,38,2016-04-09
384b9ef43aa01a73,Mason Jones,2021-01-20,1641.7,88.4,10,2020-09-26
a0811e03ef7082c8,Ricky Simon,2018-04-21,1641.6,88.4,13,2018-03-23
9beb40ad2fcb278d,Andre Fialho,2022-01-22,1641.6,88.3,17,2021-10-29
96b8d95c6822ab2b,Mairon Santos,2024-08-24,1641.6,88.2,14,2023-03-24
b64c3d4ac407dfce,Esteban Ribovics,2023-03-04,1641.4,88.1,11,2022-08-16
5561fca8c897f0bf,Michael Morales,2022-01-22,1641.3,88.1,12,2021-09-21
2d0d405ad62b34b7,Austin Vanderford,2025-02-22,1641.3,88.0,14,2024-10-18
8b558a8b79942698,Tatsuro Taira,2022-05-14,1640.9,87.9,10,2021-11-06
1c2caae133a1f406,Arman Tsarukyan,2019-04-20,1640.8,87.8,14,2018-08-22
245f661e52b116c7,Alex Perez,2017-12-09,1640.7,87.8,22,2017-08-08
693be865c2fb6f37,Amir Albazi,2020-07-18,1640.7,87.7,13,2019-11-15
f8223ca1dc005f67,Pedro Nobre,2013-01-19,1640.4,87.6,17,2012-12-09
ff025760ee2390b7,Lucas Martins,2013-01-19,1640.3,87.6,12,2012-12-13
e0b5012864c76173,Chance Rencountre,2018-06-01,1640.1,87.4,15,2018-02-10
5594f32554f40119,Baergeng Jieleyisi,2024-11-23,1640.1,87.5,24,2024-08-23
4ce8b98017838f92,Terrence Mitchell,2023-07-08,1640.0,87.3,17,2023-04-28
3495d04b5c109550,Paddy Pimblett,2021-09-04,1639.9,87.3,19,2021-03-20
2595335cf9f4ccb6,Erick Silva,2011-08-27,1639.8,87.1,13,2010-10-30
c17b1fa1d28c1eea,Jailton Almeida,2022-02-05,1639.8,87.2,16,2021-09-14
0821676917e56c8a,Norman Parke,2012-12-14,1639.4,87.0,18,2012-05-12
08225d9bd0971e37,Gabriel Santos,2023-03-18,1639.3,87.0,10,2023-01-28
a08d0019ab93b5d6,Ottman Azaitar,2019-09-07,1639.2,86.9,11,2018-08-18
c5915a36a2292c64,Jason Witt,2020-06-27,1639.0,86.8,23,2020-02-22
ffc82991174b4d0d,Robert Bryczek,2024-02-10,1638.8,86.8,22,2023-07-28
7b27c5dbef7774f4,Curtis Millender,2018-02-18,1638.6,86.7,17,2018-01-12
c80420e9d8906733,John Teixeira,2012-06-23,1638.3,86.5,13,2011-12-07
2c6080cef7de1112,Casey Kenney,2019-03-30,1638.3,86.6,13,2019-03-22
34ab4ff4d27b2eec,Yasuhiro Urushitani,2012-03-02,1638.2,86.2,29,2011-07-18
9c3208d89cbe9368,Thibault Gouti,2016-02-27,1638.2,86.3,11,2015-11-21
b965911ecbb7ea65,Jared Gordon,2017-06-25,1638.2,86.5,13,2017-02-18
80cf00ee1aa86151,Rob Wilkinson,2017-09-02,1638.2,86.4,11,2016-10-01
f83eb8d8634c7c8b,Ian Heinisch,2018-11-17,1638.2,86.3,12,2018-07-31
25398aa8ac7d221b,Sean Brady,2019-10-18,1638.2,86.1,10,2019-02-16
49700fe0278b7ac7,Danny Martinez,2014-02-01,1638.1,86.0,22,2012-12-01
d7c50bc1e2a1c4f7,Kyle Stewart,2019-01-19,1638.0,85.9,12,2018-11-09
c9b2904fbc6f2692,Derrick Krantz,2019-05-18,1638.0,86.0,34,2019-03-29
aff972203a540f31,Wilson Reis,2013-09-21,1637.9,85.7,20,2012-12-08
630de995e580e91b,Darrell Horcher,2016-04-16,1637.9,85.8,13,2015-10-31
d677e26394f63853,Yushin Okami,2006-08-26,1637.8,85.7,20,2006-06-11
8fa232d3a73d0de7,Julio Arce,2018-01-20,1637.7,85.6,15,2017-08-08
3d497e7f0fd30cf7,Gleison Tibau,2006-11-18,1637.6,85.5,17,2006-03-11
f98cac378dcfb57b,David Martinez,2025-03-29,1637.6,85.5,12,2024-10-01
cf9572aa5a2a4ee3,Jennifer Maia,2018-07-14,1637.4,85.4,20,2017-12-08
b64bdbe0d3e4c9aa,Chidi Njokuani,2022-02-05,1637.3,85.3,27,2021-09-07
75591a46f79bc859,Azamat Murzakanov,2022-03-12,1637.1,85.2,10,2021-08-31
fcd67980557f2e84,Luan Lacerda,2023-01-21,1637.1,85.2,13,2022-05-13
e6f6145fe8ea9b4f,Joseph Benavidez,2011-03-19,1637.0,84.9,15,2010-11-11
7f23574923bc2c13,David Dvorak,2020-03-14,1637.0,85.0,20,2019-07-27
c95b1cac8dfd2ae0,Josiah Harrell,2026-02-21,1637.0,85.1,11,2026-01-16
51f921dd3277b30f,Tim Williams,2018-02-18,1636.9,84.9,18,2017-02-18
bfb0a3b89668fad5,Fabio Maldonado,2010-10-16,1636.8,84.7,20,2010-06-30
