name,status,espnId,dob,citizenship,debutUsed,checkNote
Anthony Wint,found,3128853,1995-09-14,USA,2023-04-14,
Matt Adams,found,5364347,1997-09-07,USA,,
Fabrizio Escarrega,found,5364834,1998-02-18,Mexico,,
Abe Alsaghir,found,5364833,2001-07-01,Lebanon,,
Bilal Hasan,found,5264405,2001-07-16,Indonesia,2022-12-16,
Mridul Saikia,found,5277466,1997-05-09,India,,
Ananias Mulumba,found,5310573,1998-09-18,Democratic Republic of Congo,2022-04-16,
Tom Pagliarulo,found,5116823,1997-06-19,USA,2021-03-11,
Jon Kunneman,found,5282317,1999-07-14,USA,,
Joe Kropschot,found,4687604,1995-06-19,USA,,
Azunna Anyanwu,found,2558159,1981-08-05,USA,2010-10-29,
Boston Salmon,found,3122040,1990-11-20,USA,2014-01-24,
Charles Byrd,found,3020777,1983-10-11,USA,2012-12-14,
Greg Rebello,found,2506260,1982-06-13,USA,2005-02-26,
Jamie Pickett,found,4237148,1988-08-29,USA,2011-09-24,
Joby Sanchez,found,3128221,1991-06-24,USA,2011-02-11,
Kurt Holobaugh,found,3019246,1986-09-08,USA,2011-03-12,
Manny Vazquez,found,3961774,1993-11-19,USA,2013-10-05,
Matt Bessette,found,2989137,1984-12-28,USA,2007-09-15,
Ricky Turcios,found,3928693,1993-06-05,USA,2013-07-19,
Alfred Khashakyan,found,4082018,1988-07-17,USA,2013-05-18,
C.J. Hamilton,miss,4782873,,,,no dob on record
Casey Kenney,found,4030197,1991-03-20,USA,2014-12-20,
Sean O'Malley,found,4205093,1994-10-24,USA,2015-03-06,
Alonzo Menifield,found,3948876,1987-10-18,USA,2015-11-20,
Chase Waldon,miss,3087807,,,,no dob on record
Dan Ige,found,4074001,1991-08-06,USA,2014-06-14,
Daniel Jolly,found,3923647,1984-09-03,USA,2011-07-30,
Geoff Neal,found,3111997,1990-08-28,USA,2012-08-25,
Jason Jackson,found,3120931,1990-10-30,Jamaica,2012-04-27,
Karl Roberson,found,4236954,1990-10-04,USA,2015-06-05,
Kyle Stewart,found,4236956,1989-01-31,USA,2015-07-25,
Luis Gomez,ambiguous,,,,,2 MMA ids
Ryan Spann,found,3887606,1991-08-24,USA,2013-02-16,
Austin Arnett,found,4020801,1991-10-22,USA,2012-08-11,
Brandon Davis,found,3960440,1990-05-08,USA,2014-09-13,
Carlos Candelario,found,4013049,1991-06-04,USA,2015-01-03,
Julian Marquez,found,4077475,1990-05-08,USA,2014-05-24,
Phil Hawes,found,3913473,1989-01-08,USA,2014-02-21,
Ronaldo Candido de Oliveira,found,4073937,1989-04-24,Brazil,,
Alex Perez,ambiguous,,,,,2 MMA ids
Donavon Frelow,found,3164449,1985-01-20,USA,2014-03-06,
Jamelle Jones,found,3152189,1988-01-31,,2013-10-26,
Julio Arce,found,4227122,1989-10-27,USA,2012-07-13,
Kevin Gray,miss,3077954,,,,no dob on record
Mike Rodriguez,found,4081550,1988-11-28,USA,2014-04-05,
Peter Petties,found,4008509,1990-12-20,USA,2014-12-19,
Ricky Simon,found,3922491,1992-08-31,USA,2014-01-18,
Jaime Alvarez,ambiguous,,,,,2 MMA ids
Martin Day,found,4038127,1988-11-10,USA,2017-03-18,
Randall Wallace,miss,,,,,
Anton Berzin,found,3039664,1989-09-29,USA,2010-07-16,
Benito Lopez,found,4249184,1994-04-06,USA,2014-04-04,
JP Buys,found,4249185,1996-04-30,South Africa,2015-07-11,
Jordan Espinosa,found,4054622,1989-11-08,USA,2012-03-24,
Kennedy Nzechukwu,found,4245094,1992-06-13,Nigeria,2016-11-05,
Mark Cherico,miss,4227123,,,,no dob on record
Mike Santiago,found,2984784,1989-07-28,USA,2012-01-22,
Nick Urso,found,3099608,1985-09-26,USA,2011-02-12,
Steven Peterson,found,3041138,1990-05-29,USA,2010-08-04,
Adam Antolin,found,2951136,1982-02-28,,2008-02-01,
Allen Crowder,found,3983543,1989-11-08,USA,2015-04-10,
Bevon Lewis,found,4249192,1991-05-05,Jamaica,2015-10-29,
Don'Tale Mayes,found,4249193,1992-01-16,USA,2016-02-06,
Elias Urbina,found,4249191,1993-10-09,USA,2014-05-16,
Jose Flores,miss,,,,,
Kelly McGill-Velasco,miss,,,,,
Lauren Mueller,found,4256214,1991-11-15,USA,2015-07-11,
Matt Frevola,found,4081024,1990-06-11,USA,2014-11-15,
Austen Lane,found,2223033,1987-11-09,USA,2017-04-01,
Chris Curtis,found,2984770,1987-07-15,USA,2009-06-27,
Dashawn Boatwright,found,4339131,1988-02-29,USA,2015-11-07,
Greg Hardy,miss,,,,,
Kevin Holland,found,3943695,1992-11-05,USA,2015-03-28,
Sean Lally,found,4065047,1990-11-04,USA,2008-11-08,
Will Santiago Jr.,found,4339129,1983-02-08,USA,2010-10-22,
Anthony Hernandez,ambiguous,,,,,2 MMA ids
Austin Springer,found,3938715,1987-05-12,USA,2007-09-15,
Dwight Grant,found,4339149,1984-09-14,USA,2011-05-21,
Giga Chikadze,found,3957071,1988-08-25,Georgia,2015-12-18,
Jordan Wright,found,4339150,1991-10-07,USA,2014-11-08,
Matt Sayles,found,3122837,1994-02-21,USA,2014-01-18,
Tyler Hill,miss,,,,,
Yazan Hajeh,found,4339144,1992-09-04,USA,2015-12-05,
Antonina Shevchenko,found,4339152,1984-11-20,Kyrgyzstan,2002-04-15,
Austin Tweedy,found,4294510,1990-09-25,USA,2013-02-08,
Jaimelene Nievera,found,4039866,1984-10-28,USA,2014-11-08,
Jamall Emmers,found,3915502,1989-07-24,USA,2012-10-06,
Jordan Williams,found,4040956,1990-10-13,USA,2013-06-22,
Josh Parisian,found,4276994,1989-06-28,USA,2014-11-22,
Julian Erosa,found,3955577,1989-07-31,USA,2010-10-02,
Te Edwards,found,3611366,1990-09-11,USA,2013-10-26,
