fmId,name,proDebutDate,proRecord,fmCombatAge
203432,A.J. Agazarm,2019-01-26,3-2-0,
161593,A.J. Cunningham,2018-08-18,11-5-0,
106614,A.J. Dobson,2016-06-25,7-3-0,
189457,A.J. Fletcher,2019-05-11,10-5-0,
42710,A.J. Matthews,2007-03-31,9-9-0,
145313,A.J. McKee,2015-04-10,25-2-0,37
156014,A.J. Nichols,2017-04-14,7-2-1,
126013,A.J. Robb,2017-07-08,6-6-0,0
91547,A.J. Siscoe,2015-04-18,3-4-0,
195354,A.T. McCowin,2018-08-25,9-6-1,42
97466,Aalon Cruz,2013-11-08,11-5-0,
86744,Aaron Aby,2013-06-01,19-11-1,50
199627,Aaron Armijo,2019-08-23,0-1-0,
248340,Aaron Beltran,2024-06-22,4-2-0,
111579,Aaron Bush,2016-04-02,5-2-0,
173992,Aaron Chalmers,2017-05-12,5-2-0,
189120,Aaron Chambers,2018-08-25,5-3-0,
3288,Aaron Davis,2007-05-05,10-7-0,
48703,Aaron Derrow,2009-05-09,14-11-0,
196556,Aaron Garza,2018-07-06,1-3-0,
80183,Aaron Gomez,2014-09-06,4-4-0,
153583,Aaron Hughes,2021-04-02,6-9-0,
112202,Aaron Jeffery,2014-10-11,17-6-0,41
119362,Aaron Johnson,2015-06-12,7-5-0,
118741,Aaron Khalid,2013-04-21,10-7-1,
165637,Aaron La Farge,2017-06-10,5-4-0,
140022,Aaron Laleye,2017-06-03,3-7-0,
199750,Aaron Lee,2015-02-21,0-3-0,
281161,Aaron McDaniel,2024-12-14,1-2-0,
200942,Aaron McDonald,2023-08-12,4-4-0,
104874,Aaron McKenzie,2015-09-26,12-2-1,40
3789,Aaron Miller,2007-08-11,15-10-0,
248405,Aaron Patterson,2021-10-30,1-1-0,
245677,Aaron Peterson,2023-04-07,2-1-0,0
187308,Aaron Phillips,2018-09-19,9-10-0,42
171972,Aaron Pico,2017-06-24,14-5-0,35
211537,Aaron Reese,2019-09-07,2-3-0,
91436,Aaron Reeves,2014-01-31,7-2-0,
177002,Aaron Rodriguez,2017-07-14,0-1-0,
27030,Aaron Rosa,2005-11-05,18-7-0,
162142,Aaron Tau,2019-03-30,11-1-0,33
144519,Aaron Towns,2025-04-19,1-1-0,
169380,Aaron Ulroan,2016-06-11,3-7-0,
161595,Aaron Vickers,2017-06-10,4-5-0,
164488,Aaron Walker,2022-11-19,1-2-0,
253799,Aaron Ward,2024-10-25,5-2-0,
146905,Aaron Webb,2017-07-08,4-5-0,
201818,Aarti Khatri,2019-03-31,7-1-0,30
178847,Aasin Liberato,2022-04-23,1-1-0,
196867,Abanoub Fares,2022-07-22,0-1-0,
223537,Abbas Abasov,2022-11-05,6-1-0,28
167365,Abbas Khan,2020-11-05,9-5-0,37
233714,Abdallah Mohamed,2020-09-25,5-2-0,0
261922,Abdamizonda Saidkhumoyun,2022-06-18,0-1-0,
178500,Abdel Rahmane Driai,2017-06-17,9-4-0,
212599,Abdelah Er-Ramy,2019-06-28,7-2-0,
225449,Abdelghani Saber,2019-11-29,13-3-1,
235753,Abdelhak Amhidra,2021-01-22,1-2-0,
316051,Abdelilah Azzouzi,2024-12-13,0-1-0,
247215,Abdelkrim Zouad,2021-10-02,8-2-0,0
137887,Abdelmoumen Mssaate,2014-10-04,8-5-0,35
274835,Abdelrahman Alhyasat,2023-02-26,5-0-0,0
279359,Abdelwahab Masharki,2021-11-26,3-5-1,
270345,Abderrahman Errachidy,2022-09-02,5-2-0,24
151388,Abdi Farah,2016-07-09,4-5-0,
177838,Abdiel Caballero,2017-07-22,0-4-0,
298220,Abdikabyl Kaldar,2021-11-27,6-5-0,
155017,Abdisalam Kubanychbek,2015-11-11,24-3-0,38
204653,Abdou Kadirr Sowe,2019-05-19,4-6-0,
167661,Abdoul Abdouraguimov,2016-11-26,20-1-0,33
116835,Abdul Azim Badakhshi,2013-06-07,15-5-0,0
171694,Abdul Elwahab Saeed,2015-07-31,7-9-1,
154001,Abdul Hussein,2016-11-26,16-2-0,30
141787,Abdul Kader Souane,2014-12-15,1-2-1,
150534,Abdul Kamara,2019-02-23,11-2-0,0
199844,Abdul Karim Badakhshi,2018-04-12,8-4-0,31
