fmId,name,rating,percentile,bouts,debut,debutSource,lastFight,careerYears,proRecord
78816,Islam Makhachev,1791.1,100.0,29,2010-08-01,profile,2025-11-15,15.3,28-1-0
65742,Kyoji Horiguchi,1788.6,100.0,42,2010-05-09,profile,2026-06-20,16.1,36-6-0
98213,Yaroslav Amosov,1776.8,100.0,31,2012-06-14,profile,2026-05-09,13.9,30-1-0
145313,A.J. McKee,1772.7,100.0,27,2015-04-10,profile,2026-06-27,11.2,25-2-0
100592,Movlid Khaybulaev,1768.1,100.0,25,2011-10-22,profile,2025-08-01,13.8,24-0-1
96455,Alexander Volkanovski,1763.6,100.0,32,2012-05-19,profile,2026-01-31,13.7,28-4-0
44183,Magomed Magomedkerimov,1759.4,100.0,41,2008-08-22,profile,2023-11-24,15.3,35-6-0
67768,Aljamain Sterling,1757.1,100.0,31,2011-04-22,profile,2026-04-25,15.0,26-5-0
26381,Cristiane Justino,1756.0,100.0,31,2005-05-17,profile,2025-12-13,20.6,29-2-0
140079,Movsar Evloev,1755.2,99.9,20,2014-11-25,profile,2026-03-21,11.3,20-0-0
13436,Gegard Mousasi,1754.5,99.9,60,2003-04-27,profile,2023-05-12,20.0,49-9-2
21923,Patricio Freire,1754.4,99.9,46,2004-03-09,profile,2026-04-11,22.1,37-9-0
45428,Demetrious Johnson,1751.3,99.9,30,2009-08-15,profile,2023-05-05,13.7,25-4-1
195760,Usman Nurmagomedov,1750.1,99.9,22,2017-03-26,profile,2026-07-31,9.3,22-0-0
5215,Alexandre Pantoja,1748.5,99.9,36,2007-07-21,profile,2025-12-06,18.4,30-6-0
91794,Michael Page,1747.4,99.9,28,2012-02-04,profile,2026-03-21,14.1,25-3-0
16466,Charles Oliveira,1742.8,99.9,48,2008-03-15,profile,2026-03-07,18.0,37-11-0
97672,Zhifa Shang,1742.6,99.9,56,2012-06-07,profile,2026-03-28,13.8,45-11-0
122530,Raul Tutarauli,1740.4,99.9,46,2011-09-17,profile,2026-05-16,14.7,38-8-0
121477,Dricus Du Plessis,1740.0,99.9,27,2013-07-25,profile,2026-07-18,13.0,24-3-0
46751,Justin Gaethje,1736.8,99.9,33,2011-08-20,profile,2026-06-14,14.8,28-5-0
168206,Umar Nurmagomedov,1736.6,99.9,21,2016-12-16,profile,2026-01-24,9.1,20-1-0
75957,Andrey Koreshkov,1736.4,99.9,37,2010-10-23,profile,2026-07-25,15.8,31-6-0
90727,Kairat Akhmetov,1736.3,99.9,30,2010-05-01,profile,2026-01-09,15.7,28-2-0
226831,Rajabali Shaidullaev,1734.8,99.9,20,2019-03-23,profile,2026-04-12,7.1,20-0-0
94340,Taylor Lapilus,1734.5,99.9,29,2012-03-31,profile,2026-05-23,14.1,25-4-0
157381,Asu Almabayev,1733.6,99.9,27,2013-06-01,profile,2026-06-27,13.1,24-3-0
56827,Anatoly Tokov,1733.3,99.8,37,2009-11-03,profile,2024-12-14,15.1,32-5-0
74124,Denis Goltsov,1733.3,99.8,46,2010-08-19,profile,2026-08-07,16.0,37-9-0
36733,Hiromasa Ougikubo,1731.5,99.8,41,2006-10-01,profile,2026-06-06,19.7,30-9-2
120941,Rinat Fakhretdinov,1731.2,99.8,29,2013-06-05,profile,2025-09-06,12.3,26-2-1
119877,Vadim Nemkov,1728.3,99.8,22,2013-05-31,profile,2025-12-13,12.5,20-2-0
19638,Ivan Buchinger,1728.2,99.8,56,2008-06-02,profile,2025-10-04,17.3,46-10-0
94459,Jiri Prochazka,1728.2,99.8,39,2012-04-07,profile,2026-04-11,14.0,32-6-1
46105,Phil De Fries,1728.0,99.8,35,2009-04-26,profile,2026-04-18,17.0,29-6-0
26365,Alexander Shlemenko,1726.6,99.8,86,2004-02-19,profile,2026-06-19,22.3,68-17-1
148934,Brendan Allen,1726.4,99.8,34,2015-08-22,profile,2026-06-06,10.8,27-7-0
32584,Karlos Vemola,1726.1,99.8,47,2008-02-24,profile,2025-06-14,17.3,38-9-0
119516,Juan Archuleta,1725.0,99.8,38,2013-08-09,profile,2025-09-20,12.1,31-7-0
48829,Goiti Yamauchi,1724.8,99.8,38,2010-10-16,profile,2025-12-21,15.2,31-7-0
87918,Julio Cesar Neves Jr.,1724.6,99.8,39,2011-10-01,profile,2025-01-25,13.3,36-3-0
30828,Kleber Koike Erbst,1723.2,99.8,46,2008-09-28,profile,2025-12-31,17.3,36-9-1
39344,Alexander Volkov,1722.8,99.8,51,2009-04-19,profile,2026-05-09,17.1,40-11-0
178464,Johnny Eblen,1722.5,99.8,19,2017-07-07,profile,2026-07-18,9.0,18-1-0
133781,Magomed Ankalaev,1721.9,99.8,25,2014-01-18,profile,2026-07-25,12.5,22-2-1
40361,John Lineker,1721.8,99.8,48,2008-09-05,profile,2024-01-28,15.4,37-11-0
126964,Merab Dvalishvili,1721.1,99.7,26,2014-01-24,profile,2025-12-06,11.9,21-5-0
55066,Krzysztof Jotko,1720.9,99.7,36,2010-06-18,profile,2026-07-11,16.1,30-6-0
156278,Arman Tsarukyan,1720.7,99.7,26,2015-09-25,profile,2025-11-22,10.2,23-3-0
16617,Sean Strickland,1720.6,99.7,38,2008-03-22,profile,2026-05-09,18.1,31-7-0
31007,Max Holloway,1720.2,99.7,37,2010-09-11,profile,2026-07-11,15.8,28-9-0
155017,Abdisalam Kubanychbek,1719.9,99.7,27,2015-11-11,profile,2025-08-15,9.8,24-3-0
98997,Joilton Lutterbach,1719.5,99.7,53,2011-12-09,profile,2025-10-11,13.8,42-11-0
152918,Oleg Popov,1719.0,99.7,25,2015-10-23,profile,2026-03-28,10.4,23-2-0
3090,Ryan Bader,1718.7,99.7,39,2007-03-31,profile,2024-02-24,16.9,31-8-0
141553,Petr Yan,1717.6,99.7,25,2013-03-29,profile,2025-12-06,12.7,20-5-0
1486,Fedor Emelianenko,1717.6,99.7,47,2000-05-21,profile,2023-02-04,22.7,40-7-0
97526,Grant Dawson,1717.1,99.7,28,2014-08-29,profile,2026-05-09,11.7,24-3-1
176021,Timur Khizriev,1717.1,99.7,18,2014-08-30,profile,2024-11-29,10.3,18-0-0
44424,Brendan Loughnane,1716.9,99.7,35,2010-06-26,profile,2024-11-29,14.4,29-6-0
40198,Alexander Sarnavskiy,1716.7,99.7,53,2008-12-12,profile,2025-12-20,17.0,44-9-0
73924,Alexandr Shabliy,1716.5,99.7,29,2010-10-22,profile,2026-06-27,15.7,25-4-0
116060,Sean OMalley,1716.3,99.7,23,2015-03-06,profile,2026-06-14,11.3,20-3-0
24039,Dominick Cruz,1716.3,99.7,28,2005-01-29,profile,2022-08-13,17.5,24-4-0
78149,Will Brooks,1715.6,99.6,32,2011-01-22,profile,2023-06-02,12.4,26-5-1
143907,Rodrigo Vera,1713.8,99.6,24,2016-02-18,profile,2026-05-30,10.3,22-1-1
140968,Gabriel Bonfim,1713.7,99.6,21,2014-12-13,profile,2026-06-06,11.5,20-1-0
93063,Raoni Barcelos,1713.4,99.6,27,2012-03-10,profile,2026-04-25,14.1,22-5-0
22723,Shinya Aoki,1713.3,99.6,61,2003-11-24,profile,2025-11-16,22.0,49-12-0
111948,Rustam Kerimov,1713.3,99.6,24,2012-04-26,profile,2026-03-27,13.9,22-2-0
165671,Muhammad Mokaev,1712.3,99.6,17,2020-08-01,profile,2026-06-06,5.8,17-0-0
167661,Abdoul Abdouraguimov,1712.1,99.6,21,2016-11-26,profile,2026-02-07,9.2,20-1-0
149195,Ilia Topuria,1711.9,99.6,18,2015-04-04,profile,2026-06-14,11.2,17-1-0
181716,Ian Garry,1711.8,99.6,18,2019-02-16,profile,2025-11-22,6.8,17-1-0
181445,Michael Morales,1710.6,99.6,19,2017-08-19,profile,2025-11-15,8.2,19-0-0
125667,Joshua Pacio,1710.3,99.6,29,2013-12-14,profile,2026-07-10,12.6,24-5-0
118130,Vinicius Oliveira,1710.0,99.6,28,2015-12-19,profile,2026-06-20,10.5,24-4-0
91147,Mateusz Gamrot,1709.9,99.6,31,2012-02-04,profile,2026-08-08,14.5,26-5-0
53360,Sergio Pettis,1709.7,99.6,33,2011-09-10,profile,2026-04-11,14.6,25-8-0
143981,Magomedrasul Gasanov,1709.6,99.6,25,2014-05-31,profile,2026-02-06,11.7,23-2-0
88319,Olivier Aubin-Mercier,1709.5,99.6,26,2011-10-21,profile,2023-11-24,12.1,21-5-0
126053,Alejandro Flores,1709.4,99.6,29,2013-10-05,profile,2026-02-27,12.4,25-4-0
112418,Mario Bautista,1708.7,99.5,21,2017-05-20,profile,2026-07-11,9.1,18-3-0
68471,Liz Carmouche,1708.4,99.5,34,2010-03-13,profile,2026-06-27,16.3,26-8-0
100625,Makhmud Muradov,1707.9,99.5,38,2012-04-29,profile,2026-08-01,14.3,30-8-0
87042,Paddy Pimblett,1707.6,99.5,28,2012-10-16,profile,2026-07-11,13.7,24-4-0
156807,Haojie Li,1707.3,99.5,39,2016-02-20,profile,2024-05-03,8.2,31-7-1
122920,Gadzhi Rabadanov,1707.1,99.5,33,2013-02-21,profile,2026-05-02,13.2,26-6-1
123837,Josiel Silva,1706.9,99.5,31,2010-04-16,profile,2026-07-17,16.3,24-7-0
102023,Diego Lopes,1705.1,99.5,36,2012-09-08,profile,2026-06-14,13.8,28-8-0
159073,Farid Basharat,1705.0,99.5,16,2018-04-14,profile,2026-07-11,8.2,16-0-0
81775,Magomed Magomedov,1704.2,99.5,26,2011-04-02,profile,2026-05-02,15.1,22-4-0
96327,Manel Kape,1704.2,99.5,30,2012-05-13,profile,2026-06-20,14.1,23-7-0
26911,Joseph Benavidez,1704.0,99.5,36,2006-06-03,profile,2021-03-06,14.8,28-8-0
94462,Arnold Allen,1702.9,99.5,25,2012-04-07,profile,2026-05-16,14.1,21-4-0
189815,Kayla Harrison,1702.6,99.5,20,2018-06-21,profile,2025-06-07,7.0,19-1-0
127472,Naoki Inoue,1701.7,99.5,26,2015-03-07,profile,2026-05-23,11.2,21-5-0
101055,Deiveson Figueiredo,1701.6,99.5,33,2012-02-17,profile,2026-05-30,14.3,25-7-1
