fmId,name,dwcsDate,pitRegionalElo,priorBouts,ageAtDwcs,reachedTop15
50579,Joby Sanchez,2017-07-11,1599.9,11,26.0,0
128618,Manny Vazquez,2017-07-11,1615.2,13,23.6,0
82772,Ricky Turcios,2017-07-11,1613.6,8,24.1,0
113997,Boston Salmon,2017-07-11,1570.4,6,26.6,0
69754,Azunna Anyanwu,2017-07-11,1611.0,17,35.9,0
24222,Greg Rebello,2017-07-11,1618.0,29,35.1,0
74162,Jamie Pickett,2017-07-11,1556.0,9,28.9,0
51886,Charles Byrd,2017-07-11,1495.4,3,33.7,0
116060,Sean OMalley,2017-07-18,1603.7,7,22.7,1
115401,Alfred Khashakyan,2017-07-18,1570.0,11,29.0,0
153455,Casey Kenney,2017-07-18,1595.5,7,26.3,0
72606,C.J. Hamilton,2017-07-18,1587.4,15,,0
48359,Jason Jackson,2017-07-25,1577.4,9,26.7,0
96821,Kyle Stewart,2017-07-25,1608.9,7,28.5,0
73564,Geoff Neal,2017-07-25,1572.4,9,26.9,0
69947,Chase Waldon,2017-07-25,1603.6,13,,0
116900,Dan Ige,2017-07-25,1587.2,8,26.0,0
151553,Luis Gomez,2017-07-25,1572.7,4,,0
114628,Karl Roberson,2017-07-25,1576.9,4,26.8,0
69660,Ryan Spann,2017-07-25,1577.9,14,25.9,0
153834,Alonzo Menifield,2017-07-25,1563.1,3,29.8,1
85468,Daniel Jolly,2017-07-25,1552.0,7,32.9,0
94436,Carlos Candelario,2017-08-01,1590.6,6,26.2,0
113047,Ronaldo Candido de Oliveira,2017-08-01,1525.9,1,28.3,0
57793,Austin Arnett,2017-08-01,1624.7,17,25.8,0
69305,Brandon Davis,2017-08-01,1480.9,5,27.2,0
113786,Phil Hawes,2017-08-01,1559.3,5,28.6,0
79823,Julian Marquez,2017-08-01,1560.8,6,27.2,0
24370,Alex Perez,2017-08-08,1630.4,21,,1
107984,Kevin Gray,2017-08-08,1583.1,12,,0
101352,Ricky Simon,2017-08-08,1607.9,10,24.9,0
81184,Donavon Frelow,2017-08-08,1560.5,8,32.5,0
72780,Julio Arce,2017-08-08,1628.4,14,27.8,0
140289,Peter Petties,2017-08-08,1549.3,7,26.6,0
117303,Jamelle Jones,2017-08-08,1533.0,11,29.5,0
99705,Mike Rodriguez,2017-08-08,1573.7,10,28.7,0
92329,Randall Wallace,2017-08-15,1593.7,21,,0
118435,Jaime Alvarez,2017-08-15,1580.0,7,,0
126306,Martin Day,2017-08-15,1506.3,2,28.8,0
146355,J.P. Buys,2017-08-22,1548.0,5,21.3,0
53183,Nick Urso,2017-08-22,1585.3,13,31.9,0
66254,Jordan Espinosa,2017-08-22,1562.9,15,27.8,0
108989,Benito Lopez,2017-08-22,1601.6,7,23.4,0
61652,Steven Peterson,2017-08-22,1617.4,20,27.2,0
71243,Anton Berzin,2017-08-22,1564.1,6,27.9,0
155817,Kennedy Nzechukwu,2017-08-22,1537.2,2,25.2,0
8922,Adam Antolin,2017-08-29,1605.9,15,35.5,0
166377,Dontale Mayes,2017-08-29,1537.9,4,25.6,0
126965,Allen Crowder,2017-08-29,1509.1,4,27.8,0
61674,Jose Flores,2017-08-29,1602.1,7,,0
95840,Matt Frevola,2017-08-29,1544.7,2,27.2,0
132142,Elias Urbina,2017-08-29,1554.6,3,23.9,0
153509,Bevon Lewis,2017-08-29,1557.8,3,26.3,0
149565,Lauren Mueller,2017-08-29,1556.6,3,25.8,0
133525,Kelly McGill-Velasco,2017-08-29,1482.2,1,,0
67597,Mike Santiago,2017-08-22,1590.7,5,28.1,0
20501,Matt Bessette,2017-07-11,1646.2,29,32.5,0
100357,Kevin Holland,2018-06-12,1623.6,15,25.6,0
