ourFighterId,sherdogId,fullName,date,organisation,canonicalOrg,tier,tierMultiplier,opponentName,opponentSherdogId,result,method,round,eventName
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2023-10-21,UNF,UNF,tier4,0.35,Justin Jaynes,Justin-Jaynes-53713,win,TKO (Punches),2,UNF 13 - Up Next Fighting 13
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2023-05-13,UNF,UNF,tier4,0.35,Serob Minasyan,Serob-Minasyan-53107,win,Submission (Rear-Naked Choke),3,UNF 7 - Up Next Fighting 7
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2023-01-28,UNF,UNF,tier4,0.35,Eljeria Portee,Eljeria-Portee-264361,win,TKO (Punches),1,UNF 4 - Up Next Fighting 4: Millender vs. Ahmadyar
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2022-05-21,UNF,UNF,tier4,0.35,Darren Smith Jr.,Darren-Smith-Jr-60553,loss,Decision (Split),3,UNF 1 - Up Next Fighting 1
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2022-03-19,CG,CG,tier4,0.35,Emilio Williams,Emilio-Williams-231183,win,KO (Punch to the Body),1,CG 31 - Celtic Gladiator 31
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2021-08-07,LXF,LXF,tier4,0.35,Devon Brock,Devon-Brock-259537,loss,Decision (Unanimous),3,LXF 5 - Lights Out Xtreme Fighting 5
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2018-04-06,CES MMA,CES MMA,tier4,0.35,Nate Andrews,Nate-Andrews-67961,loss,Submission (Rear-Naked Choke),2,CES MMA 49 - Curtis vs. Norwood
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2018-01-20,Bellator,Bellator,tier2_5,0.68,Gabriel Green,Gabriel-Green-195027,loss,Technical Submission (Rear-Naked Choke),1,Bellator 192 - Jackson vs. Sonnen
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2017-10-12,FCOC,FCOC,tier4,0.35,Quinton McCottrell,Quinton-McCottrell-19623,win,TKO (Punches),1,FCOC - Fight Club OC
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2017-07-29,Brave CF,Brave CF,tier3,0.55,Ivan Castillo,Ivan-Castillo-85758,win,Decision (Split),3,Brave CF 7 - Untamed
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2016-12-18,KOTC,King of the Cage,tier3,0.55,Christian Aguilera,Christian-Aguilera-90555,loss,Decision (Unanimous),3,KOTC - Warranted Aggression
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2016-06-03,RFA,RFA,tier4,0.35,Jason Gonzalez,Jason-Gonzalez-66736,loss,TKO (Punches),2,RFA 38 - Moises vs. Emmers
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2015-12-11,RFA,RFA,tier4,0.35,Mike Segura,Mike-Segura-135571,win,Submission (Rear-Naked Choke),1,RFA 33 - Townsend vs. Chavez
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2015-03-21,Xplode Fight Series,Xplode Fight Series,tier4,0.35,George Hernandez,George-Hernandez-101203,win,Submission (Rear-Naked Choke),1,Xplode Fight Series - Taco
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2014-11-08,Xplode Fight Series,Xplode Fight Series,tier4,0.35,Kris Armbrister,Kris-Armbrister-67435,win,Submission (Guillotine Choke),1,Xplode Fight Series - Wasteland
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2014-07-19,Xplode Fight Series,Xplode Fight Series,tier4,0.35,Aaron Neveu,Aaron-Neveu-76872,win,Decision (Unanimous),3,Xplode Fight Series - Cerebral
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2014-06-20,Xplode Fight Series,Xplode Fight Series,tier4,0.35,Kenny Wyckoff,Kenny-Wyckoff-97565,win,TKO (Punches),1,Xplode Fight Series - Twentynine Palms Fight Night
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2014-05-17,Xplode Fight Series,Xplode Fight Series,tier4,0.35,Julian Hernandez,Julian-Hernandez-135597,win,KO (Punches),1,Xplode Fight Series - Adrenaline
6a5a96149763aeef,Chris-Padilla-124527,Chris Padilla,2014-03-22,Xplode Fight Series,Xplode Fight Series,tier4,0.35,Marko Damiani,Marko-Damiani-162985,win,TKO (Punches),1,Xplode Fight Series - Fire
