organisation,tier,tierMultiplier,needsReview,fightCount,sampleEvent
UFC,tier1,1,false,7022,UFC 327 - Prochazka vs. Ulberg
UFC Fight Night,tier1,1,false,5663,UFC Fight Night 264 - Bonfim vs. Brown
UFC on ESPN,tier1,1,false,1442,UFC on ESPN 55 - Nicolau vs. Perez
KOTC,tier3,0.55,false,771,KOTC - Warranted Aggression
UFC on Fox,tier1,1,false,687,UFC on Fox 25 - Weidman vs. Gastelum
Bellator,tier2_5,0.68,false,676,Bellator 192 - Jackson vs. Sonnen
Pancrase,tier3,0.55,false,675,Pancrase - 255
LFA,tier3,0.55,false,552,LFA 105 - Rodriguez vs. Gotsyk
Professional Fighters League,tier2_5,0.68,false,542,Professional Fighters League - PFL 9: 2024 Playoffs
WEC,historical,0.68,false,492,WEC 52 - Faber vs. Mizugaki
EC,tier4,0.35,true,459,EC - Extreme Challenge 181
Strikeforce,historical,0.68,false,453,Strikeforce - Marquardt vs. Saffiedine
AFC,tier4,0.35,true,432,AFC 41 - Road to KSW
Shooto,tier3,0.55,false,370,Shooto - 2nd Round 2013
Pride,historical,0.68,false,332,Pride 32 - The Real Deal
RITC,tier4,0.35,true,330,RITC - Rage in the Cage 161
Invicta FC,tier2_5,0.68,false,321,Invicta FC 31 - Jandiroba vs. Morandin
BFC,tier4,0.35,true,318,BFC 2 - Banzay Fight Championship 2
CWFC,tier4,0.35,true,302,CWFC - Cage Warriors Unplugged
Deep,tier3,0.55,false,286,Deep - Jewels 11
Dana White's Contender Series,tier2,0.78,false,281,Dana White's Contender Series - Contender Series 2023: Week 10
ROC,tier4,0.35,true,280,ROC 71 - Ring of Combat 71
Jungle Fight,tier3,0.55,false,278,Jungle Fight 27 - Brasilia
CFFC,tier3,0.55,false,269,CFFC 118 - Cage Fury Fighting Championships 118: Forest vs. Radtke
LFC,tier4,0.35,true,262,LFC 59 - Legacy Fighting Championship 59
Shooto Brazil,tier3,0.55,false,249,Shooto Brazil 18 - Inocente vs. Moia
Titan FC,tier3,0.55,false,245,Titan FC 39 - Cavalcante vs. Healy
MFC,tier4,0.35,true,244,MFC - Maringa Fight Combat: Gold Edition
SF,tier4,0.35,true,241,SF - Shogun Fights 27
M-1 Challenge,tier3,0.55,false,233,M-1 Challenge 89 - Buchinger vs. Krasnikov
FFC,tier4,0.35,true,222,FFC 24 - Villefort vs. Rela
IFL,tier4,0.35,true,222,"IFL 51 - No Guts, No Glory"
UFC on Fuel TV,tier1,1,false,214,UFC on Fuel TV 8 - Silva vs. Stann
WSOF,tier2_5,0.68,false,213,WSOF 1 - Arlovski vs. Cole
Fury FC,tier4,0.35,true,206,Fury FC 80 - Fury Fighting Championship 80: Martinez vs. Efrain
KSW,tier3,0.55,false,205,KSW 100 - Khalidov vs. Bartosinski
Pride FC,historical,0.68,false,201,Pride FC - Shockwave 2006
CFC,tier4,0.35,true,200,CFC - Camaragibe Fight Championship
CW,tier4,0.35,true,199,CW 133 - Cage Warriors 133
IFC,tier4,0.35,true,199,IFC 2 - Penini vs. Aliu
VFC,tier4,0.35,true,196,VFC 4 - Velame Fight Combat 4
Cage Rage,tier4,0.35,true,196,Cage Rage - Contenders: Dynamite
RFA,tier4,0.35,true,195,RFA 38 - Moises vs. Emmers
Bellator MMA,tier2_5,0.68,false,193,Bellator MMA - Bellator 128
CES MMA,tier4,0.35,true,192,CES MMA 49 - Curtis vs. Norwood
ACA,tier4,0.35,true,185,ACA 128 - Omielanczuk vs. Goncharov
SB,tier4,0.35,true,183,SB 24 - Return of the Heavyweights 2
UFC on ABC,tier1,1,false,179,UFC on ABC 6 - Whittaker vs. Aliskerov
Brave CF,tier3,0.55,false,176,Brave CF 7 - Untamed
XFC,tier4,0.35,true,176,XFC 47 - Xtreme Fighting Championships
GC,tier4,0.35,true,174,GC 81 - Lights Out
UFC on FX,tier1,1,false,173,UFC on FX 5 - Browne vs. Bigfoot
ACB,tier4,0.35,true,169,ACB 88 - Brisbane
PFC,tier4,0.35,true,169,PFC 2 - Pantanal Fight Champions 2
Oktagon MMA,tier4,0.35,true,163,Oktagon MMA - Oktagon 71: Poppeck vs. Langer
Rizin FF,tier2_5,0.68,false,160,Rizin FF - Landmark Vol. 7
TPF,tier4,0.35,true,159,TPF 24 - Summer Brawl
GFC,tier4,0.35,true,159,GFC 63 - Grand Fighting Championship 63
EFC,tier4,0.35,true,159,EFC 15 - Eco Fight Championship 15
BAMMA,tier4,0.35,true,154,BAMMA 24 - Kone vs. Phillips
HOOKnSHOOT,tier4,0.35,true,153,HOOKnSHOOT - Bodog Fight Women's Tournament
TKO,tier4,0.35,true,151,TKO 44 - Hunter vs. Barriault
SFC,tier4,0.35,true,141,SFC - Sombra Fight Champions 8
Rings,tier4,0.35,true,140,Rings - The Outsider 51: 10th Anniversary Road to Las Vegas
WFC,tier4,0.35,true,136,WFC - The Legend Of Emei 3
ROF,tier4,0.35,true,133,ROF 41 - Bragging Rights
UFC Live,tier1,1,false,123,UFC Live 5 - Hardy vs. Lytle
One Championship,tier2_5,0.68,false,121,One Championship - One 166: Qatar
XFO,tier4,0.35,true,120,XFO 46 - Xtreme Fighting Organization 46
FCC,tier4,0.35,true,120,FCC 23 - Full Contact Contender 23
Gladiator Challenge,tier4,0.35,true,117,Gladiator Challenge  - Champions
FF,tier4,0.35,true,115,FF - Fusion Fight
TFC,tier4,0.35,true,112,TFC - Tanko Fighting Championships 3
ROTR,tier4,0.35,true,109,ROTR 14 - Defiance
K-1,tier4,0.35,true,109,K-1 - World Grand Prix 2009
UAE Warriors,tier4,0.35,true,108,UAE Warriors 35 - Africa 4
CC,tier4,0.35,true,108,CC - Cage Contender Fight Stars
PXC,tier4,0.35,true,107,PXC 56 - Pacific Xtreme Combat 56
WEF,tier4,0.35,true,106,WEF 73 - Selection 22
Dream,tier4,0.35,true,105,Dream - Dream 14
Combate Americas,tier4,0.35,true,102,Combate Americas - Combate Monterrey
RFC,tier4,0.35,true,99,RFC 17 - Street Kings
Bodog Fight,tier4,0.35,true,99,Bodog Fight - Vancouver
Zst,tier4,0.35,true,98,Zst - Prestige
Superior Challenge,tier4,0.35,true,97,Superior Challenge 18 - Fitness Festivalen
MF,tier4,0.35,true,95,MF - Max Fight 23
Sengoku,tier4,0.35,true,94,Sengoku - Ninth Battle
TC,tier4,0.35,true,93,TC - Tridenium Combat
WLF,tier4,0.35,true,92,WLF - W.A.R.S. 40
NAAFS,tier4,0.35,true,92,NAAFS - Fight Night in the Flats 9
GCM,tier4,0.35,true,91,GCM - D.O.G. 4
XMMA,tier4,0.35,true,88,XMMA - Vick vs. Fialho
XFL,tier4,0.35,true,88,XFL 36 - Xtreme Fighters Latino 36
IFC WC,tier4,0.35,true,88,IFC WC 13 - Warriors Challenge 13
ProFC,tier4,0.35,true,86,ProFC 64 - Tibilov vs. Shvets
MCC,tier4,0.35,true,85,MCC 19 - The Return
Road FC,tier4,0.35,true,85,Road FC 52 - Road Fighting Championship 52
LOF,tier4,0.35,true,85,LOF 53 - Memorium
NFC,tier4,0.35,true,84,NFC - Natal Fight Championship 19
Cage Titans FC,tier4,0.35,true,81,Cage Titans FC - Cage Titans 68
Dana White's Tuesday Night Contender Series,tier2,0.78,false,78,"Dana White's Tuesday Night Contender Series - Season 2, Episode 5"
M-1 MFC,tier3,0.55,false,78,M-1 MFC - European Championship 2000
FNG,tier4,0.35,true,75,FNG - Fight Nights Global 73
UCC,tier4,0.35,true,74,UCC 10 - The X Fighter
HFC,tier4,0.35,true,73,HFC 33 - Hoosier Fight Club 33
BC,tier4,0.35,true,73,BC - Beltrao Combat 2
EliteXC,tier4,0.35,true,73,EliteXC - Primetime
UCMMA,tier4,0.35,true,72,UCMMA 27 - Ultimate Challenge MMA 27
WOCS,tier4,0.35,true,69,WOCS 31 - Watch Out Combat Show 31
AOW,tier4,0.35,true,68,AOW 11 - Art of War Cage Fighting 11
WFCA,tier4,0.35,true,68,WFCA 48 - Zhamaldaev vs. Khasbulaev 2
UWC Mexico,tier4,0.35,true,67,UWC Mexico 35 - Luna vs. Campos
RCC,tier4,0.35,true,66,RCC 14 - Revolution Combat Championships 14
CN,tier4,0.35,true,66,CN - Combat Night: Clash of the Titans
FCF,tier4,0.35,true,66,FCF - First Class Fight 3
WFF,tier4,0.35,true,66,WFF - World Fighting Federation 27
Kunlun Fight,tier4,0.35,true,66,Kunlun Fight - Kunlun Fight MMA 15
CF,tier4,0.35,true,65,CF - Capital Fight 5
HFS,tier4,0.35,true,65,HFS - Hex Fight Series 12
RF,tier4,0.35,true,65,RF 10 - Real Fight 10
Square Ring Promotions,tier4,0.35,true,63,Square Ring Promotions - Island Fights 40
IC,tier4,0.35,true,63,IC 2 - Iowa Challenge 2
C3 Fights,tier4,0.35,true,61,C3 Fights - Slammin Jammin Weekend 6
Fight Nights,tier4,0.35,true,60,Fight Nights - Battle of Moscow 19
RSF,tier4,0.35,true,60,RSF - Reborn Strike Fight 5
UWC,tier4,0.35,true,59,UWC 23 - Ultimate Warrior Challenge
ISCF,tier4,0.35,true,57,ISCF - Invasion
Cage,tier4,0.35,true,56,Cage - Cage 30
LUX,tier4,0.35,true,53,LUX 027 - Puebla
XKO,tier4,0.35,true,53,XKO 46 - Xtreme Knockout 46: Summer Bash
WVC,tier4,0.35,true,53,WVC 13 - World Vale Tudo Championship 13
BFL,tier4,0.35,true,52,BFL 7 - Battlefield Fight League: Invasion
XFCI,tier4,0.35,true,52,XFCI - XFC International 6
TWC,tier4,0.35,true,52,TWC 24 - The Warriors Cage 24
WXC,tier4,0.35,true,50,WXC 69 - Illuminate
CS,tier4,0.35,true,50,CS - CageSport 16
CZ,tier4,0.35,true,50,CZ 44 - Steel Cage Fighters
SFT,tier4,0.35,true,49,SFT 46 - Black Diamond vs. Peregrino
WWFC,tier4,0.35,true,49,WWFC 13 - Kyiv
PF,tier4,0.35,true,49,PF - Piemont Fight 2
CFA,tier4,0.35,true,49,CFA 11 - Kyle vs. Wiuff
IHC,tier4,0.35,true,49,IHC 9 - Purgatory
Ares,tier4,0.35,true,48,Ares 25 - Sola vs. Gagloev
One FC,tier2_5,0.68,false,48,One FC 24 - Dynasty of Champions
UCE,tier4,0.35,true,48,UCE - Round 28 - Worlds Collide
CG,tier4,0.35,true,47,CG 31 - Celtic Gladiator 31
Ringside MMA,tier4,0.35,true,47,Ringside MMA 13 - The Saint Patrick's Day Beatdown
ECC,tier4,0.35,true,47,ECC - Eco Combat Championship 20
AMMA,tier4,0.35,true,47,AMMA 2 - Adrenaline MMA 2
Eternal MMA,tier4,0.35,true,46,Eternal MMA 51 - Perth
Combate Global,tier4,0.35,true,46,Combate Global - Graniel vs. Ibarra
Euphoria,tier4,0.35,true,46,Euphoria - USA vs. World
2H2H,tier4,0.35,true,46,2H2H - 2 Hot 2 Handle
UW,tier4,0.35,true,46,UW - Minnesota
Tuff-N-Uff,tier4,0.35,true,45,Tuff-N-Uff - Tuff-N-Uff 151
AF,tier4,0.35,true,45,AF - Action Fight 16
SBC,tier4,0.35,true,45,SBC 19 - Serbian Battle Championship 19
Unified MMA,tier4,0.35,true,45,Unified MMA 43 - Unified MMA
Shamrock FC,tier4,0.35,true,44,Shamrock FC - Shamrock 313
SFS,tier4,0.35,true,44,SFS 6 - Score Fighting Series 6
EF,tier4,0.35,true,44,EF - ExciteFight
Thunder Fight,tier4,0.35,true,43,Thunder Fight 34 - Copa Thunder Fight 17
M-1 Global,tier3,0.55,false,41,M-1 Global - M-1 Challenge 47
100% Fight,tier4,0.35,true,41,100% Fight 41 - The Champ is Back
Reality Fighting,tier4,0.35,true,41,Reality Fighting - Mohegan Sun
GMC,tier4,0.35,true,41,GMC 5 - German MMA Championship 5
EB,tier4,0.35,true,41,EB - Beatdown at 4 Bears 12
BAMMA USA,tier4,0.35,true,41,BAMMA USA - Badbeat 10
UFCF,tier1,1,false,41,UFCF - Night of Champions
Xplode Fight Series,tier4,0.35,true,40,Xplode Fight Series - Taco
DFC,tier4,0.35,true,40,DFC 5 - Desert Force 5
Legend FC,tier4,0.35,true,40,Legend FC - Legend Fighting Championship 9
CXF,tier4,0.35,true,40,CXF 8 - Cali Kings
Spirit MC,tier4,0.35,true,40,Spirit MC 17 - All In
IVC,tier4,0.35,true,40,IVC 13 - The New Generation of Lightweights
MMAX,tier4,0.35,true,39,MMAX - Maximum Cage Fighting
STFC,tier4,0.35,true,39,STFC 24 - Bad Blood
Meca,tier4,0.35,true,39,Meca 12 - Meca World Vale Tudo 12
XKK,tier4,0.35,true,39,XKK - Des Moines
