sherdogId,name,beatUFCBound,lostToUFCBound,topMultiplier,lastDate,notableWins
Fedor-Emelianenko-1500,Fedor Emelianenko,22,6,0.68,2023-02-04,beat Gary Goodridge (2003-08-10); beat Semmy Schilt (2002-06-23); beat Kevin Randleman (2004-06-20); beat Chris Haseman (2002-02-15)
Jesse-Taylor-17389,Jesse Taylor,14,7,0.68,2026-06-06,beat Murilo Bustamante (2010-07-18); beat Drew Fickett (2008-10-02); beat Jason Day (2010-02-05); beat Denis Kang (2011-05-28)
Masakatsu-Funaki-671,Masakatsu Funaki,14,7,0.55,1998-09-14,beat Guy Mezger (1995-09-01); beat Guy Mezger (1997-09-06); beat Jason Godsey (1997-11-16); beat Frank Shamrock (1995-03-10)
Shinya-Aoki-10774,Shinya Aoki,13,8,0.68,2024-01-28,beat Jason Black (2006-08-26); beat Kuniyoshi Hironaka (2005-11-06); beat Rich Clementi (2011-05-29); beat Marcus Aurelio (2010-09-25)
Sergei-Kharitonov-4184,Sergei Kharitonov,13,5,0.68,2021-11-06,beat Semmy Schilt (2004-06-20); beat Pedro Rizzo (2005-06-26); beat Rameau Thierry Sokoudjou (2017-06-15); beat Chase Gormley (2017-03-31)
Satoru-Kitaoka-1756,Satoru Kitaoka,13,8,0.68,2019-07-28,beat Jutaro Nakao (2011-04-22); beat Kuniyoshi Hironaka (2010-10-03); beat Yoshiyuki Yoshida (2014-12-31); beat Paul Daley (2006-08-27)
Tony-Lopez-12519,Tony Lopez,12,18,0.68,2025-08-16,beat Fabiano Scherner (2018-02-03); beat Wes Combs (2008-07-19); beat Jason Lambert (2010-08-14); beat Brad Morris (2010-11-13)
Denis-Goltsov-72521,Denis Goltsov,11,2,0.68,2025-07-19,beat Mike Kyle (2016-03-26); beat Chase Gormley (2017-12-23); beat Paul Buentello (2016-07-15); beat James McSweeney (2015-07-24)
Mamed-Khalidov-10489,Mamed Khalidov,10,3,0.55,2026-04-18,beat Matt Lindland (2011-05-21); beat James Irvin (2011-03-19); beat Rodney Wallace (2012-05-12); beat Kendall Grove (2012-12-01)
Dakota-Cochrane-48554,Dakota Cochrane,10,3,0.68,2017-07-22,beat Joe Stevenson (2012-06-30); beat Marcus LeVesseur (2010-11-12); beat Anton Kuivanen (2014-06-14); beat Jamie Varner (2011-09-23)
Kazushi-Sakuraba-84,Kazushi Sakuraba,10,9,0.68,2011-09-24,beat Anthony Macias (1999-09-12); beat Guy Mezger (2000-01-30); beat Kevin Randleman (2003-11-09); beat Carlos Newton (1998-06-24)
Mike-Whitehead-4397,Mike Whitehead,10,4,0.68,2010-12-10,beat Mark Kerr (2006-11-02); beat Travis Fulton (2005-04-22); beat Aaron Brink (2005-03-25); beat Kevin Randleman (2009-06-06)
Igor-Vovchanchyn-300,Igor Vovchanchyn,10,7,0.68,2005-08-28,beat Paul Varelans (1996-03-30); beat Dan Bobish (2004-02-01); beat Carlos Barreto (1999-07-04); beat Mark Kerr (2000-12-23)
Ivan-Shtyrkov-200139,Ivan Shtyrkov,9,0,0.35,2025-05-31,beat Ricco Rodriguez (2016-09-09); beat Jeff Monson (2016-05-06); beat Rodney Wallace (2017-02-18); beat Thiago Silva (2018-12-15)
Brendan-Loughnane-44417,Brendan Loughnane,9,3,0.78,2024-08-23,beat David Lee (2016-03-12); beat Mike Wilkinson (2017-03-11); beat Chris Wade (2022-08-20); beat Tyler Diamond (2021-06-10)
Muhammed-Lawal-29858,Muhammed Lawal,9,5,0.68,2018-05-12,beat Mark Kerr (2009-08-28); beat Travis Wiuff (2008-09-28); beat Joe Vedepo (2014-11-15); beat Seth Petruzelli (2013-06-19)
Ikuhisa-Minowa-250,Ikuhisa Minowa,9,14,0.68,2017-07-02,beat Don Frye (2008-08-16); beat Daiju Takase (1999-08-01); beat Kenichi Yamamoto (2004-07-19); beat Kimo Leopoldo (2005-07-17)
Keiichiro-Yamamiya-237,Keiichiro Yamamiya,9,7,0.55,2014-06-22,beat Jason DeLucia (1998-10-26); beat Kenichi Yamamoto (2012-10-27); beat Yuki Kondo (2008-04-27); beat Brian Gassaway (1997-01-17)
Kazuo-Misaki-1829,Kazuo Misaki,9,8,0.68,2012-03-03,beat Logan Clark (2008-06-08); beat Kazuhiro Nakamura (2009-08-02); beat Denis Kang (2006-11-05); beat Paul Daley (2012-03-03)
Bas-Rutten-214,Bas Rutten,9,3,0.55,1996-06-25,beat Guy Mezger (1996-03-02); beat Frank Shamrock (1995-07-23); beat Frank Shamrock (1996-05-16); beat Jason DeLucia (1994-10-15)
Alexander-Shlemenko-14461,Alexander Shlemenko,8,6,0.68,2024-06-01,beat Sean Salmon (2010-03-13); beat Kendall Grove (2016-10-21); beat Paul Bradley (2017-03-03); beat Viscardi Andrade (2019-05-04)
Andrey-Koreshkov-74221,Andrey Koreshkov,8,2,0.68,2023-07-29,beat Nah-Shon Burrell (2014-03-14); beat Benson Henderson (2016-04-22); beat Lorenz Larkin (2023-07-29); beat Sabah Homasi (2021-08-13)
Magomed-Magomedkerimov-44216,Magomed Magomedkerimov,8,0,0.68,2023-06-23,beat John Howard (2019-05-09); beat Bojan Velickovic (2018-08-16); beat Bojan Velickovic (2018-10-20); beat Gleison Tibau (2022-11-25)
Natan-Schulte-95763,Natan Schulte,8,2,0.68,2022-06-17,beat Jason High (2018-08-02); beat Ramsey Nijem (2019-10-17); beat Rashid Magomedov (2018-12-31); beat Chris Wade (2018-06-21)
Douglas-Lima-17236,Douglas Lima,8,5,0.68,2021-10-01,beat Terry Martin (2011-04-08); beat Paul Daley (2016-07-16); beat Clint Hester (2009-11-13); beat Rory MacDonald (2019-10-26)
Gesias-Cavalcante-9771,Gesias Cavalcante,8,7,0.68,2017-11-17,beat Caol Uno (2006-10-09); beat Tyson Griffin (2013-08-10); beat Michihiro Omigawa (2005-12-03); beat Bart Palaszewski (2004-11-20)
Ricardo-Arona-1463,Ricardo Arona,8,4,0.68,2009-09-12,beat Guy Mezger (2001-09-24); beat Marvin Eastman (2009-09-12); beat Dean Lister (2005-04-23); beat Jeremy Horn (2000-08-23)
Minoru-Suzuki-666,Minoru Suzuki,8,8,0.55,2000-09-24,beat Todd Medina (1995-11-04); beat Remco Pardoel (1994-07-26); beat Jason DeLucia (1994-12-16); beat Jason DeLucia (1995-07-22)
Sadibou-Sy-163941,Sadibou Sy,7,3,0.68,2024-06-21,beat David Michaud (2019-05-09); beat Rory MacDonald (2022-07-01); beat Caio Magalhaes (2018-08-30); beat Aleksei Kunchenko (2021-06-17)
Patricky-Freire-38544,Patricky Freire,7,7,0.68,2024-04-12,beat Roger Huerta (2018-09-21); beat Kurt Pellegrino (2011-11-26); beat Ryan Couture (2016-01-29); beat Josh Thomson (2017-02-18)
Michal-Materla-10397,Michal Materla,7,4,0.55,2023-12-16,beat Matt Horwich (2011-11-26); beat Rodney Wallace (2012-12-01); beat Tomasz Drwal (2015-05-23); beat Kendall Grove (2013-06-08)
Vadim-Nemkov-143059,Vadim Nemkov,7,0,0.68,2023-06-16,beat Goran Reljic (2015-12-29); beat Phil Davis (2018-11-15); beat Phil Davis (2021-04-16); beat Ryan Bader (2020-08-21)
Levi-Mowles-152603,Levi Mowles,7,3,0.55,2021-07-25,beat Edwin Figueroa (2016-06-24); beat Teruto Ishihara (2021-07-25); beat Jesse Butler (2018-01-06); beat Jose Johnson (2018-03-10)
Vyacheslav-Vasilevsky-33172,Vyacheslav Vasilevsky,7,2,0.55,2021-05-03,beat Trevor Prangley (2013-08-17); beat Matt Horwich (2016-09-04); beat Xavier Foupa-Pokam (2010-07-14); beat Wagner Silva (2018-11-24)
Vanessa-Porto-12311,Vanessa Porto,7,6,0.68,2021-04-09,beat Milana Dudieva (2017-12-08); beat Pearl Gonzalez (2019-02-15); beat Kalindra Faria (2011-03-31); beat Tonya Evinger (2007-07-14)
Rick-Hawn-42680,Rick Hawn,7,2,0.68,2015-09-19,beat Shonie Carter (2010-07-31); beat Karo Parisyan (2013-04-04); beat Carlo Prater (2014-12-19); beat Pat Healy (2015-09-19)
Valentijn-Overeem-466,Valentijn Overeem,7,10,0.68,2014-07-03,beat Brad Kohler (2000-06-15); beat Joe Slick (2000-08-23); beat Chris Haseman (1998-02-08); beat Ian Freeman (2001-03-18)
Toby-Imada-514,Toby Imada,7,8,0.55,2013-01-18,beat Zach Light (2007-06-08); beat Jason Von Flue (1999-08-07); beat Josh Shockley (2011-03-12); beat Akbarh Arreola (2005-07-30)
Kiuma-Kunioku-864,Kiuma Kunioku,7,13,0.55,2010-10-30,beat Guy Mezger (1996-10-08); beat Frank Shamrock (1996-12-15); beat Daiju Takase (2001-03-31); beat Yuki Kondo (1999-03-09)
Jean-Silva-4180,Jean   Silva,7,4,0.68,2010-06-18,beat Chris Brennan (2007-09-22); beat Gerald Strebendt (2004-05-23); beat Samy Schiavo (2002-11-30); beat Samy Schiavo (2004-11-27)
Luiz-Azeredo-1336,Luiz Azeredo,7,6,0.68,2008-07-12,beat Rodrigo Ruas (2003-09-19); beat Paul Daley (2006-12-09); beat Milton Vieira (2008-02-13); beat Cristiano Marcello (2002-01-31)
Kiyoshi-Tamura-1451,Kiyoshi Tamura,7,6,0.68,2006-02-26,beat Patrick Smith (1995-12-09); beat Maurice Smith (1996-08-24); beat Kenichi Yamamoto (1998-12-23); beat Pat Miletich (2000-08-23)
Ryushi-Yanagisawa-668,Ryushi Yanagisawa,7,11,0.55,2001-04-20,beat Oleg Taktarov (1996-05-16); beat Paul Varelans (1997-04-27); beat Jason Godsey (1998-01-16); beat Jason DeLucia (1998-04-26)
Movlid-Khaybulaev-109571,Movlid Khaybulaev,6,0,0.68,2025-08-01,beat Chris Wade (2021-10-27); beat Jeremy Kennedy (2025-04-03); beat Tyler Diamond (2023-06-08); beat Jesus Pinedo (2025-08-01)
Phil-De-Fries-46202,Phil De Fries,6,0,0.55,2024-11-16,beat Colin Robinson (2011-05-29); beat Luis Henrique (2019-09-14); beat Todd Duffee (2023-02-25); beat Darko Stosic (2022-02-26)
Roberto-Satoshi-de-Souza-148081,Roberto Satoshi de Souza,6,1,0.68,2024-03-23,beat Kazuki Tokudome (2021-03-21); beat Johnny Case (2022-04-17); beat Mizuto Hirota (2019-07-28); beat Keita Nakamura (2024-03-23)
