date,division,fighter_1,fighter_2,champion,challenger,interim,method,result_fighter1,challenger_decimal_odds,challenger_is_underdog,odds_outcome
2006-10-14,Middleweight,Anderson Silva,Rich Franklin,Anderson Silva,Rich Franklin,0,KO/TKO,W,,,
2007-07-07,Middleweight,Anderson Silva,Nate Marquardt,Anderson Silva,Nate Marquardt,0,KO/TKO,W,,,
2007-10-20,Middleweight,Anderson Silva,Rich Franklin,Anderson Silva,Rich Franklin,0,KO/TKO,W,,,
2008-03-01,Middleweight,Anderson Silva,Dan Henderson,Anderson Silva,Dan Henderson,0,SUB,W,,,
2008-04-19,Welterweight,Georges St-Pierre,Matt Serra,Georges St-Pierre,Matt Serra,0,KO/TKO,W,,,
2008-08-09,Welterweight,Georges St-Pierre,Jon Fitch,Georges St-Pierre,Jon Fitch,0,U-DEC,W,,,
2008-10-25,Middleweight,Anderson Silva,Patrick Cote,Anderson Silva,Patrick Cote,0,KO/TKO,W,,,
2009-01-31,Welterweight,Georges St-Pierre,BJ Penn,Georges St-Pierre,BJ Penn,0,KO/TKO,W,,,
2009-04-18,Middleweight,Anderson Silva,Thales Leites,Anderson Silva,Thales Leites,0,U-DEC,W,,,
2009-07-11,Welterweight,Georges St-Pierre,Thiago Alves,Georges St-Pierre,Thiago Alves,0,U-DEC,W,,,
2010-03-27,Welterweight,Georges St-Pierre,Dan Hardy,Georges St-Pierre,Dan Hardy,0,U-DEC,W,,,
2010-04-10,Middleweight,Anderson Silva,Demian Maia,Anderson Silva,Demian Maia,0,U-DEC,W,,,
2010-08-07,Middleweight,Anderson Silva,Chael Sonnen,Anderson Silva,Chael Sonnen,0,SUB,W,,,
2010-10-23,Heavyweight,Brock Lesnar,Cain Velasquez,Cain Velasquez,Brock Lesnar,0,KO/TKO,L,,,
2010-12-11,Welterweight,Georges St-Pierre,Josh Koscheck,Georges St-Pierre,Josh Koscheck,0,U-DEC,W,,,
2011-02-05,Middleweight,Anderson Silva,Vitor Belfort,Anderson Silva,Vitor Belfort,0,KO/TKO,W,,,
2011-03-19,Light Heavyweight,Mauricio Rua,Jon Jones,Jon Jones,Mauricio Rua,0,KO/TKO,L,,,
2011-04-30,Welterweight,Georges St-Pierre,Jake Shields,Georges St-Pierre,Jake Shields,0,U-DEC,W,,,
2011-07-02,Bantamweight,Dominick Cruz,Urijah Faber,Dominick Cruz,Urijah Faber,0,U-DEC,W,,,
2011-08-27,Middleweight,Anderson Silva,Yushin Okami,Anderson Silva,Yushin Okami,0,KO/TKO,W,,,
2011-09-24,Light Heavyweight,Jon Jones,Quinton Jackson,Jon Jones,Quinton Jackson,0,SUB,W,,,
2011-10-01,Bantamweight,Dominick Cruz,Demetrious Johnson,Dominick Cruz,Demetrious Johnson,0,U-DEC,W,,,
2011-11-12,Heavyweight,Cain Velasquez,Junior Dos Santos,Cain Velasquez,Junior Dos Santos,0,KO/TKO,L,,,
2011-12-10,Light Heavyweight,Jon Jones,Lyoto Machida,Jon Jones,Lyoto Machida,0,SUB,W,,,
2012-04-21,Light Heavyweight,Jon Jones,Rashad Evans,Jon Jones,Rashad Evans,0,U-DEC,W,,,
2012-05-26,Heavyweight,Junior Dos Santos,Frank Mir,Junior Dos Santos,Frank Mir,0,KO/TKO,W,,,
2012-07-07,Middleweight,Anderson Silva,Chael Sonnen,Anderson Silva,Chael Sonnen,0,KO/TKO,W,,,
2012-09-22,Light Heavyweight,Jon Jones,Vitor Belfort,Jon Jones,Vitor Belfort,0,SUB,W,,,
2012-09-22,Flyweight,Joseph Benavidez,Demetrious Johnson,Demetrious Johnson,Joseph Benavidez,0,S-DEC,L,,,
2012-11-17,Welterweight,Georges St-Pierre,Carlos Condit,Georges St-Pierre,Carlos Condit,0,U-DEC,W,,,
2012-12-29,Heavyweight,Junior Dos Santos,Cain Velasquez,Junior Dos Santos,Cain Velasquez,0,U-DEC,L,,,
2013-01-26,Flyweight,Demetrious Johnson,John Dodson,Demetrious Johnson,John Dodson,0,U-DEC,W,,,
2013-02-02,Featherweight,Jose Aldo,Frankie Edgar,Jose Aldo,Frankie Edgar,0,U-DEC,W,,,
2013-02-23,Women's Bantamweight,Ronda Rousey,Liz Carmouche,Ronda Rousey,Liz Carmouche,0,SUB,W,,,
2013-03-16,Welterweight,Georges St-Pierre,Nick Diaz,Georges St-Pierre,Nick Diaz,0,U-DEC,W,,,
2013-04-27,Light Heavyweight,Jon Jones,Chael Sonnen,Jon Jones,Chael Sonnen,0,KO/TKO,W,,,
2013-05-25,Heavyweight,Cain Velasquez,Antonio Silva,Cain Velasquez,Antonio Silva,0,KO/TKO,W,,,
2013-07-06,Middleweight,Anderson Silva,Chris Weidman,Anderson Silva,Chris Weidman,0,KO/TKO,L,,,
2013-07-27,Flyweight,Demetrious Johnson,John Moraga,Demetrious Johnson,John Moraga,0,SUB,W,,,
2013-08-03,Featherweight,Jose Aldo,Chan Sung Jung,Jose Aldo,Chan Sung Jung,0,KO/TKO,W,,,
2013-08-31,Lightweight,Benson Henderson,Anthony Pettis,Anthony Pettis,Benson Henderson,0,SUB,L,,,
2013-09-21,Light Heavyweight,Jon Jones,Alexander Gustafsson,Jon Jones,Alexander Gustafsson,0,U-DEC,W,,,
2013-10-19,Heavyweight,Cain Velasquez,Junior Dos Santos,Cain Velasquez,Junior Dos Santos,0,KO/TKO,W,,,
2013-11-16,Welterweight,Georges St-Pierre,Johny Hendricks,Georges St-Pierre,Johny Hendricks,0,S-DEC,W,,,
2013-12-14,Flyweight,Demetrious Johnson,Joseph Benavidez,Demetrious Johnson,Joseph Benavidez,0,KO/TKO,W,,,
2013-12-28,Middleweight,Chris Weidman,Anderson Silva,Chris Weidman,Anderson Silva,0,KO/TKO,W,,,
2013-12-28,Women's Bantamweight,Ronda Rousey,Miesha Tate,Ronda Rousey,Miesha Tate,0,SUB,W,,,
2014-02-01,Featherweight,Jose Aldo,Ricardo Lamas,Jose Aldo,Ricardo Lamas,0,U-DEC,W,,,
2014-02-22,Women's Bantamweight,Ronda Rousey,Sara McMann,Ronda Rousey,Sara McMann,0,KO/TKO,W,,,
2014-03-15,Welterweight,Johny Hendricks,Robbie Lawler,Johny Hendricks,Robbie Lawler,0,U-DEC,W,,,
2014-04-26,Light Heavyweight,Jon Jones,Glover Teixeira,Jon Jones,Glover Teixeira,0,U-DEC,W,,,
2014-05-24,Bantamweight,Renan Barao,TJ Dillashaw,TJ Dillashaw,Renan Barao,0,KO/TKO,L,,,
