event_id,event_name,event_date,bout_order,section,is_main_event,weight_class,fighter1_ourId,fighter1_name,fighter1_sherdogId,fighter2_ourId,fighter2_name,fighter2_sherdogId,fetched_at
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,1,,1,Lightweight,6f8b8d1f2f3b7fcc,Mateusz Gamrot,,a66c074dfa6b8835,Quillan Salkilld,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,2,,0,Lightweight,92120440fcb28c7e,Diego Ferreira,,15a5d250b43e99c3,Billy Quarantillo,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,3,,0,Featherweight,297d71e3e51e67fc,Darren Elkins,,47dfe6ac6c9121a0,Yadier del Valle,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,4,,0,Featherweight,e011a97f57726d2d,Miles Johns,,,Jessie Rosas,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,5,,0,Heavyweight,fd041fcc21cc505d,Louie Sutherland,,,Jose Montanha da Silva,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,6,,0,Welterweight,d8436984de79cc6e,Ty Miller,,c9bb479dabdb48bf,Billy Ray Goff,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,7,,0,Light Heavyweight,c3fd5865a09e741a,Diyar Nurgozhay,,d13c8ceda8609795,Bruno Lopes,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,8,,0,Heavyweight,7d1e163720b62145,Steven Asplund,,5559b70c45c58628,Guilherme Pat,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,9,,0,Women's Strawweight,deadb348f846ea90,Amanda Lemos,,3808fc6e211485cf,Alexia Thainara,,2026-08-03
ufc-fight-night-august-08-2026,UFC Fight Night - Gamrot vs. Salkilld,2026-08-08,10,,0,Lightweight,a175cb5d70c753c6,Manoel Sousa,,,Richie Miranda,,2026-08-03
